"","lambchop17","lambchop18","lambchop25","lambchop37","lambchop44","lambchop46","lambchop48","lambchop50","lambchop55","lambchop70"
"lambchop17",0,0.279354197676253,0.506405704779411,0.448965335507101,0.539416593021644,0.542015398287648,0.477159725036309,0.519313432063213,0.582016344486732,0.693348535508158
"lambchop18",0.279354197676253,0,0.352720532477913,0.3590027461708,0.43867075866578,0.460114908019728,0.25539304095349,0.373126827979678,0.568573748042832,0.697949192956514
"lambchop25",0.506405704779411,0.352720532477913,0,0.273959683099216,0.136864011820076,0.193581315345893,0.201010405679043,0.0914369130911909,0.317728415395513,0.481614451656698
"lambchop37",0.448965335507101,0.3590027461708,0.273959683099216,0,0.269685275569514,0.319701537753236,0.203606848286288,0.259706490214311,0.406751650406701,0.545402659388218
"lambchop44",0.539416593021644,0.43867075866578,0.136864011820076,0.269685275569514,0,0.118351736752503,0.245278770856907,0.0788427871535134,0.243097492875248,0.41374358651288
"lambchop46",0.542015398287648,0.460114908019728,0.193581315345893,0.319701537753236,0.118351736752503,0,0.317469951833513,0.127964020290764,0.168091746150567,0.326174893957425
"lambchop48",0.477159725036309,0.25539304095349,0.201010405679043,0.203606848286288,0.245278770856907,0.317469951833513,0,0.211614817906664,0.435410034390567,0.593212986526913
"lambchop50",0.519313432063213,0.373126827979678,0.0914369130911909,0.259706490214311,0.0788427871535134,0.127964020290764,0.211614817906664,0,0.267957607582572,0.438528728763505
"lambchop55",0.582016344486732,0.568573748042832,0.317728415395513,0.406751650406701,0.243097492875248,0.168091746150567,0.435410034390567,0.267957607582572,0,0.179469569702398
"lambchop70",0.693348535508158,0.697949192956514,0.481614451656698,0.545402659388218,0.41374358651288,0.326174893957425,0.593212986526913,0.438528728763505,0.179469569702398,0
