"","buddy11","hamlet11","hera11","padme11","ginger14","hera14","jarjarbinks14","joans14","kubo14","wolverine14","jarjarbinks15","kubo15","buddy16","iris16","hamlet17","hera17","iris17","lambchop17","wolverine17","lambchop18","franc19","ophelia19","goose20","jarjarbinks21","joans21","korra21","kubo21","franc22","goose22","grogu22","hamlet22","iris22","hera24","ivy24","marshmallow24","hamlet25","lambchop25","ginger27","henry29","ivy29","jarjarbinks29","joans29","korra29","kubo30","hamlet31","jarjarbinks32","grogu36","henry36","iris36","ivy36","goose37","grogu37","lambchop37","marshmallow37","ophelia37","wolverine37","charles41","grogu41","hamlet41","joans41","marshmallow41","goose42","henry42","ginger43","ophelia43","buddy44","franc44","goose44","hera44","iris44","ivy44","jarjarbinks44","joans44","korra44","lambchop44","marshmallow44","wolverine44","franc45","grogu45","hera45","ophelia45","buddy46","charles46","ginger46","iris46","ivy46","lambchop46","franc47","ivy47","buddy48","franc48","henry48","korra48","kubo48","lambchop48","ophelia48","charles49","franc49","ginger49","jarjarbinks49","joans49","marshmallow49","ophelia49","wolverine49","buddy50","charles50","ginger50","grogu50","lambchop50","charles51","joans51","ginger52","marshmallow53","charles55","ginger55","lambchop55","ophelia55","buddy56","franc56","grogu56","joans56","buddy57","charles57","joans57","ophelia57","wolverine57","hera58","korra58","kubo58","wolverine58","hamlet59","henry59","iris59","ophelia59","iris60","marshmallow60","wolverine60","ginger66","henry66","hamlet67","hera67","franc68","jarjarbinks68","grogu70","ivy70","lambchop70","marshmallow70","wolverine70"
"buddy11",0,0.333872475454776,0.33001191850988,0.372374268523757,0.441632847919736,0.337263920520132,0.345206124849215,0.581418025990844,0.329980925524546,0.431134186520702,0.332949141511229,0.330124257827091,0.386243594154543,0.446701985322123,0.411610645367306,0.499278697766032,0.400406579413711,0.577273914027292,0.42762130383375,0.72259978154737,0.33451212696464,0.333233268620268,0.346123921199516,0.379512044952934,0.449832810290637,0.29506601108559,0.286795838012628,0.388604451264094,0.393072780069207,0.457852193988526,0.306289103678832,0.438224714662766,0.316208732456826,0.357058588455423,0.407632308455532,0.31144738022247,0.473293667991786,0.412656333699198,0.323702633144529,0.356071498683605,0.363229489140193,0.357694785305687,0.379965114499261,0.323348096163392,0.376844176773735,0.395716187389999,0.449307210720198,0.365213535656555,0.417787345358932,0.476198359701306,0.39338885391698,0.4414270578834,0.420150854155776,0.437768384052979,0.391984247278317,0.384454388229401,0.437113516864212,0.442338825063128,0.351688696668148,0.402447848470988,0.404381241497866,0.455850994199436,0.396020679953401,0.496951754407931,0.38245566960079,0.328981982659385,0.32960384650769,0.389004777661325,0.417985195849113,0.421020667875097,0.436773973972183,0.428184439928749,0.443287824263642,0.44866946564539,0.346591204949504,0.346499968829185,0.466608506761367,0.382857906203925,0.373492424571571,0.348300392550525,0.315237834246957,0.348389352447727,0.352945142666735,0.424984067519726,0.454157730201442,0.364385280522027,0.336565475942955,0.32465559138622,0.382591465133955,0.294976981350312,0.46261559748255,0.315091860072533,0.328606356574552,0.374843767043458,0.45518762565912,0.363462677535337,0.442407971347201,0.450442710283175,0.449358327154037,0.391854446665708,0.45632454065506,0.309170747382396,0.366486555941559,0.393648765528422,0.303217382252265,0.377806690005455,0.435302205507229,0.444353630059724,0.358402525221242,0.350998295094672,0.43849830675599,0.486154897883691,0.466604865262712,0.295836600659699,0.44351735761087,0.39221866432645,0.393694517547425,0.311919442270077,0.400034945732326,0.420795314151278,0.425257144869667,0.27009783249653,0.448473724347926,0.351217854444063,0.288912323148425,0.351110304707957,0.444912229703273,0.463006573848296,0.374016082605564,0.364526202393242,0.307961599180465,0.385353314110805,0.404662597784268,0.393007552194668,0.459691643011176,0.383950229572142,0.35823934227986,0.496629641096634,0.355255852990393,0.441819469439785,0.34606704958161,0.387570350919528,0.332905468579749,0.386540289536605,0.337117905557966,0.392715331401504,0.507002009658248,0.46515814401041
"hamlet11",0.333872475454776,0,0.299056240587024,0.335138909123295,0.447261911535348,0.249989120138913,0.270235848653563,0.648680869492022,0.297423155969957,0.406330049305591,0.267519699491285,0.206286537721914,0.37053889708507,0.469592300578882,0.380271000136285,0.427309603223429,0.401033496559504,0.622488447155948,0.297010607681678,0.730862629038095,0.362769131459765,0.312880316811349,0.337478987413017,0.343824623689548,0.533829140961046,0.316172263864931,0.268467301263856,0.461133981803384,0.391952505116579,0.324239277885192,0.257271641663956,0.39456375443178,0.189542070513819,0.428422185990651,0.362989454680741,0.213172351390236,0.542646192482189,0.342462032381066,0.233519692737263,0.375058252323343,0.287434349979687,0.305652420325169,0.36419273706947,0.354601335529707,0.339683299048604,0.409397683473645,0.381738000132483,0.364185149052711,0.415909135245954,0.461145350351217,0.46790517931386,0.345478499987263,0.495404477658034,0.399537264056994,0.328716036060039,0.273648027733997,0.377140757770695,0.372854916387214,0.312158609864633,0.461594643299982,0.415961244005941,0.523463425982231,0.41669203961196,0.472047026920301,0.243519217676498,0.300005558860456,0.393885242435912,0.397538115313752,0.325107285399681,0.43932179069027,0.488240067607877,0.397916071999047,0.505837068954919,0.428139935307224,0.411557335857424,0.364257010545689,0.412811879626229,0.463742482534447,0.359774872465188,0.345125350182429,0.382517999159189,0.409415735731749,0.359031571584529,0.355619946349049,0.428432142855095,0.348536443332654,0.419622500192547,0.365746633492352,0.30636716478694,0.357108756227282,0.506760329944744,0.334402403847824,0.336116096857381,0.306960539170732,0.496163033947255,0.383935597531784,0.40734671427381,0.494649061174233,0.408465178958787,0.419588495075108,0.488304884278018,0.373209199874834,0.333872800872205,0.440174498653776,0.348753738465462,0.360742328064841,0.428865638745552,0.354380132348743,0.464506842540547,0.392769786935054,0.474042522329508,0.401923012038509,0.334895619417616,0.287012993453852,0.481605763333545,0.396399893802849,0.337141330062472,0.435739367289818,0.381942227886951,0.328076781181837,0.384616217731703,0.310749522278112,0.415293860793131,0.345597592779137,0.321560979950425,0.226955971380364,0.387242762639998,0.403886618236693,0.358772577937778,0.286056773865886,0.202228246342318,0.407142610283269,0.391737946921034,0.359723117071116,0.455467084705973,0.399471092079041,0.434266625987779,0.443803200082679,0.347673942351725,0.407271670527534,0.288313643516233,0.426202948974757,0.371597450725794,0.280604031073713,0.330364475490111,0.399579755741075,0.430465443836879,0.443971436916026
"hera11",0.33001191850988,0.299056240587024,0,0.341217706913559,0.380169016534954,0.241407567481913,0.274661821318745,0.696843404218529,0.285284186861114,0.392879558432946,0.314765327983892,0.277345778172121,0.41434452384964,0.475601122485031,0.322908294820151,0.452016992169876,0.491190555226021,0.66418866342208,0.408645999694853,0.765890702232246,0.393549168209263,0.381366120486253,0.426964697812437,0.354316384989721,0.510585575896033,0.276556786575059,0.307407176318024,0.390334685316662,0.435128668840582,0.440374336586214,0.280923588852706,0.446947363169272,0.298841790211545,0.332993186419557,0.356476758713428,0.26104086679727,0.596931297992519,0.377645279679153,0.31458215155386,0.377769094582756,0.33418349563263,0.400281959944977,0.411068838312965,0.300147744426676,0.281381537962313,0.312332732238482,0.425240431540566,0.342944876048631,0.463306629194063,0.491791000865254,0.38681813554213,0.420692381183824,0.389496360446491,0.394928224927303,0.329868764038935,0.407953957806748,0.475898566261216,0.417901344348108,0.242389157945549,0.403150554284878,0.414141266682115,0.424951165016441,0.375427778720078,0.460080945129422,0.307110849872462,0.349587699407447,0.35660983788873,0.369961842007583,0.317714551115877,0.417514220164329,0.347063987728296,0.405184301629459,0.461353106310988,0.391476203442147,0.444723157239494,0.291949898704766,0.454383639647422,0.382015055444236,0.351481356187064,0.253173385522568,0.308541188422703,0.353990801869906,0.335683923909738,0.372000226982602,0.406172909921223,0.317045258520987,0.443053528193037,0.339099175260523,0.331595697171115,0.340114093160232,0.435480859921031,0.350544681450052,0.310696243164334,0.300450267750533,0.458038357794785,0.325878627443934,0.482758387784697,0.43833120503212,0.405392239143347,0.301693402753574,0.483267965059339,0.377412405105175,0.296977049534663,0.419986565733902,0.339375558685619,0.391304015371979,0.444133716801342,0.440053026820028,0.475752678729994,0.402184634874529,0.451245508155273,0.43733265929385,0.478898664562775,0.334959601090838,0.359000448315812,0.455773473906415,0.264414465405805,0.417413537734556,0.317850230888996,0.414772185806341,0.41862472326334,0.334098815500552,0.444897660337504,0.37953900291829,0.33796894181151,0.368016531948367,0.391033625304238,0.448264838851646,0.326689556030178,0.388700566266337,0.261925156451038,0.386707655953592,0.425328435449309,0.319139101454204,0.432736698492989,0.303641956651516,0.412843178373436,0.434192763365654,0.364682777619432,0.387359103359152,0.281569006531824,0.382280261939151,0.24758786838256,0.422299177905654,0.33669498096119,0.426917135507002,0.487104018693144,0.449032834860287
"padme11",0.372374268523757,0.335138909123295,0.341217706913559,0,0.431880759629258,0.333406007946863,0.394478615701391,0.626551277541774,0.347369109625842,0.433124155921905,0.423741324838989,0.346760450722781,0.411833996795298,0.493292157988198,0.45739799400726,0.553787335974904,0.456892366945478,0.642729887187428,0.430891575335459,0.747447190819614,0.427860747911567,0.464043510707436,0.424486693383853,0.431261835356438,0.507057555639165,0.39891237302706,0.357442391468584,0.47804163467326,0.496826114552063,0.41748378883129,0.343503499320347,0.458781760241682,0.359133917597211,0.418729355935533,0.378953811322616,0.362682730899058,0.555666442094869,0.423143300041806,0.354866493539119,0.422915052109728,0.439493257017052,0.459611025536657,0.485889090209749,0.360695899650601,0.390383463605273,0.427505758455544,0.495745260102196,0.305503359311911,0.483656893447937,0.513267133874679,0.496271782801278,0.399917763946897,0.503955725727493,0.515954397256935,0.373299022582897,0.41319547429433,0.339778401594486,0.497523098081772,0.359227243792959,0.42222448958573,0.487071389745764,0.531064650574572,0.461966245335485,0.545848054547359,0.367519394293499,0.420727674850613,0.427450408900701,0.441247364528149,0.445806717971151,0.472022884130335,0.524317773437005,0.431847311168114,0.51591138064944,0.511311860672625,0.401358658808167,0.377386938437322,0.492118395551323,0.492166331419164,0.389156622300099,0.370551276786438,0.421069706622217,0.429279890806742,0.372432477410791,0.460828439369672,0.441395285797585,0.353983410192479,0.441093169986829,0.431760113469846,0.400640949589595,0.359081337855362,0.539687476238973,0.357972954421237,0.446419961600493,0.387618469064413,0.52361324130592,0.414571318373581,0.286185791235898,0.504489027768627,0.485217812117745,0.409692245791118,0.549612839291673,0.46769209087292,0.393582993779316,0.458038087221089,0.405051905746633,0.261963418532255,0.505191663373115,0.470318628959556,0.467155003582963,0.309501477118693,0.515984456917894,0.491796529019742,0.465228450772038,0.29500083050898,0.478877105295401,0.426895341414357,0.382047742093654,0.464046825324647,0.436747634065227,0.448017761645214,0.494957262045087,0.389244454115888,0.510196633643992,0.460285908144906,0.425972639562062,0.372011955590891,0.464205536221128,0.499725505859265,0.431273232292231,0.421119357663524,0.355058473733133,0.41076374311047,0.423718446648322,0.408140144232086,0.454968370936876,0.421516708761929,0.427324592950699,0.504546784079533,0.395388338163333,0.454174409290859,0.360537554420973,0.444752554863311,0.400788457363682,0.401005181836438,0.384200615040036,0.450405577228074,0.541828070289533,0.481784771936786
"ginger14",0.441632847919736,0.447261911535348,0.380169016534954,0.431880759629258,0,0.39262114912045,0.449144573726247,0.684264449745308,0.445746589322706,0.432597238477602,0.478011413528931,0.4629922197176,0.452414642367887,0.549538100508986,0.492760913597929,0.551746710580521,0.536186873467491,0.563645880395787,0.497722973444452,0.681507020058931,0.475929544584091,0.539797883398994,0.3821327661389,0.448443671684995,0.449665165587567,0.371773593050745,0.455162144782814,0.42056576858425,0.449958262467708,0.472986355738049,0.419802203720216,0.516860546403607,0.453235571680971,0.434660766355259,0.374097082182196,0.463999138707893,0.499606020500772,0.319584037374627,0.407360337243741,0.465244794820886,0.426746558154707,0.515730080785403,0.415324511549261,0.434617807707926,0.444381737447989,0.400861051720853,0.531014098084578,0.344651351736965,0.509933804851599,0.55886954012151,0.444180726985353,0.438616909433897,0.425418441824316,0.496243249926659,0.488137766372559,0.475188308471078,0.516970530510419,0.531137772813023,0.418042592726146,0.334129495778896,0.54607962816189,0.462930507784452,0.345897744897164,0.470145797764193,0.491787312801214,0.474460861450159,0.45727948854016,0.377336746020756,0.50208574716318,0.479193414849104,0.426905950741387,0.549352988002278,0.469658885316118,0.53708120474558,0.316896019933181,0.377254017585471,0.5346438254604,0.431132184391348,0.439182444311788,0.429675763115599,0.465749910620945,0.47641903107384,0.417198955691367,0.324861688815682,0.454111324636461,0.374525857844057,0.398915859223352,0.418130929851339,0.48374049599592,0.430009826319978,0.485913693291779,0.36847673725095,0.373985786909757,0.424262337353064,0.45985974026846,0.486871431649169,0.528609040321861,0.464477712026501,0.295615703990537,0.384803051181327,0.487660848704512,0.387541007312594,0.493054486460158,0.439246040290528,0.411571263939545,0.423729307547433,0.362124013370004,0.480632691256603,0.429497399708781,0.444872853672015,0.487252441736635,0.361771859339454,0.523070314252563,0.434135965479421,0.271782233000451,0.416119161835847,0.443026780837618,0.429543737040148,0.449109440430142,0.51393887669857,0.46269780946995,0.400640664064873,0.575423956336927,0.449567445908215,0.507385294740656,0.465703918863843,0.53289895828975,0.507044595918535,0.465981349192907,0.456358849489811,0.443121483219922,0.381649670240348,0.444638808467976,0.470692039809088,0.460356119097923,0.40863116892442,0.454569453293392,0.470847157676407,0.426676151084459,0.557213785559078,0.376779096594263,0.414637171430833,0.391487591829674,0.450064693165632,0.456255117152935,0.434026780164452,0.550485003739653,0.545037941068343
"hera14",0.337263920520132,0.249989120138913,0.241407567481913,0.333406007946863,0.39262114912045,0,0.322744150039471,0.698503412162522,0.285298634458337,0.34865468361117,0.329801516055357,0.300096450964357,0.467681254751242,0.44200210923403,0.369748448241275,0.502774769465744,0.44988601120057,0.67892576971451,0.363889948178182,0.762675961191368,0.425646748465628,0.384595206247005,0.401855478286983,0.388093817858513,0.521908010870622,0.331314856567661,0.300985525348929,0.387833622462776,0.418659754271419,0.409637008067909,0.212277804903876,0.423615834662993,0.3117812427554,0.390352219459911,0.334315239835842,0.297618773151843,0.601116121681633,0.423100640030811,0.358593684161796,0.410336642451847,0.400788310366664,0.395023589159623,0.436491802544459,0.298798983157598,0.243206110307402,0.33227906747586,0.460706574725392,0.283960857721705,0.458971777621303,0.502211505096235,0.384308492555152,0.396827700654079,0.385262301037935,0.426225385705195,0.31582833066191,0.357111815106036,0.452285655777718,0.453167960905142,0.205090443345247,0.366806304007554,0.422145313217152,0.434214594028014,0.434777289343523,0.501475663442424,0.323117868935816,0.343013463632264,0.389773419091641,0.31362958842143,0.36758785349486,0.395718804702821,0.405043925131609,0.437494046336029,0.420526317532896,0.396209463901203,0.394119529776182,0.316788641769675,0.42541507625546,0.41414188650532,0.335680925633034,0.252149551300073,0.310189905566901,0.357925591351713,0.320245783922099,0.424857342386283,0.382639711617382,0.338455662166542,0.438468882546059,0.358851428051166,0.360545715228247,0.348037701398734,0.454440231328752,0.363249497780787,0.34798402433292,0.320004169409119,0.442868525448381,0.283151202192338,0.405677132698258,0.419969908189535,0.434957382884954,0.307001251387005,0.501630152880923,0.405494187310717,0.293256823658202,0.377748342219664,0.324199302108544,0.316447626464917,0.507983558660896,0.434836845786754,0.470734130271896,0.330457906275743,0.444868559084887,0.495702782249821,0.455363155142103,0.371165457924829,0.426278502983012,0.468047533177755,0.259368688156448,0.3939847177101,0.323227606421995,0.440772853759604,0.46895948895888,0.360459202873811,0.463504718681033,0.417723451102776,0.327964909745948,0.337923516314921,0.427791470092265,0.48529222756222,0.375391259366612,0.380934668520502,0.275357743949366,0.407282017473711,0.390586713953049,0.27715120365892,0.401643870647773,0.303010914414291,0.3880103856788,0.48895590493886,0.430118868811706,0.390888197649994,0.227942887341246,0.356184470282695,0.300418497769172,0.41470625174378,0.392687529914167,0.430915377366162,0.526842702607464,0.428147077299582
"jarjarbinks14",0.345206124849215,0.270235848653563,0.274661821318745,0.394478615701391,0.449144573726247,0.322744150039471,0,0.69813580495428,0.243286874855314,0.334007539731265,0.15837535235608,0.189396175190792,0.433261726443071,0.41616028913104,0.369155952333421,0.462046914170461,0.397306561084475,0.661378794290481,0.375413440666011,0.746014007887153,0.393101933371221,0.239895011912265,0.402496017435735,0.389710396538945,0.54061428338701,0.323555719323287,0.255154308840602,0.44645088044848,0.430803415120666,0.470273879241848,0.272844311569284,0.422398746442126,0.248911110228616,0.289511284735215,0.415743195584067,0.285105615240636,0.595023824653499,0.354078432549395,0.272070266801845,0.281364244682782,0.345239891976471,0.393197171310848,0.434689614605252,0.31992652267242,0.305582274449981,0.376518924654317,0.452207514097624,0.348386085565767,0.374430857137378,0.421104745256951,0.459737204145769,0.463458900682709,0.457142668258188,0.386891407218063,0.265513497950495,0.291850093827598,0.439478301064018,0.432095129329015,0.316154939051888,0.449283933424208,0.387439494789527,0.507092423833798,0.386717940805982,0.480537380687585,0.169453865718465,0.322703048487643,0.281173667266825,0.408146914460148,0.337213271771966,0.386158965969625,0.405848174927601,0.308721339513936,0.511880041387256,0.351704721358755,0.439667753086332,0.368761668876288,0.378391194206177,0.452308305568354,0.399608516203023,0.297352498451039,0.257203538819362,0.391689311777061,0.390202143365406,0.394200156490427,0.345700827068193,0.316353307675161,0.422154589622427,0.371252332449961,0.260399400876663,0.353250058874064,0.443267844102933,0.299049098194023,0.332162105237793,0.236986162977502,0.514150626341158,0.249550921287616,0.447754247309706,0.415907725048204,0.414263413525284,0.396660748910667,0.494983599745837,0.398406158247875,0.221666882217643,0.362311260361741,0.31551033669931,0.358817866230998,0.424085374817792,0.459739472022649,0.468343238877163,0.362602169999047,0.476770426155107,0.430099694003143,0.503382807035276,0.306906298296963,0.396426331243919,0.424773860739694,0.213972704174732,0.447538350025717,0.299069899066494,0.438892886032448,0.429796662083807,0.350344636898547,0.397526411429162,0.408952132019398,0.238387749104794,0.324482675137973,0.407444781575573,0.481345103140687,0.256300916438594,0.280020128967109,0.214285239291494,0.38478530549859,0.357450511379082,0.267761119378976,0.404248972759316,0.406212242853062,0.352007841465432,0.452906025744499,0.337166218510339,0.358745446598782,0.319165321549126,0.356349907854892,0.321656741897524,0.39708615590549,0.234749867541248,0.434037612449002,0.5107840803057,0.379662644535121
"joans14",0.581418025990844,0.648680869492022,0.696843404218529,0.626551277541774,0.684264449745308,0.698503412162522,0.69813580495428,0,0.691602771367005,0.734416341619962,0.665734335324578,0.689294759637641,0.617969638788791,0.764464872536128,0.765375343407708,0.786015167271179,0.678999924043882,0.485111232476439,0.755598963502962,0.623414786892754,0.67954515551867,0.676895958638941,0.641923445793129,0.737081482865472,0.572451608879654,0.692378395765279,0.694405004372766,0.737324582666272,0.675763105172876,0.718238991615638,0.669538487808544,0.738404044736115,0.663410352524348,0.649479425551937,0.709794425376268,0.686279900461589,0.497552061494595,0.683286227934675,0.650154343922112,0.62090756025585,0.704776406694945,0.668143030296423,0.692937729320199,0.730587465888005,0.736451980844568,0.753924504604565,0.737380221515107,0.686269098478398,0.700387473836187,0.734930007939562,0.767525382176149,0.728085136430135,0.778298502519528,0.749704754026163,0.736252716622848,0.704892658999703,0.610527962634434,0.758263514964609,0.725837792374253,0.699424726149279,0.771594646522282,0.795559403322835,0.666480162815367,0.782125823958119,0.708944684069519,0.703912596582012,0.62196158872839,0.736521091970659,0.725878399501211,0.719075646205219,0.771863633122268,0.75237481748122,0.743105562010536,0.785341025202563,0.566415435158001,0.736131045209396,0.77782382296663,0.728340555072209,0.728367440191953,0.714836741732594,0.69571392695016,0.724563425545045,0.703750005069044,0.687697271158117,0.735151585337127,0.658626201702124,0.553449965095231,0.740495262346299,0.688447141351988,0.662410733944,0.797910276838821,0.62783616486531,0.738415460532682,0.727310306854689,0.745222422144074,0.704918673173773,0.576579117881095,0.777251647264593,0.744149970850319,0.745662444711569,0.729129152423075,0.671141106236383,0.71612736117963,0.715355973578708,0.686890611760791,0.663770254180776,0.680476734341024,0.733064792625179,0.560835688323545,0.646338819713078,0.761611875546762,0.717672085267764,0.665097405281905,0.624692200843686,0.746881584583135,0.553206096290016,0.74731307464091,0.666965369387812,0.719551976223442,0.707095798499633,0.720190033163497,0.654871193078811,0.755961008604322,0.711575063054763,0.645730384130997,0.677004383716744,0.739569733898334,0.735481397361052,0.719383378881477,0.668716026259142,0.670637679174547,0.654910752648833,0.7011634004397,0.743463140664453,0.74629940207796,0.705963602003405,0.673435296082998,0.741903656620684,0.631676311646504,0.758139093917299,0.687202639045191,0.744615449774782,0.713130362960803,0.6560845994828,0.628340563620163,0.655241276924381,0.767441935881151,0.774922281120651
"kubo14",0.329980925524546,0.297423155969957,0.285284186861114,0.347369109625842,0.445746589322706,0.285298634458337,0.243286874855314,0.691602771367005,0,0.345355629601789,0.294171415798396,0.229209983702457,0.413405547144149,0.408041204570299,0.32412958621892,0.454098040944082,0.406979253451893,0.676575540861516,0.436575153228412,0.766432838737746,0.387578311421784,0.331090310082023,0.381747458497053,0.365103160333108,0.50718714495173,0.341631571525643,0.236717168998491,0.401519385351632,0.429850888325135,0.443988057249525,0.256685133095716,0.437484577292104,0.282188648020622,0.335683844419712,0.391095601228959,0.253871549802993,0.616571332544791,0.393076857321584,0.344184506950987,0.366523869848206,0.358168312649556,0.357927491553431,0.460510136067322,0.260072198944747,0.283835497708152,0.322984812694998,0.42780937270493,0.298169755291113,0.381761643217296,0.403220916353506,0.412268463637281,0.411773053643478,0.395899752473065,0.338781394963534,0.243607527261559,0.321520760289346,0.44452310751227,0.427069342514012,0.24348637702857,0.393305903634696,0.335934647466482,0.446222203953118,0.438957418884128,0.493493080858215,0.29273523753203,0.309507556828232,0.354432010650037,0.397850759032985,0.334338637472275,0.356880840526386,0.366302429248958,0.318807200449666,0.454874232473319,0.345114379190261,0.426459780670546,0.320680793593266,0.378836288713683,0.406558710442019,0.346258762162896,0.217956400649598,0.266549543245659,0.325891290324439,0.308414129202387,0.432707018570396,0.304472837900421,0.338807776326206,0.462003492812656,0.348725267498861,0.304094038599793,0.285579611233237,0.403347427260642,0.326049507358398,0.361361179929222,0.270967802494787,0.45871781361252,0.271946765711507,0.429010157795493,0.332045539234139,0.451596333654424,0.326921159268082,0.461510590389433,0.382698717910192,0.23117345464872,0.339271764870636,0.329117961103158,0.337378986166152,0.461365224860372,0.440129199070275,0.506325199299654,0.346554652029201,0.427148891425469,0.47905794966231,0.473191765106033,0.305636428418813,0.430363247153231,0.46320938134979,0.254414207970928,0.40866675651926,0.324281492228892,0.44108335355961,0.428357757046715,0.322870317702192,0.357663726180518,0.38904244667346,0.289212490715478,0.35925900000477,0.369360853728848,0.463053757848397,0.259911256930023,0.37459028450612,0.222296709389241,0.364963282211957,0.338737323771247,0.267356847929978,0.358085862380815,0.325947112063423,0.353045787462366,0.471899564078219,0.375389164453084,0.292383899182844,0.292069530286486,0.298126929203776,0.292640625587673,0.398662581606748,0.317080003084995,0.451761304744248,0.50466847186992,0.368030346638333
"wolverine14",0.431134186520702,0.406330049305591,0.392879558432946,0.433124155921905,0.432597238477602,0.34865468361117,0.334007539731265,0.734416341619962,0.345355629601789,0,0.340490528267671,0.353263601639913,0.472348400839579,0.31049641733559,0.468159443125823,0.551497571975988,0.295079015854354,0.717774044881727,0.402824848598339,0.786431606224571,0.420116965500973,0.424809145090729,0.465476896840507,0.509034917836965,0.480951302745219,0.439395066985623,0.352780302701266,0.354937313639129,0.448545917488851,0.493846437418079,0.365754238784422,0.350062866539995,0.438095029309658,0.327545798007353,0.385788459424411,0.418207656118353,0.656210414468442,0.436281311561582,0.406179530332266,0.398068005930823,0.49731974279082,0.41745861183656,0.517453307628895,0.346663339786227,0.333528711567666,0.400544477694552,0.529632801538569,0.379225411588429,0.420641548117413,0.410570499412086,0.423420677198804,0.480108760427682,0.419193744188707,0.449852887823507,0.357093759901273,0.263771915982384,0.512596359600395,0.502796744055877,0.314095677325111,0.425399650541451,0.467514458896813,0.450723400215552,0.413751226208091,0.534801548355246,0.364610166340678,0.362782110800869,0.346386250422133,0.386572269517689,0.441711144443379,0.233723185204977,0.332444620880849,0.439094568709717,0.448731870906993,0.439781832749467,0.432639016278942,0.395019100633329,0.318356517211281,0.401080902657275,0.417638027942077,0.337067954651382,0.296827152460162,0.325257274517512,0.339841717493089,0.450826768230451,0.257959657767894,0.387992662930246,0.438584026952383,0.367289676243494,0.352979629317178,0.409372961378938,0.354684602099827,0.430988135744099,0.474450511380133,0.300067769108664,0.503837491144855,0.293904276995811,0.470449515063787,0.324947047050401,0.461523853984059,0.413222282784698,0.507743057132265,0.461175959313057,0.28816110507016,0.279455173746895,0.340039916831489,0.380996755342675,0.475498615746792,0.522294332398612,0.486578640654058,0.336461583300576,0.439433323303965,0.515787626331857,0.567182853334046,0.435657874643987,0.417536491474198,0.498627020665012,0.290516507917493,0.361637479432987,0.280140974682016,0.517347658272809,0.502879492760961,0.43936923555494,0.454013614048079,0.486168757541154,0.349501391757699,0.319159554681828,0.483571611410659,0.550043396390343,0.371335889620607,0.343714082231297,0.391836435832368,0.460318831872669,0.266373122535448,0.320671161897842,0.223437547999209,0.418142066658858,0.260259032576039,0.507411499503613,0.468444502162468,0.426451013761516,0.373159844183063,0.303208821421731,0.370704728552052,0.50093521227454,0.37073832175102,0.468202489061822,0.573329566554465,0.307602923996155
