"ID"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"txid1329411"	0	0	0	0	0	0	1
"txid1683"	0	0	0	0	0	0	1
"txid2052941"	0	0	0	0	0	0	1
"txid1437609"	0	0	0	0	0	0	36
"txid2650773"	0	0	0	0	0	0	4
"txid1630172"	9	0	0	0	0	0	6
"txid2834437"	0	0	0	0	0	0	4
"txid1630166"	7	0	1	0	0	0	4
"txid2834431"	0	0	0	0	0	0	1
"txid2834432"	0	0	0	0	0	0	1
"txid78257"	0	0	0	0	0	0	238
"txid1437610"	0	0	0	0	0	0	1
"txid2045439"	2	0	0	0	0	0	14
"txid2834433"	1	0	0	0	0	0	1
"txid2306974"	0	0	0	0	0	0	3
"txid158787"	0	0	0	0	0	0	1
"txid2562524"	0	0	0	0	0	0	1
"txid1852385"	0	1	0	0	0	4	0
"txid1805478"	0	0	0	0	0	0	1
"txid2003188"	0	0	0	0	0	3	4
"txid1871022"	0	0	0	0	1	0	0
"txid1871031"	1	2	0	1	5	9	7
"txid1720204"	0	0	0	0	0	1	0
"txid147207"	4	7	0	1	19	521	10
"txid1871016"	1	0	0	1	0	0	0
"txid1937461"	0	0	1	0	1	0	0
"txid147206"	1	0	0	0	1	14	0
"txid742742"	6	2	3	5	14	42	4
"txid1870987"	1	2	0	2	22	75	4
"txid1841855"	2	0	0	0	0	0	0
"txid47678"	0	1	0	0	0	0	0
"txid762984"	6	0	0	0	0	0	0
"txid28111"	64	0	5	5	2	1	0
"txid1236513"	11	0	0	0	0	0	1
"txid1077285"	4	0	0	0	0	0	0
"txid338188"	8	0	0	0	2	1	2
"txid1462571"	0	0	0	0	0	0	2
"txid2792859"	0	0	0	0	0	0	2
"txid1912896"	33	0	0	0	2	6	2
"txid1912894"	1	0	0	1	0	0	0
"txid2650158"	3	0	0	0	0	0	0
"txid1841856"	0	12	0	0	0	10	439
"txid28116"	54	0	3	0	1	2	3
"txid1236512"	1	0	0	0	0	0	0
"txid449673"	424	2	21	27	38	17	12
"txid818"	165	0	8	4	4	0	1
"txid820"	133	1	6	6	15	27	21
"txid657309"	180	1	7	4	8	6	17
"txid2725562"	0	0	0	0	0	0	6
"txid1841865"	0	0	0	0	0	0	5
"txid376804"	0	3	0	0	0	2	15
"txid387090"	0	0	0	0	0	0	3
"txid357276"	467	7	57	80	123	82	52
"txid2786956"	0	0	0	0	0	0	1
"txid2739389"	0	0	0	0	1	0	0
"txid204516"	237	1	2	1	3	2	3
"txid1236498"	0	0	0	0	0	0	3
"txid484018"	1	2	0	0	0	0	11
"txid1236538"	1	30	0	0	0	56	299
