"ID"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"txid1437609"	0	0	0	0	0	1
"txid1630166"	0	0	1	0	0	0
"txid1805478"	0	1	1	0	0	0
"txid2003188"	4	0	3	5	0	6
"txid1871022"	0	0	0	0	0	1
"txid1871031"	5	0	9	3	1	4
"txid2603815"	1	0	0	0	0	0
"txid1907654"	0	0	0	0	0	1
"txid1720204"	10	0	0	6	0	1
"txid147207"	62	12	29	152	0	162
"txid1871016"	0	0	0	1	0	0
"txid1937461"	1	0	2	0	0	0
"txid147206"	11	1	6	36	0	43
"txid742742"	124	8	62	111	4	143
"txid1870987"	27	1	20	31	1	72
"txid1232426"	0	0	0	1	0	0
"txid883106"	0	0	1	0	0	0
"txid85831"	0	0	0	1	0	0
"txid338188"	1	2	4	1	3	10
"txid2792859"	6	12	1	1	2	15
"txid1912896"	0	0	0	0	0	1
"txid1841856"	30	33	9	35	67	55
"txid28116"	1	1	0	1	1	6
"txid449673"	3	13	8	0	0	9
"txid820"	6	18	12	0	1	9
"txid657309"	2	4	2	0	2	15
"txid2650157"	0	0	1	0	1	6
"txid2725562"	0	1	0	0	0	0
"txid376804"	4	14	3	13	17	8
"txid387090"	0	2	0	0	2	0
"txid357276"	11	14	4	12	24	35
"txid2786956"	0	1	0	0	0	0
"txid204516"	5	4	185	0	0	20
"txid1236498"	0	1	0	0	0	0
"txid484018"	194	338	24	4	136	461
"txid1236538"	183	119	33	148	195	326
"txid435590"	104	159	164	43	83	329
"txid487174"	1	2	2	2	1	2
"txid397865"	2	0	5	1	2	3
"txid1349822"	14	30	0	0	0	56
"txid2530391"	6	5	8	1	2	7
"txid2094150"	0	0	1	0	0	0
"txid2094151"	12	9	27	5	3	15
"txid2606626"	4	5	6	5	1	3
"txid671218"	0	1	0	2	1	0
"txid76122"	0	3	0	1	7	1
"txid1841864"	0	4	0	0	4	0
"txid1870999"	0	1	0	0	0	0
"txid454154"	1	1	2	1	1	3
"txid454155"	0	1	0	1	3	0
"txid305719"	31	46	0	25	61	39
"txid873513"	8	18	0	6	43	11
"txid28127"	0	0	0	0	2	0
"txid537011"	478	203	593	205	495	952
"txid1236509"	0	1	0	0	0	0
"txid28129"	0	0	0	0	1	0
"txid1236517"	0	0	0	0	1	0
"txid2801997"	0	0	0	0	1	0
"txid2518605"	0	2	0	0	0	1
"txid2800387"	0	0	0	0	2	0
"txid439703"	1	3	0	1	7	1
"txid28135"	0	1	1	0	2	0
"txid185294"	0	0	0	0	2	0
"txid1002367"	0	1	0	0	0	0
"txid1852370"	331	206	0	162	344	417
"txid823"	169	95	283	105	37	331
"txid387661"	0	1	3	0	1	1
"txid46503"	97	63	133	72	15	224
"txid1379"	0	0	0	0	2	1
"txid29391"	1	0	0	4	1	2
"txid1179782"	2	0	0	1	0	7
"txid1179787"	0	0	0	1	0	0
"txid46125"	1	0	1	1	0	3
"txid137732"	2	1	0	0	1	12
"txid1351"	0	0	2	0	0	0
"txid1156431"	0	0	1	3	2	2
"txid1338"	0	0	1	0	0	1
"txid2382163"	1	0	0	8	3	6
"txid28037"	0	0	0	3	1	5
"txid655813"	1	1	0	4	1	2
"txid1547447"	3	0	1	8	6	6
"txid760570"	0	1	0	1	1	0
"txid1234680"	0	0	0	1	0	0
"txid1305"	0	0	0	0	1	1
"txid2853160"	0	0	1	3	2	3
"txid2126740"	8	19	1	5	2	4
"txid759821"	0	0	0	0	1	0
"txid1347366"	0	0	0	5	20	1
"txid1958780"	1	0	0	1	0	0
"txid2605778"	1	8	3	2	1	1
"txid2479838"	0	2	2	0	0	0
"txid2784388"	0	1	0	0	1	0
"txid1096246"	1	0	0	0	0	0
"txid154046"	0	2	0	0	0	0
"txid384636"	0	2	0	1	0	0
"txid1727145"	0	0	1	0	0	0
"txid259063"	1	2	2	1	0	0
"txid1812858"	0	1	0	0	0	0
"txid1745713"	0	1	0	0	0	0
"txid2606636"	2	11	16	20	14	14
"txid1912897"	0	3	1	0	1	0
"txid1796615"	1	0	3	14	0	1
"txid536633"	144	90	179	745	4	73
"txid2025493"	0	2	1	0	0	0
"txid1121114"	1	2	1	0	0	0
"txid1796616"	0	2	2	0	0	0
"txid180164"	1	2	4	11	0	1
"txid45851"	0	6	2	1	0	0
"txid831"	2	5	4	1	2	2
"txid43305"	0	1	2	1	2	0
"txid2850323"	0	2	0	0	0	0
"txid208479"	19	35	11	36	8	18
"txid358743"	0	2	0	0	0	1
"txid1531"	0	1	0	0	0	0
"txid1912855"	0	0	1	0	0	0
"txid1150298"	0	1	1	0	0	0
"txid1912090"	1	5	0	1	1	0
"txid1679721"	0	0	1	0	0	0
"txid2885351"	1	4	2	1	1	1
"txid2763671"	1	1	2	0	0	1
"txid1469948"	6	5	6	2	0	4
"txid29364"	0	0	2	0	0	0
"txid1926283"	1	5	1	1	1	1
"txid1852382"	1	4	1	5	3	3
"txid253257"	0	4	1	1	0	0
"txid1286362"	26	30	4	15	0	14
"txid69825"	2	13	2	3	1	0
"txid84030"	0	1	0	0	1	0
"txid29370"	0	11	2	1	1	1
"txid29375"	0	1	0	0	0	0
"txid168384"	0	5	1	2	0	1
"txid471875"	0	1	0	0	0	0
"txid33039"	0	1	0	0	0	0
"txid796944"	10	50	26	17	7	19
"txid796943"	214	299	188	167	47	283
"txid237576"	108	208	166	169	70	166
"txid2606632"	2	12	11	4	2	1
"txid2763669"	0	3	1	0	1	0
"txid301302"	0	1	0	0	1	0
"txid585394"	0	1	0	0	0	0
"txid2605790"	0	3	0	0	0	0
"txid84037"	0	0	1	0	0	0
"txid2606634"	0	1	1	0	0	0
"txid2606635"	6	16	10	9	1	7
"txid2763667"	78	94	46	29	3	87
