"ID"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"txid1329411"	0	0	349	0	72	0	158	0
"txid2809027"	0	0	1	0	0	0	0	0
"txid1683"	0	0	22	0	23	0	6	0
"txid1769423"	0	0	1	0	1	0	1	0
"txid1437608"	0	0	2	0	1	0	1	0
"txid2052941"	0	0	2	0	0	0	0	0
"txid1437609"	0	0	48	0	24	0	12	0
"txid1150460"	0	0	9	0	6	0	2	0
"txid2650773"	0	0	11	0	17	0	13	0
"txid2809026"	0	0	0	0	0	0	1	0
"txid2306975"	0	0	2	0	3	0	0	0
"txid1630172"	0	0	126	0	32	0	70	0
"txid2650774"	0	0	2	0	1	0	4	0
"txid2834437"	0	0	12	0	6	0	2	0
"txid1630166"	0	0	118	0	23	0	85	0
"txid2834431"	0	0	7	0	3	0	2	0
"txid2834436"	0	0	0	0	0	0	1	0
"txid2834432"	0	0	24	0	25	0	8	0
"txid28026"	0	0	1	0	0	0	0	0
"txid78257"	0	0	29	0	17	0	4	0
"txid1437610"	0	0	64	0	36	0	60	0
"txid2045439"	0	0	64	0	12	0	7	0
"txid2834433"	0	0	27	0	3	0	18	0
"txid2306974"	0	0	51	0	39	0	11	0
"txid2809028"	0	0	19	0	6	0	2	0
"txid158787"	0	0	3	0	3	0	0	0
"txid2834434"	0	0	1	0	1	0	0	0
"txid762211"	0	0	3	0	2	0	3	0
"txid77635"	0	0	1	0	0	0	0	0
"txid1630162"	0	0	0	0	0	0	1	0
"txid2562524"	0	0	3	0	2	0	2	0
"txid2014528"	0	1	0	1	0	1	1	0
"txid1964384"	0	0	0	0	1	0	0	0
"txid2584469"	0	0	0	0	1	0	0	0
"txid1852385"	0	0	2	0	2	0	2	0
"txid997349"	0	0	0	0	0	0	1	0
"txid1805478"	0	0	0	0	2	1	1	0
"txid604330"	0	0	0	0	1	0	0	0
"txid2003188"	0	1	10	0	12	3	6	1
"txid1871022"	0	0	0	0	0	0	0	1
"txid2779357"	0	0	0	0	1	0	0	0
"txid1871031"	2	0	5	0	9	7	4	4
"txid1852386"	0	0	0	0	0	0	1	0
"txid74426"	0	0	1	0	1	0	1	0
"txid2603815"	0	0	3	0	7	0	3	1
"txid1907654"	0	0	7	0	9	0	4	0
"txid1720204"	0	0	2	0	0	1	0	0
"txid147207"	12	4	25	23	61	164	24	79
"txid1871016"	0	0	3	0	2	2	2	0
"txid1937461"	1	1	2	2	6	12	1	2
"txid147206"	0	0	1	2	1	13	2	3
"txid742742"	19	9	72	84	65	182	60	52
"txid1870987"	7	5	11	44	14	80	4	13
"txid1232426"	0	0	3	0	1	1	0	0
