"ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"txid1437609"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium callitrichos"
"txid1630166"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium myosotis"
"txid2003188"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Parolsenella"	"s__Parolsenella catena"
"txid1871022"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Parolsenella"	"s__Parolsenella massiliensis"
"txid1871031"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Thermophilibacter"	"s__Thermophilibacter mediterraneus"
"txid147207"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella intestinalis"
"txid1937461"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella provencensis"
"txid742742"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella tanakaei"
"txid1870987"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella vaginalis"
"txid1462569"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides caecicola"
"txid1411144"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides caecigallinarum"
"txid28111"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides eggerthii"
"txid1462571"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides gallinaceum"
"txid2792859"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides humanifaecis"
"txid1912896"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides koreensis"
"txid1841856"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides mediterraneensis"
"txid28116"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides ovatus"
"txid291644"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides salyersiae"
"txid449673"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides stercoris"
"txid820"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides uniformis"
"txid657309"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides xylanisolvens"
