"ID"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"txid1329411"	0	0	0	0	0	0	0	0	1	68
"txid1437609"	0	0	0	0	0	0	0	0	0	38
"txid2306975"	0	0	0	0	0	0	0	0	0	1
"txid1630172"	0	0	0	0	0	0	0	0	0	15
"txid2650774"	0	0	0	0	0	0	0	0	0	1
"txid1630166"	0	0	0	0	0	0	0	1	0	141
"txid2834436"	0	0	0	0	0	0	0	0	0	1
"txid1437610"	0	0	0	0	0	0	0	0	0	11
"txid2045439"	0	0	0	0	0	0	0	0	0	77
"txid1630162"	0	0	0	0	0	0	0	0	0	24
"txid2562524"	0	0	0	0	0	0	0	0	0	1
"txid2014528"	0	0	0	1	0	0	0	0	0	0
"txid1852385"	0	0	0	0	0	0	0	0	0	1
"txid997349"	0	0	1	1	0	0	0	0	0	0
"txid2003188"	2	3	8	1	0	0	0	0	0	12
"txid1871022"	0	1	0	0	0	0	0	0	0	1
"txid1871031"	0	0	0	1	0	1	0	1	1	2
"txid2603815"	0	0	0	0	0	0	0	0	0	1
"txid1907654"	0	0	0	0	0	0	0	0	0	1
"txid1720204"	0	0	1	0	0	0	0	0	0	0
"txid147207"	0	0	2	4	2	0	3	2	3	4
"txid1871016"	0	0	0	0	0	0	0	0	0	1
"txid1937461"	0	0	0	0	1	0	0	0	0	1
"txid147206"	0	0	0	1	1	0	2	0	3	1
"txid742742"	0	0	9	6	13	5	2	6	19	25
"txid1870987"	0	0	19	9	15	3	3	3	32	5
"txid1232426"	0	0	0	1	0	0	0	0	0	0
"txid1871019"	0	0	0	0	0	0	0	0	0	1
"txid1462569"	0	0	0	1	0	0	0	0	0	0
"txid1411144"	0	0	0	2	0	0	0	0	0	1
"txid338188"	0	0	0	0	1	1	0	0	2	1
"txid1462571"	0	0	0	1	0	0	2	0	0	0
"txid2792859"	0	0	0	0	3	6	0	3	7	5
"txid1912896"	0	0	0	0	0	5	0	0	2	1
"txid1841856"	1	0	0	23	9	18	12	2	13	24
"txid28116"	0	0	0	0	3	4	0	0	0	1
"txid291644"	0	0	0	0	0	0	0	0	0	1
"txid449673"	0	0	0	0	3	11	0	5	3	4
"txid820"	0	0	0	0	0	0	0	0	4	2
"txid657309"	0	0	0	0	0	1	0	0	2	0
"txid2650157"	0	0	0	0	1	0	0	0	0	0
"txid2725562"	0	0	0	3	0	0	1	0	0	0
"txid376804"	0	0	0	11	1	5	5	0	2	2
"txid470145"	0	0	0	1	0	0	1	0	0	0
"txid357276"	0	0	0	6	7	6	0	4	2	5
"txid2786956"	0	0	0	1	0	0	1	1	0	0
"txid2739389"	0	0	0	0	0	1	0	0	0	0
"txid204516"	0	0	0	1	21	39	0	22	26	23
"txid484018"	0	0	0	2	0	2	1	0	1	3
"txid1236538"	0	0	1	80	33	82	63	37	144	61
"txid435590"	0	0	264	12	25	98	8	50	51	72
"txid397865"	0	0	0	1	0	0	0	0	0	0
"txid2518971"	0	0	0	1	0	0	1	0	0	0
"txid2530391"	0	0	0	1	0	0	0	0	0	0
"txid2094151"	0	0	0	2	0	0	1	0	0	0
"txid2606626"	0	0	0	1	0	0	0	0	0	0
"txid671218"	0	0	0	0	0	0	1	0	0	0
"txid76122"	0	0	0	1	0	0	2	0	0	0
"txid1841864"	0	0	0	1	0	0	3	0	0	0
"txid454154"	0	0	0	1	0	0	1	0	0	0
"txid454155"	0	0	0	2	0	0	1	0	0	0
"txid305719"	0	0	0	30	0	0	28	0	0	0
"txid873513"	0	0	0	9	0	0	11	0	0	0
"txid28127"	0	0	0	0	0	0	1	0	0	0
"txid537011"	1	0	1303	590	1861	2284	420	1668	3635	4855
"txid28128"	0	0	0	1	0	0	1	0	0	1
"txid28129"	0	0	0	2	0	0	0	0	0	0
"txid76123"	0	0	0	1	0	0	1	0	0	0
"txid2801997"	0	0	0	14	0	0	13	0	0	22
"txid2518605"	0	0	0	0	1	2	0	1	0	3
"txid2800387"	0	0	0	1	0	0	3	0	0	0
"txid2490854"	0	0	0	3	0	0	2	0	0	0
"txid2854755"	0	0	0	1	0	0	1	0	0	1
"txid1776379"	0	0	0	1	0	0	0	0	0	0
"txid840"	0	0	0	1	0	0	4	0	0	0
"txid439703"	0	0	0	5	0	0	4	0	0	0
"txid2479840"	0	0	0	3	0	0	5	0	0	1
"txid862515"	0	0	0	0	0	0	1	0	0	0
"txid28135"	0	0	0	10	0	0	9	0	0	26
"txid915438"	0	0	0	10	0	0	6	0	0	2
"txid185294"	0	0	0	1	0	0	1	0	0	0
"txid407975"	0	0	0	1	0	0	1	0	0	0
"txid1676614"	0	0	0	53	0	0	37	0	0	6
"txid228603"	0	0	0	4	0	0	4	0	0	0
"txid1002367"	0	0	0	0	0	0	1	0	0	0
"txid1852370"	0	0	1	121	0	0	112	0	1	1
"txid871327"	0	0	0	1	0	0	1	0	0	0
"txid823"	0	0	1	63	32	75	27	17	73	54
"txid387661"	0	0	0	1	2	1	0	1	0	0
"txid46503"	0	0	0	38	2	8	19	2	7	5
"txid1017"	0	0	0	0	0	0	0	0	0	1
"txid1379"	0	0	0	0	0	1	0	5	0	0
"txid29391"	1	0	0	0	0	1	0	7	0	0
"txid1179782"	0	0	0	0	0	0	0	3	1	1
