"ID"	"padme11"
"txid147207"	6
"txid742742"	2
"txid1870987"	1
"txid762984"	16
"txid28111"	4
"txid2792859"	2
"txid1912896"	1
"txid28116"	1
"txid449673"	1
"txid818"	27
"txid820"	42
"txid657309"	15
"txid357276"	148
"txid204516"	19
"txid435590"	87
"txid487174"	10
"txid1349822"	3
"txid76122"	2
"txid454154"	11
"txid305719"	14
"txid873513"	4
"txid537011"	128
"txid28135"	1
"txid1002367"	1
"txid1852370"	40
"txid328813"	1
"txid823"	55
"txid46503"	31
"txid1351"	2
"txid197614"	35
"txid501571"	38
"txid2126740"	17
"txid1958780"	3
"txid29363"	6
"txid1502"	3
"txid2605778"	10
"txid2479838"	5
"txid1096246"	2
"txid154046"	1
"txid384636"	2
"txid2606636"	3
"txid1532"	3
"txid536633"	7
"txid2025493"	2
"txid1121114"	5
"txid1796616"	2
"txid45851"	2
"txid831"	1
"txid185008"	1
"txid673271"	2
"txid2850323"	1
"txid208479"	21
"txid358743"	2
"txid1531"	1
"txid1408099"	1
"txid1912090"	1
"txid2885351"	3
"txid1469948"	1
"txid1512"	9
"txid1926283"	7
"txid1852382"	1
"txid253257"	2
"txid1286362"	24
"txid69825"	11
"txid84030"	2
"txid29370"	4
"txid168384"	1
"txid411470"	458
"txid1337051"	1
"txid796944"	9
"txid796943"	35
"txid237576"	24
"txid2606632"	2
"txid2763669"	1
"txid2605790"	1
"txid2606635"	1
"txid2763667"	35
"txid1673717"	4
"txid169435"	2
"txid642589"	1
"txid1632013"	2
"txid292800"	14
"txid1841866"	1
"txid2714355"	1
"txid1535"	10
"txid1121308"	58
"txid2654621"	526
"txid742816"	2114
"txid158847"	24
"txid491921"	376
"txid1064535"	24
"txid879612"	10
"txid1232428"	4
"txid349095"	13
"txid2144175"	6
"txid2045301"	3
"txid479436"	3
"txid134605"	7
"txid1755100"	1
"txid850"	329
"txid852"	150
"txid856"	1098
"txid1852381"	1
"txid2584944"	11
"txid1944635"	54
"txid762983"	39
"txid61645"	3
"txid550"	7
"txid299767"	1
"txid539813"	1
"txid2529382"	2
"txid2497436"	10
"txid2071710"	1
"txid2529381"	1
"txid208962"	1
"txid562"	2
"txid585054"	165
"txid1499973"	42
"txid621"	65
"txid622"	2
"txid623"	320
"txid624"	7
