"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.0551428571428571	0.450428571428571	0.202714285714286	0.700428571428571	0.535	0.542857142857143	0.0852857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.641571428571429	0.298428571428571	0.0461428571428571	0.117428571428571	0.244857142857143	0.250714285714286	0.726714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0111428571428571	0.177571428571429	0.513	0.104142857142857	0.0547142857142857	0.0117142857142857	0.00585714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.0584285714285714	0.0604285714285714	0.0707142857142857	0.0592857142857143	0.114571428571429	0.0785714285714286	0.0301428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0582857142857143	0.01	0.00242857142857143	0.015	0.0317142857142857	0.00957142857142857	0.0962857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.169428571428571	0.001	0.00357142857142857	0.00114285714285714	0.00585714285714286	0.007	0.00257142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000285714285714286	0.000142857142857143	0.160285714285714	0.00114285714285714	0.00428571428571429	0.004	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.002	0.002	0.000571428571428571	0.00142857142857143	0.009	0.0955714285714286	0.00428571428571429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0.00271428571428571	0	0.000142857142857143	0	0	0	0.0454285714285714
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0	0	0	0	0.00342857142857143
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia"	0.001	0	0.000428571428571429	0	0	0	0
