"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.134142857142857	0.196571428571429	0.0401428571428571	0.225714285714286	0.118571428571429	0.112428571428571	0.184428571428571	0.508428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.255142857142857	0.139571428571429	0.0838571428571429	0.163857142857143	0.351857142857143	0.244142857142857	0.204142857142857	0.0177142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.0717142857142857	0.197571428571429	0.045	0.344571428571429	0.141857142857143	0.199428571428571	0.163142857142857	0.0562857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0854285714285714	0.108142857142857	0.0534285714285714	0.0948571428571429	0.113285714285714	0.213857142857143	0.155	0.041
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.00471428571428571	0.000285714285714286	0.701714285714286	0.000142857142857143	0.0257142857142857	0.0427142857142857	0.061	0.00342857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0174285714285714	0.152857142857143	0.0262857142857143	0.0758571428571429	0.113428571428571	0.0482857142857143	0.0765714285714286	0.0332857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.381	0.000142857142857143	0.000714285714285714	0.00371428571428571	0.00128571428571429	0.0121428571428571	0.0201428571428571	0.00114285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.00671428571428571	0.0847142857142857	0.0174285714285714	0.031	0.0451428571428571	0.0271428571428571	0.0532857142857143	0.142142857142857
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.007	0.0277142857142857	0.00457142857142857	0.0114285714285714	0.0244285714285714	0.0231428571428571	0.0105714285714286	0.0702857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00471428571428571	0.0145714285714286	0.00557142857142857	0.00971428571428571	0.0217142857142857	0.007	0.0165714285714286	0.0425714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00442857142857143	0.0114285714285714	0.002	0.0214285714285714	0.0157142857142857	0.0327142857142857	0.00542857142857143	0.00371428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0165714285714286	0.0114285714285714	0.00171428571428571	0.00714285714285714	0.00942857142857143	0.0212857142857143	0.013	0.00585714285714286
