"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.0717142857142857	0.197571428571429	0.045	0.344571428571429	0.141857142857143	0.199428571428571	0.163142857142857	0.0562857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.230857142857143	0.0984285714285714	0.0535714285714286	0.12	0.184428571428571	0.139571428571429	0.160857142857143	0.0144285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0852857142857143	0.112428571428571	0.0127142857142857	0.168142857142857	0.0498571428571429	0.0525714285714286	0.084	0.273857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0.000428571428571429	0.000285714285714286	0.535571428571429	0	0.00585714285714286	0.00157142857142857	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0174285714285714	0.0375714285714286	0.0255714285714286	0.0405714285714286	0.158	0.0972857142857143	0.041	0.00271428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.331428571428571	0.000142857142857143	0.000571428571428571	0.003	0.000571428571428571	0.00842857142857143	0.0177142857142857	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.005	0.0717142857142857	0.012	0.0218571428571429	0.0302857142857143	0.017	0.0452857142857143	0.121428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.00914285714285714	0.0645714285714286	0.011	0.0358571428571429	0.0408571428571429	0.0197142857142857	0.0431428571428571	0.0147142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0201428571428571	0.0165714285714286	0.00685714285714286	0.0118571428571429	0.022	0.0304285714285714	0.0288571428571429	0.077
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0108571428571429	0.0264285714285714	0.0108571428571429	0.0297142857142857	0.0185714285714286	0.057	0.04	0.0118571428571429
