"Taxa"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.256142857142857	0.177857142857143	0.263285714285714	0.173428571428571	0.248285714285714	0.0727142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.157714285714286	0.290428571428571	0.125571428571429	0.196857142857143	0.192	0.122857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.071	0.110857142857143	0.200142857142857	0.254142857142857	0.251142857142857	0.0654285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0715714285714286	0.0931428571428571	0.059	0.0314285714285714	0.0652857142857143	0.168428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.074	0.0392857142857143	0.0848571428571429	0.0338571428571429	0.0881428571428571	0.143428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0474285714285714	0.0795714285714286	0.0542857142857143	0.0504285714285714	0.0177142857142857	0.0668571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.038	0.0227142857142857	0.0598571428571429	0.0252857142857143	0.00757142857142857	0.0794285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.0472857142857143	0.0294285714285714	0	0.0231428571428571	0.0491428571428571	0.0595714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.021	0.0144285714285714	0.0272857142857143	0.11	0.000714285714285714	0.0107142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.0337142857142857	0.00314285714285714	0.017	0.0481428571428571	0.000714285714285714	0.0602857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0261428571428571	0.0134285714285714	0.043	0.00657142857142857	0.0281428571428571	0.0258571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.00471428571428571	0.0237142857142857	0.0135714285714286	0.00142857142857143	0.00785714285714286	0.0324285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.0595714285714286	0.00842857142857143	0	0.00128571428571429	0.000428571428571429	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.007	0.0118571428571429	0.00528571428571429	0.00557142857142857	0.011	0.018
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.0411428571428571	0.007	0	0.000571428571428571	0.000285714285714286	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.0111428571428571	0.0134285714285714	0.00657142857142857	0.00414285714285714	0.000428571428571429	0.0124285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.00457142857142857	0.0117142857142857	0.002	0.00414285714285714	0.005	0.00457142857142857
