"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.0864285714285714	0.141142857142857	0.633857142857143	0.302571428571429	0.675	0.458285714285714	0.708857142857143	0.0331428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.437285714285714	0.454285714285714	0.0232857142857143	0.163857142857143	0.0537142857142857	0.102571428571429	0.0201428571428571	0.436142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.0724285714285714	0.151	0.0298571428571429	0.241142857142857	0.0355714285714286	0.139571428571429	0.0307142857142857	0.137285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.176714285714286	0.104	0.0201428571428571	0.126714285714286	0.0352857142857143	0.119857142857143	0.0241428571428571	0.119142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0391428571428571	0.0418571428571429	0.0251428571428571	0.120285714285714	0.00942857142857143	0.0698571428571429	0.00985714285714286	0.243428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.006	0.0208571428571429	0.099	0.012	0.0932857142857143	0.0151428571428571	0.0761428571428571	0.00385714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0.143142857142857	0	0.0511428571428571	0	0.0677142857142857	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00585714285714286	0.00285714285714286	0.021	0.0221428571428571	0.028	0.0665714285714286	0.0165714285714286	0.0222857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.0852857142857143	0.0371428571428571	0.00314285714285714	0.000857142857142857	0.00328571428571429	0.00728571428571429	0.0397142857142857	0.000285714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0828571428571429	0.0371428571428571	0	0.002	0.0117142857142857	0.0154285714285714	0.00357142857142857	0.000714285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00771428571428571	0.00942857142857143	0.00142857142857143	0.00728571428571429	0.00328571428571429	0.005	0.00242857142857143	0.00342857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0	0.000142857142857143	0	0.000857142857142857	0.000285714285714286	0.000285714285714286	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0.000142857142857143	0	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000142857142857143	0	0	0.000142857142857143	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0.000142857142857143	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0	0	0.000142857142857143
