"Taxa"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.154142857142857	0.402428571428571	0.0582857142857143	0.201571428571429	0.367142857142857	0.305571428571429	0.260714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.145428571428571	0.125428571428571	0.029	0.202714285714286	0.313142857142857	0.113	0.192142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.217857142857143	0.212142857142857	0.036	0.207714285714286	0.0832857142857143	0.112857142857143	0.159285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.133857142857143	0.0771428571428571	0.100857142857143	0.0264285714285714	0.0544285714285714	0.244285714285714	0.0582857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.159857142857143	0.0581428571428571	0.0148571428571429	0.169142857142857	0.0931428571428571	0.0411428571428571	0.103142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.000142857142857143	0.000142857142857143	0.371857142857143	0.0877142857142857	0.000571428571428571	0.00114285714285714	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.016	0.0274285714285714	0.167428571428571	0.0257142857142857	0.0155714285714286	0.0907142857142857	0.0221428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.0724285714285714	0.0411428571428571	0.00328571428571429	0.000142857142857143	0.00514285714285714	0.0425714285714286	0.0194285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0.000142857142857143	0.127714285714286	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.000285714285714286	0	0.000142857142857143	0.0152857142857143	0.000428571428571429	0	0.111285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.02	0.0177142857142857	0.00728571428571429	0.0357142857142857	0.00585714285714286	0.00471428571428571	0.00828571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0242857142857143	0.00757142857142857	0.004	0.00685714285714286	0.0195714285714286	0.00571428571428571	0.0278571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00942857142857143	0.00271428571428571	0.0435714285714286	0.011	0.004	0.0181428571428571	0.00557142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.01	0.0155714285714286	0.0142857142857143	0.00271428571428571	0.0307142857142857	0.0115714285714286	0.00928571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.0115714285714286	0.00457142857142857	0.000428571428571429	0.000142857142857143	0.00357142857142857	0.005	0.0125714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.002	0.000857142857142857	0.0128571428571429	0.00228571428571429	0.000571428571428571	0.000857142857142857	0.000714285714285714
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0.00157142857142857	0.00271428571428571	0.00314285714285714	0.000142857142857143	0	0.000142857142857143	0.004
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.00814285714285714	0.000571428571428571	0	0	0.000285714285714286	0.000571428571428571	0.000857142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000285714285714286	0.001	0.00285714285714286	0.000428571428571429	0.00171428571428571	0.000285714285714286	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0.00514285714285714	0.000142857142857143	0	0	0	0	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0.00142857142857143	0.00142857142857143	0	0.000285714285714286	0.000142857142857143	0.000142857142857143	0.00142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.000714285714285714	0.000142857142857143	0.00214285714285714	0.000142857142857143	0	0.001	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0.002	0.000142857142857143	0	0	0	0	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0.00228571428571429	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae"	0	0.000428571428571429	0	0.00171428571428571	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae"	0	0	0	0.001	0	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae"	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0.000142857142857143	0	0	0.000428571428571429	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae"	0	0	0	0.000285714285714286	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae"	0	0	0	0	0.000285714285714286	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0	0	0	0	0	0.000285714285714286	0.000142857142857143
