"Taxa"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.154142857142857	0.402428571428571	0.0582857142857143	0.201571428571429	0.367142857142857	0.305571428571429	0.260571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.144428571428571	0.125142857142857	0.0282857142857143	0.179285714285714	0.301	0.110142857142857	0.186142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.217857142857143	0.212142857142857	0.036	0.207714285714286	0.0832857142857143	0.112857142857143	0.159285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0937142857142857	0.0627142857142857	0.0642857142857143	0.0208571428571429	0.0457142857142857	0.212714285714286	0.041
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0	0	0.371571428571429	0.0877142857142857	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0131428571428571	0.0238571428571429	0.109428571428571	0.0211428571428571	0.0137142857142857	0.0881428571428571	0.0177142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0485714285714286	0.0168571428571429	0.00985714285714286	0.108857142857143	0.0372857142857143	0.0161428571428571	0.0381428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.0724285714285714	0.0411428571428571	0.00328571428571429	0.000142857142857143	0.00514285714285714	0.0425714285714286	0.0194285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.04	0.0144285714285714	0.0361428571428571	0.00542857142857143	0.00871428571428571	0.0315714285714286	0.0172857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0.000142857142857143	0.127714285714286	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.0324285714285714	0.0151428571428571	0.00157142857142857	0.016	0.00628571428571429	0.00742857142857143	0.0185714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00942857142857143	0.00271428571428571	0.0435714285714286	0.011	0.004	0.0181428571428571	0.00557142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.01	0.0155714285714286	0.0142857142857143	0.00271428571428571	0.0305714285714286	0.0115714285714286	0.00928571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.00285714285714286	0.00357142857142857	0.058	0.00457142857142857	0.00185714285714286	0.00257142857142857	0.00442857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.0177142857142857	0.00442857142857143	0.00357142857142857	0.00628571428571429	0.013	0.004	0.0247142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.000142857142857143	0	0	0.00714285714285714	0	0	0.0632857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.0244285714285714	0.00728571428571429	0.001	0.00742857142857143	0.00785714285714286	0.00228571428571429	0.0187142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora"	0.0224285714285714	0.01	0.000142857142857143	0.004	0.018	0.00814285714285714	0.00614285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.0197142857142857	0.0177142857142857	0.001	0.00842857142857143	0.00571428571428571	0.00471428571428571	0.00828571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.000142857142857143	0	0.000142857142857143	0.008	0	0	0.048
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0	0	0.000571428571428571	0.0217142857142857	0.0108571428571429	0.00285714285714286	0.00571428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.000285714285714286	0	0.006	0.027	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster"	0.00428571428571429	0.00228571428571429	0.000571428571428571	0.00642857142857143	0.00742857142857143	0.003	0.007
