"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.387428571428571	0.445142857142857	0.614285714285714	0.533714285714286	0.423857142857143	0.0702857142857143	0.434714285714286	0.465142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.280142857142857	0.154285714285714	0.184285714285714	0.118285714285714	0.158285714285714	0.436428571428571	0.169571428571429	0.182571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.285	0.339714285714286	0.0875714285714286	0.132857142857143	0.147	0.0351428571428571	0.293571428571429	0.137285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0202857142857143	0.0317142857142857	0.100571428571429	0.195857142857143	0.239857142857143	0.271571428571429	0.0768571428571429	0.155285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00914285714285714	0.00771428571428571	0.013	0.0164285714285714	0.0241428571428571	0.0695714285714286	0.0231428571428571	0.0285714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0	0	0	0.0841428571428571	0.000142857142857143	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.013	0.00942857142857143	0.000285714285714286	0.00271428571428571	0.00657142857142857	0.0215714285714286	0.00171428571428571	0.0171428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.00328571428571429	0.00671428571428571	0	0	0	0.00228571428571429	0.000285714285714286	0.0135714285714286
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.000571428571428571	0.00342857142857143	0	0	0	0.009	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00114285714285714	0.00171428571428571	0	0.000142857142857143	0.000285714285714286	0	0	0.000428571428571429
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria"	0	0.000142857142857143	0	0	0	0	0	0
