"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.280142857142857	0.154285714285714	0.184285714285714	0.118285714285714	0.158285714285714	0.436428571428571	0.169571428571429	0.182571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.285	0.339714285714286	0.0875714285714286	0.132857142857143	0.147	0.0351428571428571	0.293571428571429	0.137285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.212	0.143285714285714	0.168285714285714	0.163142857142857	0.163142857142857	0.0324285714285714	0.173	0.151142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.144571428571429	0.262142857142857	0.126142857142857	0.262428571428571	0.114	0.0282857142857143	0.0931428571428571	0.165285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0308571428571429	0.0397142857142857	0.319857142857143	0.108142857142857	0.146714285714286	0.00957142857142857	0.168571428571429	0.148714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.0135714285714286	0.0231428571428571	0.0237142857142857	0.07	0.150857142857143	0.268285714285714	0.0407142857142857	0.0531428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00671428571428571	0.00814285714285714	0.0768571428571429	0.125857142857143	0.089	0.00328571428571429	0.0361428571428571	0.0678571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00885714285714286	0.00757142857142857	0.013	0.0164285714285714	0.0241428571428571	0.0694285714285714	0.0231428571428571	0.0285714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0	0.0841428571428571	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.0128571428571429	0.00942857142857143	0.000285714285714286	0.00271428571428571	0.00642857142857143	0.0214285714285714	0.00171428571428571	0.0171428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0	0	0.0342857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.00328571428571429	0.00671428571428571	0	0	0	0.00228571428571429	0.000285714285714286	0.0135714285714286
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.000571428571428571	0.00342857142857143	0	0	0	0.009	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000857142857142857	0.00114285714285714	0	0.000142857142857143	0.000285714285714286	0	0	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000285714285714286	0.000571428571428571	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales"	0.000285714285714286	0	0	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0.000428571428571429	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0.000142857142857143	0	0	0	0.000142857142857143	0.000142857142857143	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales"	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0.000142857142857143	0	0	0	0	0	0
