"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.212	0.143285714285714	0.168285714285714	0.163142857142857	0.163142857142857	0.0324285714285714	0.173	0.151142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.118571428571429	0.233142857142857	0.0894285714285714	0.205	0.0597142857142857	0.0212857142857143	0.0471428571428571	0.0894285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0152857142857143	0.0212857142857143	0.140857142857143	0.0485714285714286	0.051	0.00428571428571429	0.0495714285714286	0.0481428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0	0	0.0754285714285714	0.122285714285714	0.0808571428571429	0.000285714285714286	0.0291428571428571	0.0614285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0245714285714286	0.0278571428571429	0.0351428571428571	0.0544285714285714	0.0494285714285714	0.006	0.0428571428571429	0.071
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0201428571428571	0.0248571428571429	0.0288571428571429	0.0552857142857143	0.0428571428571429	0.00442857142857143	0.0887142857142857	0.0408571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.082	0.0448571428571429	0.001	0.000285714285714286	0.003	0.148142857142857	0.001	0.00228571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.000142857142857143	0	0.063	0.0311428571428571	0.0531428571428571	0.000571428571428571	0.0641428571428571	0.0695714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0201428571428571	0.0207142857142857	0.0217142857142857	0.037	0.0371428571428571	0.00457142857142857	0.0757142857142857	0.0304285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.066	0.131571428571429	0.00742857142857143	0.00642857142857143	0.00671428571428571	0.00328571428571429	0.00428571428571429	0.01
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.0227142857142857	0.017	0.0191428571428571	0.0164285714285714	0.0185714285714286	0.102	0.0122857142857143	0.02
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.000571428571428571	0.00228571428571429	0.0131428571428571	0.0398571428571429	0.0804285714285714	0.0195714285714286	0.024	0.0312857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.0381428571428571	0.0185714285714286	0.0435714285714286	0.0297142857142857	0.016	0.0204285714285714	0.0234285714285714	0.0195714285714286
