"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.0485714285714286	0.530857142857143	0.533857142857143	0.515285714285714	0.434714285714286	0.503285714285714	0.321428571428571	0.630142857142857	0.245428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.900571428571429	0.244142857142857	0.282428571428571	0.126428571428571	0.222428571428571	0.129285714285714	0.113571428571429	0.0861428571428571	0.637428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.00214285714285714	0.134142857142857	0.0882857142857143	0.0861428571428571	0.261142857142857	0.307142857142857	0.515857142857143	0.192857142857143	0.0608571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.00385714285714286	0.0502857142857143	0.069	0.211428571428571	0.0577142857142857	0.0395714285714286	0.0367142857142857	0.0652857142857143	0.0462857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00471428571428571	0.0284285714285714	0.0128571428571429	0.0452857142857143	0.0218571428571429	0.0182857142857143	0.011	0.0224285714285714	0.009
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.03	0.00971428571428571	0.0122857142857143	0.014	0	0	0	0.000285714285714286	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00957142857142857	0.002	0.000285714285714286	0.000714285714285714	0.000714285714285714	0.00171428571428571	0.000714285714285714	0.002	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0	0.000428571428571429	0.001	0.000714285714285714	0.00128571428571429	0.000571428571428571	0.000714285714285714	0.000857142857142857	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia"	0.000428571428571429	0	0	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000142857142857143	0	0	0	0	0	0	0	0
