"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.00214285714285714	0.134142857142857	0.0882857142857143	0.0861428571428571	0.261142857142857	0.307142857142857	0.515857142857143	0.192857142857143	0.0608571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.0457142857142857	0.409142857142857	0.243714285714286	0.107857142857143	0.149714285714286	0.133857142857143	0.0855714285714286	0.336428571428571	0.123
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.0281428571428571	0.242714285714286	0.282285714285714	0.0592857142857143	0.222142857142857	0.129142857142857	0.113571428571429	0.086	0.364857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0	0.121428571428571	0.236714285714286	0.236428571428571	0.223571428571429	0.249571428571429	0.179142857142857	0.207	0.0518571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.857571428571429	0.000714285714285714	0	0.0671428571428571	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0.272571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.00285714285714286	0.000285714285714286	0.0534285714285714	0.171	0.0614285714285714	0.119857142857143	0.0567142857142857	0.0867142857142857	0.0705714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.00385714285714286	0.0502857142857143	0.069	0.211428571428571	0.0577142857142857	0.0395714285714286	0.0367142857142857	0.0652857142857143	0.0462857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00228571428571429	0.028	0.0128571428571429	0.0452857142857143	0.0218571428571429	0.0181428571428571	0.011	0.0224285714285714	0.009
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.03	0.00971428571428571	0.0122857142857143	0.014	0	0	0	0.000285714285714286	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.00957142857142857	0.00171428571428571	0.000285714285714286	0.000714285714285714	0.000714285714285714	0.00171428571428571	0.000428571428571429	0.002	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.0148571428571429	0.000714285714285714	0.000142857142857143	0	0.000142857142857143	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0	0.000428571428571429	0.001	0.000714285714285714	0.00128571428571429	0.000571428571428571	0.000714285714285714	0.000857142857142857	0.000428571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0.00242857142857143	0.000428571428571429	0	0	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0.000285714285714286	0	0	0	0	0.000285714285714286	0	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales"	0.000428571428571429	0	0	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000142857142857143	0	0	0	0	0	0	0	0
