"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.105428571428571	0.378285714285714	0.229857142857143	0.132857142857143	0.187571428571429	0.104142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.115714285714286	0.124285714285714	0.254285714285714	0.148714285714286	0.257857142857143	0.104714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.533	0.111	0.057	0.0281428571428571	0.000142857142857143	0.0788571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.0348571428571429	0.0157142857142857	0.0545714285714286	0.480571428571429	0.021	0.0115714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0541428571428571	0.0534285714285714	0.0732857142857143	0.016	0.158857142857143	0.145714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0451428571428571	0.142142857142857	0.114142857142857	0.0545714285714286	0.0814285714285714	0.0607142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0208571428571429	0.0592857142857143	0.100285714285714	0.0688571428571429	0.0735714285714286	0.0995714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.0165714285714286	0.0192857142857143	0.0357142857142857	0.0167142857142857	0.128	0.199285714285714
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.0458571428571429	0.0461428571428571	0.001	0.00314285714285714	0.0281428571428571	0.00585714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00685714285714286	0.00957142857142857	0.0325714285714286	0.00814285714285714	0.02	0.0388571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00742857142857143	0.00757142857142857	0.00442857142857143	0.00385714285714286	0.0151428571428571	0.0751428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00585714285714286	0.017	0.0147142857142857	0.00885714285714286	0.0117142857142857	0.0111428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.000571428571428571	0.002	0.00728571428571429	0.0197142857142857	0.00128571428571429	0.0104285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0	0	0	0.0391428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00257142857142857	0.006	0.00828571428571429	0.00428571428571429	0.00557142857142857	0.00185714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.000857142857142857	0.00128571428571429	0.004	0.00142857142857143	0.00514285714285714	0.003
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00114285714285714	0.000714285714285714	0.00285714285714286	0.000285714285714286	0.00228571428571429	0.00514285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0.00185714285714286	0.00442857142857143	0.004	0.000142857142857143	0.000714285714285714	0.00114285714285714
