"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.604571428571429	0.543571428571429	0.436285714285714	0.412142857142857	0.380428571428571	0.872285714285714	0.146714285714286	0.582142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.201142857142857	0.049	0.0585714285714286	0.124857142857143	0.0922857142857143	0.0524285714285714	0.121428571428571	0.0462857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.003	0.104714285714286	0.192142857142857	0.0538571428571429	0.0315714285714286	0.005	0.0921428571428571	0.0754285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0262857142857143	0.0584285714285714	0.0432857142857143	0.142285714285714	0.137142857142857	0.0165714285714286	0.0842857142857143	0.00242857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.0284285714285714	0.0388571428571429	0.0347142857142857	0.136571428571429	0.164571428571429	0.0161428571428571	0.0704285714285714	0.00242857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0	0.008	0.0272857142857143	0.00614285714285714	0.0425714285714286	0.000142857142857143	0.378857142857143	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0782857142857143	0.0432857142857143	0.039	0.0604285714285714	0.101571428571429	0.0168571428571429	0.0721428571428571	0.007
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0457142857142857	0.009	0.025	0.0268571428571429	0.0177142857142857	0.0132857142857143	0.00685714285714286	0.224
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.000714285714285714	0.0291428571428571	0.0617142857142857	0.011	0.00957142857142857	0.000857142857142857	0.00842857142857143	0.0277142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0.0905714285714286	0.0405714285714286	0	0	0	0	0.00742857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00242857142857143	0.0155714285714286	0.0282857142857143	0.0185714285714286	0.00914285714285714	0.00242857142857143	0.0105714285714286	0.0137142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00457142857142857	0.002	0.00242857142857143	0.00228571428571429	0.00242857142857143	0.00314285714285714	0.00285714285714286	0.00128571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.001	0.00314285714285714	0.00214285714285714	0.00228571428571429	0.00757142857142857	0.000428571428571429	0.000285714285714286	0.00171428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.00285714285714286	0.000571428571428571	0.00285714285714286	0.000428571428571429	0	0.000285714285714286	0.000285714285714286	0.00685714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0	0.00214285714285714	0.00428571428571429	0.000571428571428571	0.000857142857142857	0	0.000857142857142857	0.000857142857142857
