"","buddy11","hamlet11","hera11","padme11","ginger14","hera14","jarjarbinks14","joans14","kubo14","wolverine14","jarjarbinks15","kubo15","buddy16","iris16","hamlet17","hera17","iris17","lambchop17","wolverine17","lambchop18","franc19","ophelia19","goose20","jarjarbinks21","joans21","korra21","kubo21","franc22","goose22","grogu22","hamlet22","iris22","hera24","ivy24","marshmallow24","hamlet25","lambchop25","ginger27","henry29","ivy29","jarjarbinks29","joans29","korra29","kubo30","hamlet31","jarjarbinks32","grogu36","henry36","iris36","ivy36","goose37","grogu37","lambchop37","marshmallow37","ophelia37","wolverine37","charles41","grogu41","hamlet41","joans41","marshmallow41","goose42","henry42","ginger43","ophelia43","buddy44","franc44","goose44","hera44","iris44","ivy44","jarjarbinks44","joans44","korra44","lambchop44","marshmallow44","wolverine44","franc45","grogu45","hera45","ophelia45","buddy46","charles46","ginger46","iris46","ivy46","lambchop46","franc47","ivy47","buddy48","franc48","henry48","korra48","kubo48","lambchop48","ophelia48","charles49","franc49","ginger49","jarjarbinks49","joans49","marshmallow49","ophelia49","wolverine49","buddy50","charles50","ginger50","grogu50","lambchop50","charles51","joans51","ginger52","marshmallow53","charles55","ginger55","lambchop55","ophelia55","buddy56","franc56","grogu56","joans56","buddy57","charles57","joans57","ophelia57","wolverine57","hera58","korra58","kubo58","wolverine58","hamlet59","henry59","iris59","ophelia59","iris60","marshmallow60","wolverine60","ginger66","henry66","hamlet67","hera67","franc68","jarjarbinks68","grogu70","ivy70","lambchop70","marshmallow70","wolverine70"
"buddy11",0,0.665625362912311,0.661818461410495,0.712085895616664,0.737116780812003,0.656813130242924,0.738558700304377,0.89523879589885,0.658031307642509,0.798613289070988,0.734410981091145,0.650115162891395,0.772553323544665,0.75975423304189,0.7150788876936,0.804158724563209,0.769249345123912,0.906066476866237,0.710614315602983,0.906947308928113,0.678904105253612,0.696833848520433,0.721228367389374,0.716245426895344,0.797197101195026,0.653134145367683,0.655087026660783,0.717942624668754,0.68739142143982,0.780931631398873,0.6682460901102,0.748100438658338,0.695386536074898,0.754640439216232,0.739867592982895,0.662112434334216,0.85230201030303,0.743434163790138,0.67455961833767,0.670214522534805,0.690155332801162,0.683080861881194,0.734737267011098,0.679697842907721,0.718975566253798,0.699861710544346,0.774377475645233,0.730830551214446,0.831709900969616,0.812285619942194,0.693302924703898,0.81083652072373,0.687898272703804,0.727050903799109,0.705764491379195,0.679332728651813,0.866802875198147,0.762665132063956,0.72253992814562,0.748833570697556,0.709661382252365,0.728126061851532,0.743496095551897,0.832314604642808,0.7124340566956,0.641452611451125,0.734361303809075,0.733068482721245,0.814455028498731,0.774657821912092,0.737936937989803,0.781670138278827,0.730417841455928,0.729389617488718,0.758628390417496,0.703919295713691,0.76575781203174,0.726837120495074,0.700797269489202,0.74135480511622,0.728772818166814,0.703471344034167,0.719273805812757,0.803253949113262,0.755075033538878,0.746803031753901,0.762425150611747,0.660845186470845,0.666746074317092,0.646807929594591,0.73946465556948,0.728560739840003,0.638035663052339,0.699300912137648,0.766979078840789,0.741807610098482,0.828574170662368,0.759513928098773,0.78654903128598,0.729708463437325,0.735267764859391,0.681005076471383,0.732758716599051,0.748288838962455,0.679387690466319,0.745187412787123,0.791591608231867,0.747017174570129,0.756556350441695,0.720686234658286,0.764361317463463,0.799494290406667,0.833267459430007,0.701828483549766,0.794914472481857,0.770770162640989,0.721029356214774,0.663748274992183,0.78943388303953,0.75087034803809,0.730924192078372,0.63002154973794,0.786314388571796,0.704466161617082,0.735695132245498,0.71174873471583,0.787927328995641,0.716311513546002,0.71760323380365,0.686740891898449,0.67162313622172,0.789100617357258,0.737362671129966,0.744124537228472,0.788798420257373,0.729625683674241,0.738333948606584,0.819435513752162,0.75493456695219,0.785890773134583,0.699162517303421,0.697313194699486,0.701264802466091,0.745968612112565,0.633034380625266,0.746865594727588,0.859995683145019,0.802032150950663
"hamlet11",0.665625362912311,0,0.593350620540569,0.731154866517548,0.762155623519214,0.588003313956366,0.651814955692812,0.94556999995381,0.642133439598403,0.769553466476108,0.633320955035374,0.604765217109898,0.803372999364143,0.774243725873915,0.699123235828681,0.800672759653282,0.746821029339306,0.905882089973623,0.676746126545411,0.938229878605015,0.736161615088588,0.685149115879399,0.762754400652922,0.731024744908378,0.83499491987985,0.74981649251521,0.722496208892808,0.799987282262732,0.773466685497973,0.744302102023969,0.682716782660656,0.761030389707672,0.635063264894882,0.783507658353576,0.741851846179081,0.635152819174003,0.896806161690386,0.743605689312345,0.717819947606984,0.708904570174672,0.732364155147869,0.716586898362804,0.733428484394501,0.737798213782468,0.727309736344033,0.796327846229623,0.733360240764228,0.753214358271413,0.847181884104392,0.848568382838715,0.800531864103851,0.761534732791433,0.814735494947425,0.747016566826529,0.670516444280238,0.648321569970266,0.849997066264036,0.734089184952816,0.686490139716364,0.831789768677682,0.795298850511578,0.811434208998151,0.772583254797448,0.846109344232904,0.629484788021607,0.701587374648121,0.753066101443707,0.784986355710455,0.771082183373664,0.780415920693228,0.810918687673414,0.78135941346358,0.806577817120986,0.746521653345047,0.769015578576715,0.762027294340607,0.756572583743282,0.791419818139499,0.73301827282876,0.728859684995337,0.729212738038992,0.787682255235833,0.731297502625321,0.802608942362864,0.759489316605155,0.731019496766755,0.798471159437828,0.74465866050001,0.703711350962554,0.777347799417832,0.798609399250763,0.771720698853918,0.748176326259613,0.692414828257785,0.843245209246859,0.758029756142557,0.787948875299571,0.819857729212689,0.780129046922331,0.804893609968368,0.836667385134063,0.732758506252081,0.729203475309585,0.776075074037908,0.73454070338725,0.78572988256362,0.768089750598226,0.728992531669661,0.824269842329806,0.783070256708361,0.806260876658426,0.79873480420738,0.762687163546663,0.727487187975656,0.827804435107406,0.761582054431154,0.72522360009017,0.746715006607863,0.801368480280573,0.689626984695926,0.775622866788371,0.731820874296033,0.808638070763318,0.725351507280305,0.691827178358199,0.627029967942076,0.786643872028216,0.75108426978258,0.743360374257946,0.640198725252225,0.581872683842192,0.802302047869357,0.756060833253118,0.742985472699846,0.799278431123347,0.787863024810361,0.798443971988485,0.798773630177659,0.744408152110206,0.748809664786036,0.678748288430239,0.79271952147956,0.79756533028792,0.697389181077491,0.661197896827673,0.801683244057459,0.805700519428993,0.816214309082854
"hera11",0.661818461410495,0.593350620540569,0,0.693201138583726,0.64874620479414,0.514649405601563,0.643686382135017,0.940321997617884,0.6424962783107,0.68595003054891,0.677262402540729,0.604051696900825,0.821988736309983,0.729190783579227,0.684485437652991,0.84435677402949,0.782615212222266,0.893094831621244,0.720529128071606,0.949784654487616,0.729628682471411,0.722947182221335,0.813864075021696,0.745730608508091,0.830020329670781,0.717693266375649,0.692028817234848,0.695362253395569,0.7514256771517,0.827814453559816,0.657928734754245,0.773626547243228,0.729182524344466,0.677605552204272,0.684661640155791,0.67183259615928,0.898543106834667,0.775701177577758,0.740034528092107,0.705598771685769,0.752364373909984,0.769139384862397,0.794977118141499,0.663172496149442,0.639353044158158,0.658049866321556,0.825778244556137,0.68950036990174,0.882775189543395,0.875680133275631,0.717912557198854,0.810801643301209,0.705312379218049,0.774972350752113,0.65424369360047,0.723428190226693,0.903743230276788,0.786626529042783,0.543556549334662,0.733290723616452,0.776457184639585,0.735759018202578,0.730476601375929,0.856896772044099,0.658191635499733,0.73799686202421,0.703269317481738,0.707917395214236,0.806578080536368,0.695909822769052,0.676041269646318,0.792525816433164,0.772692271260029,0.726242059371417,0.767473068090494,0.709852641472262,0.766926840567905,0.733373587895956,0.719178458076181,0.656402223988211,0.619138585239637,0.735808384803439,0.693171326289275,0.781622890203751,0.697141931881651,0.667323731979153,0.81255569055531,0.729346269917445,0.748378353327294,0.737759737080251,0.724225324774578,0.788533582664237,0.705946910343739,0.63679717403314,0.799295819618189,0.671713256213797,0.829213255467208,0.753827673630743,0.78917748087259,0.682050449371151,0.840145435359887,0.711954892479551,0.620878474599008,0.734076300257464,0.697529304518521,0.773217587880289,0.79343991621474,0.778801111917954,0.810967568891926,0.737816193756658,0.814314799862857,0.812874268590833,0.853051376655457,0.782262823191055,0.735426706413522,0.817054643258198,0.587790153909769,0.695776459029408,0.660228697948236,0.77913900115681,0.814327165200948,0.770622129800357,0.842838699375732,0.786544527975687,0.723959752408609,0.722809551624489,0.800064275384008,0.78065387329224,0.71286368129119,0.702852223525989,0.632465811583902,0.830725751158484,0.768695177780333,0.69763702889141,0.711369151335948,0.686107264991364,0.758510147609257,0.822528655790203,0.797326250056612,0.764894565556316,0.639860564193433,0.703831029299199,0.651885248998731,0.80734897005236,0.642416272689349,0.816568022241386,0.875182986029885,0.759742681387113
"padme11",0.712085895616664,0.731154866517548,0.693201138583726,0,0.776581714356036,0.739427230810635,0.769781630425357,0.925048845730508,0.688130706067475,0.798660954492475,0.755949387399124,0.67998904957396,0.779656759001023,0.810080016165775,0.789523803728418,0.869988722316842,0.800435915604155,0.947946798483607,0.770210013092986,0.966388349213439,0.778291741142128,0.819101650120492,0.83266729453092,0.799830497593038,0.838469777943848,0.797312481392301,0.732707620096132,0.817389554627702,0.811557262177621,0.80510509672682,0.754001997557608,0.814627486659152,0.787189489549532,0.796083891246241,0.783844526346476,0.77588189463869,0.920304073927814,0.833986302184895,0.78638802953746,0.776718373807482,0.793421593777327,0.81896660588225,0.820240972836072,0.732188028577812,0.749601834578281,0.769068925171437,0.810831879856701,0.744002812440066,0.881123665348255,0.87896726956688,0.797246588661248,0.78593259752888,0.813413986170753,0.832628133268727,0.669540049334124,0.786145999032047,0.815679892469554,0.822315512466257,0.729705456056099,0.805385779927228,0.799437090355355,0.841296232285545,0.847437831391301,0.892143899879656,0.713563388543188,0.776611881214912,0.772553980182351,0.792553757255868,0.797444312231984,0.789771359602104,0.841909952872006,0.7596085055249,0.823973386919952,0.81825371254911,0.825653262760825,0.769498966287294,0.817881135562484,0.81145428491529,0.782585272307266,0.75244369450978,0.755440006907234,0.789610781417913,0.773261862322647,0.88146556487474,0.790504898564123,0.745856095358536,0.817566547194288,0.795529230988427,0.755245664754088,0.749408027658132,0.838035685153454,0.834598657483742,0.810636107912959,0.72295425491438,0.85792513093203,0.776319044976097,0.708766230657963,0.85484394165346,0.866076176820738,0.78560282992331,0.842649628049836,0.821681758537414,0.705839068693525,0.816111645480042,0.77838266542617,0.723547917059894,0.884896748837961,0.847780582784984,0.84121246770296,0.725328071383826,0.841341341643595,0.883611913703266,0.874707800658704,0.750084473573725,0.839990759605353,0.834130007057439,0.721140153361878,0.771734105089878,0.820076364941178,0.786831337004029,0.831088900480298,0.802451902939313,0.818658546328579,0.811981033254141,0.782793526875303,0.770425355571993,0.819501878260045,0.793720399467458,0.814523905725359,0.784990463602785,0.735362803075052,0.837994261266495,0.816120493190475,0.76950390341844,0.799513366924186,0.761246204924596,0.809743395346794,0.862019584399921,0.843607801914792,0.790410484491463,0.799884055621233,0.807945771933184,0.769942866389506,0.77059401264059,0.765479339691938,0.824407298742888,0.86170615660146,0.804422141209553
"ginger14",0.737116780812003,0.762155623519214,0.64874620479414,0.776581714356036,0,0.668405373117874,0.758220129208306,0.977469027953637,0.764838000824954,0.699676028230447,0.747254461297872,0.756992667190822,0.853200502734574,0.77128438656659,0.744789594467177,0.869902718626515,0.803511549665191,0.904806473386288,0.751259791493185,0.889018661886277,0.776945448918568,0.777992074423357,0.753406252842314,0.751178163342559,0.754864694462863,0.721432854693194,0.767967595859761,0.657598360816418,0.75936734214126,0.850243857725644,0.747863076992617,0.796420847056602,0.768519882425276,0.695930765853671,0.696979229660173,0.733741517376197,0.879373033171205,0.683569922819898,0.767525214238801,0.735953727498352,0.759742751255006,0.818994304090436,0.794785612566913,0.738612919355876,0.673779895409284,0.659288339201614,0.867300272939766,0.619100941301392,0.901101001564496,0.881485076519397,0.694381761283608,0.804096487793511,0.691369922764172,0.787768969307471,0.774945014319149,0.762118750472172,0.889483682039422,0.838928912811034,0.686555663377114,0.702153857035604,0.838530066467335,0.69479740789395,0.649753668661843,0.821473731224174,0.782232423237124,0.783663443480961,0.730707911187512,0.68493551973218,0.856351114370865,0.717604895016854,0.68688211171285,0.878619865660655,0.740042058105922,0.75899678443062,0.674743921511134,0.630116042924194,0.788297091801721,0.689558044933638,0.714235466248544,0.711817265896937,0.711698632962312,0.746531314446106,0.703864439883318,0.692091787782459,0.73058710575526,0.670324841146428,0.727992011369909,0.691159949393107,0.765486981477853,0.710532790582484,0.713925933308625,0.720614740959119,0.7230706279028,0.678213005506353,0.740711593883817,0.754689945381786,0.857936757879934,0.733194722877191,0.650376426114884,0.692502584000913,0.789632508017214,0.696414730469173,0.786173979372589,0.719330558939274,0.734479835784162,0.721520681174301,0.677996133711376,0.783791058655689,0.750478995012068,0.711247621664619,0.788858137188523,0.720394745242464,0.880459466060512,0.788262552971935,0.594378900022147,0.800918594500734,0.725752079212445,0.693966891572322,0.735137985657087,0.82367505672143,0.781213803707099,0.757915433733163,0.849861463861322,0.807139891602707,0.782558603837637,0.777562570050217,0.87549279315504,0.825954501808956,0.768922770382967,0.754607892995767,0.758085471200187,0.743198209793372,0.771713385954467,0.746642399665425,0.73266609130122,0.707079763499544,0.729058205958468,0.818104140007244,0.792429241140828,0.834600105054716,0.702127894924164,0.672149535957247,0.682288915478744,0.841005949689633,0.734098359905954,0.840940640220247,0.879420878317282,0.808663503641399
"hera14",0.656813130242924,0.588003313956366,0.514649405601563,0.739427230810635,0.668405373117874,0,0.691217223343736,0.96069625042058,0.620210836925551,0.716876721147818,0.679634600795091,0.62690811383151,0.858096876403243,0.743794363416151,0.664613883167294,0.83116282915351,0.769960689942734,0.919124679179692,0.691421831316169,0.944700019273784,0.763363698710695,0.700643196947856,0.762630828748891,0.744372494426754,0.813491891317105,0.712449274859509,0.678340658910586,0.692492665267992,0.763241335523545,0.790013087965108,0.615878491703021,0.763151065558864,0.682430111952597,0.719126447431694,0.669450763018333,0.675700728038245,0.890684649772741,0.774710423430294,0.745271693972993,0.709063175367194,0.746128324767899,0.763960765760435,0.789561629653032,0.657990753724859,0.559151007139337,0.679631098937541,0.794394420338279,0.624422140299154,0.871801838788122,0.838656657925581,0.686414088338558,0.805747331653711,0.675943882296595,0.758973866943273,0.642859733876664,0.715830659556184,0.882787283905432,0.776447380493975,0.55734092632867,0.731286619304195,0.773401028251462,0.730800643764106,0.763086264292643,0.843707415598083,0.672608009197007,0.723994199052964,0.71355132274577,0.697160724035718,0.787757151331043,0.709334957442678,0.674863319324805,0.803654184084064,0.695059381491745,0.684635409701207,0.730009349334342,0.67752260322368,0.751997175734976,0.744562316428915,0.701669241659996,0.63215358235192,0.626504207450984,0.732402211575401,0.663080038274104,0.784562974750103,0.686367577971378,0.693393473459984,0.780993530195616,0.691972128698353,0.733998866251012,0.732255908086235,0.707076867340545,0.75851239764283,0.726085072771379,0.65478926862539,0.757599880014828,0.633103118881917,0.800057539738032,0.687358140332647,0.787766575262154,0.679877523683606,0.807955747093091,0.726707487644482,0.655332374039998,0.677927955596422,0.697227309262374,0.741885045258486,0.796300927587993,0.775033291916197,0.802211513828932,0.703809667461022,0.775012416871299,0.801319564413594,0.847747788897405,0.759786237680153,0.73351508182448,0.811386567916372,0.611495700635774,0.693320762909346,0.702420566832601,0.788888236649923,0.789438192199574,0.733698329261733,0.813573249442299,0.768502419744812,0.717725147314757,0.7304542985034,0.791700271963249,0.786646856524696,0.710722821361251,0.705140951239911,0.651943816600774,0.795105439748905,0.735109436823339,0.670087301987383,0.720585897414242,0.676009663369308,0.71246655087456,0.83147558166983,0.778438307927227,0.756824836708113,0.650622398045175,0.663259696356412,0.683550648355049,0.775656052181363,0.702771215966265,0.829153436847706,0.866797286300936,0.767184717693739
"jarjarbinks14",0.738558700304377,0.651814955692812,0.643686382135017,0.769781630425357,0.758220129208306,0.691217223343736,0,0.950293637116652,0.646481955759136,0.666839180517243,0.453381563459611,0.608818629687078,0.842431016023678,0.704754879616942,0.674462566126551,0.793650867658178,0.717849371735652,0.903695441679855,0.724907759757882,0.945441926143659,0.736186358477276,0.60232514472255,0.776464303201199,0.782588053493816,0.838135161628012,0.711611639656486,0.62890424004949,0.750163046113701,0.759373021813674,0.859616636582143,0.715916629560921,0.773317204208647,0.638775786962096,0.672836529971404,0.751699262871528,0.677768724571952,0.891086415375005,0.753736476394755,0.665179674767357,0.676066712864377,0.745618095713824,0.797132344087692,0.817990292296021,0.698312882056478,0.673564589809083,0.744942656285987,0.821905404981349,0.684298379993521,0.832876846416361,0.823896543378594,0.772530134038368,0.873356570376915,0.763126319683147,0.779590144277844,0.684080519557752,0.664964480169988,0.874132959167748,0.809712090689864,0.660078202567476,0.807508166982322,0.792877671435134,0.799916469343606,0.772719578725245,0.840758689214171,0.541270537641983,0.680290825516469,0.640387615431341,0.802681828056229,0.735913778590509,0.683446433285321,0.782672429268743,0.721763304762645,0.795500064220037,0.694328081372495,0.793052202679878,0.759157886166305,0.724262498691153,0.784399643724706,0.787238494218778,0.623739928660977,0.601214337391639,0.741575043049782,0.757598699222143,0.781936679846065,0.701597303929357,0.698593737384427,0.782500151505789,0.75173979751541,0.696068454315631,0.771123598205374,0.742620994686845,0.689406541499397,0.706533354873027,0.651576133592241,0.841084534219223,0.57611357547246,0.797797059442191,0.773645659614803,0.814271077419767,0.757664965484791,0.802272226250936,0.763720821946706,0.56396162719462,0.713572648985197,0.733181720225302,0.76766607756006,0.770022144283824,0.8342137547376,0.804148341577284,0.710255667759219,0.784268656633369,0.776233973895153,0.896676988909428,0.706854275997455,0.749987648807594,0.788152567310255,0.576073117014188,0.772390170498337,0.681541316248619,0.821103058170129,0.801594398890973,0.74459984726713,0.813822277716963,0.811443296008852,0.588150631274164,0.726078985338433,0.777865238019089,0.831847236284406,0.667162233295288,0.678589448640458,0.55955005004015,0.791236391507596,0.718593210633302,0.704985417140663,0.711747179188763,0.787373070461695,0.751420402586859,0.803073247268298,0.69531872627484,0.704720847714305,0.719914139595043,0.78899751156288,0.709919104238153,0.835606789321237,0.644573209859044,0.822311815228223,0.865490897888344,0.719015569953814
"joans14",0.89523879589885,0.94556999995381,0.940321997617884,0.925048845730508,0.977469027953637,0.96069625042058,0.950293637116652,0,0.90757361232688,0.957710642930559,0.945487571159476,0.940100718795245,0.918914516506012,0.970721801502449,0.972769806918161,0.980609977731975,0.955301996117168,0.858395361725205,0.95902089801543,0.898160986093829,0.949005852850509,0.940336032526739,0.955364759209594,0.948069752185686,0.923140685282368,0.958578473504487,0.929326433400967,0.976339582086416,0.931619502674013,0.955791325902854,0.943347716758045,0.95798529754422,0.964545409143457,0.959700582101879,0.944103319447376,0.957409710951708,0.943671716613528,0.96441159444134,0.932629691294189,0.94083652689314,0.944020519079061,0.945698404488736,0.933137196788799,0.963482559404517,0.972590735152997,0.959224328446899,0.9782955813061,0.947511855869962,0.964371977717201,0.967170370579925,0.958708975532602,0.952072886803392,0.959041606307993,0.968551584521335,0.928937342328321,0.925431803049672,0.951796431030556,0.977109286559943,0.955927799245965,0.940955747826047,0.958178247372879,0.977961118333832,0.946722798242893,0.986810024242224,0.958080441131608,0.938464904293025,0.938736276705894,0.953941536332415,0.969531495286453,0.975224213371169,0.973224597290476,0.96923748813392,0.965270149487946,0.964951298979311,0.929192734013406,0.974250333418731,0.972796416092987,0.968176993911046,0.959614109245243,0.957138773911014,0.961866279357143,0.962307669548627,0.963963029300529,0.980291539004072,0.956946690844734,0.968426403502742,0.910735223005075,0.967441289834744,0.95550380090733,0.949657183838649,0.96403429993468,0.937509521564486,0.962941281052442,0.949929867127256,0.963669417918233,0.957989868458794,0.938136818362927,0.975588514997247,0.971954914704866,0.94986361510782,0.960894525388728,0.965277071915776,0.957719151629884,0.962919374096664,0.94021866220962,0.963124087731696,0.975369362475432,0.947876951037334,0.908896653371485,0.939039942503772,0.956049282422667,0.971048773019818,0.955326287776793,0.939181298557307,0.975498589115002,0.919587047825469,0.949880848140732,0.942313598466926,0.981404657763268,0.955962687147848,0.969937255689654,0.937646868705624,0.974800129617228,0.962921226940658,0.961008178626686,0.953352156494547,0.950584898475463,0.919838440599832,0.967675129519004,0.941277773596694,0.935421420950374,0.951423007200167,0.956807874185413,0.965877958732782,0.972669825114873,0.929837968618461,0.947090235587453,0.965060291669997,0.949949396869121,0.971423410557023,0.96877867281556,0.96265482833489,0.943723745157639,0.941555072593932,0.932460005858284,0.91988093206477,0.97945192920624,0.976288503711714
"kubo14",0.658031307642509,0.642133439598403,0.6424962783107,0.688130706067475,0.764838000824954,0.620210836925551,0.646481955759136,0.90757361232688,0,0.743807402798038,0.685776634476341,0.566615339348422,0.799559637456484,0.777283221670372,0.701787105969403,0.79475786029205,0.782530587634728,0.910437077226921,0.701981396489705,0.945717828633854,0.758045062976957,0.717086808579453,0.785845507733324,0.73791096347785,0.806097961564431,0.718588450617641,0.598903937774985,0.749378411792042,0.745830763948887,0.776339581018575,0.600779165566027,0.743876599717691,0.710469666510193,0.73224541559434,0.722254101696964,0.642051404858343,0.935647704369881,0.775640642166128,0.754295249943131,0.678650593233226,0.727132954085348,0.735270323355463,0.755311100936891,0.657364402404558,0.652473003929527,0.689472992848395,0.768751706021567,0.700783572377556,0.827054110529582,0.809345556787197,0.737208651592468,0.780016124265028,0.696919344461173,0.734142671313348,0.583694392730421,0.689762158672539,0.861809870208062,0.760026398298825,0.653747713304256,0.747245029306279,0.72951280313267,0.727705527161904,0.799926817842553,0.848468542578584,0.659901057578978,0.67712772728334,0.70245733629548,0.757657527855799,0.740830851276062,0.741821769864143,0.725052025761604,0.741419124500906,0.739772443440272,0.695696845295749,0.784015993265281,0.708461550667076,0.717267311031456,0.763891995150814,0.730847707248363,0.673433582231543,0.652917148117589,0.694949032800758,0.676708147268424,0.820281672271215,0.698417359391582,0.711658379417137,0.784405951139856,0.728052699424966,0.698391473639291,0.658116865236061,0.730633583174665,0.742477358403058,0.732954005013377,0.648516923191194,0.795221669447494,0.679639629752708,0.758117108430442,0.729758866233327,0.836438314691938,0.73288174663372,0.76492819445295,0.746051160075313,0.641157309587543,0.732577679914097,0.709444296229553,0.716572434823109,0.81451587265362,0.78113503208748,0.829063012057012,0.737190343783237,0.733070034477703,0.843356391933565,0.82012972832715,0.734997459188272,0.775574606251192,0.812622602554625,0.64169724372131,0.70429195259283,0.765068426487929,0.748370291438851,0.772891165317587,0.721452557377719,0.781758454350401,0.737341803398699,0.716354180476683,0.703161962418351,0.755023121836929,0.759258507386445,0.699040708103895,0.725580187656403,0.651824830867175,0.773518008856607,0.771268472326161,0.690103675119153,0.756298655113285,0.674845218409019,0.71922250382089,0.828774183941477,0.76173549839334,0.706285140096218,0.711023603441048,0.714282436312229,0.683090503684403,0.750812386973495,0.656925610068504,0.801798317800827,0.849252240223776,0.744645297103256
"wolverine14",0.798613289070988,0.769553466476108,0.68595003054891,0.798660954492475,0.699676028230447,0.716876721147818,0.666839180517243,0.957710642930559,0.743807402798038,0,0.710093597385719,0.722731969434824,0.866344750583475,0.595529841880115,0.759736081236345,0.87897998092684,0.639008261345886,0.936646823922845,0.762700435657092,0.942821163359391,0.742174547359795,0.796644044339374,0.824876141122307,0.825510135824222,0.798157187017621,0.77621289472468,0.714355858450537,0.640658035458139,0.76898365173573,0.875474302174745,0.772725498159566,0.665914189160555,0.796493636173583,0.650567199898213,0.735387763627348,0.77498820879985,0.919980003583996,0.812582139705862,0.794444176057886,0.753064247969067,0.828331874229366,0.79896583283508,0.852484535454163,0.705341028463604,0.675599380516894,0.723488403058284,0.877587749912368,0.69065407336452,0.835127837136763,0.828896285532985,0.707902339184433,0.856385405113869,0.690701479426545,0.803980601982286,0.734408933666806,0.660699695898948,0.87693951068124,0.865423940364346,0.654740300741268,0.753038569418101,0.812979738320936,0.712205460839127,0.74074972301027,0.881397022490241,0.743442938285688,0.722411747403266,0.706809120914357,0.750272533536375,0.853441954578067,0.544669700824525,0.661907679582567,0.840683861739806,0.748594465616097,0.766951800836656,0.761219396789051,0.730540181429551,0.683440046732228,0.7077124080861,0.764433981809774,0.673057481562307,0.652506180674187,0.676810956379711,0.682864500916292,0.793144835974892,0.615102583456304,0.669864980422177,0.770318324645527,0.720172153717426,0.755371890586865,0.75833968539879,0.672003074939757,0.79857615032976,0.773003188002956,0.648718940793073,0.782146004806092,0.678212833138187,0.847252200076787,0.643597879504686,0.787232367613375,0.736666721753801,0.802858625128149,0.777297481482585,0.699346068256484,0.628784975301943,0.723060175437025,0.759621589208893,0.797071633811994,0.838799734390777,0.814549718402077,0.70730007155306,0.791455294905669,0.825435700924564,0.920880380644475,0.808633841769425,0.716007537840497,0.827684129027326,0.648281612700754,0.719705834615107,0.64470954020978,0.855293404924381,0.840485872654955,0.802685067478069,0.849825621755994,0.832677684394797,0.746654824541087,0.729463682365872,0.860564777490285,0.883574118650425,0.732989181838613,0.765324303073318,0.747932038210986,0.821644349655481,0.664036167715736,0.739741913472158,0.598796583876696,0.763569599271852,0.653186766067169,0.841420312700532,0.824355793028257,0.81586003644568,0.696592555766009,0.699246724015728,0.70506084983214,0.892431715707396,0.727257268311398,0.84934496776092,0.896217457258755,0.697568195298166
