"ID"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"txid1329411"	0	11	7	0	0	0	0	3
"txid1437609"	0	440	199	0	0	0	0	15
"txid2650773"	0	1	1	0	0	0	0	2
"txid1689"	0	1	0	0	0	0	0	0
"txid1630172"	0	9	13	0	0	0	0	1
"txid2834437"	0	0	0	0	0	0	0	1
"txid1630166"	0	64	9	0	0	0	0	13
"txid2834431"	0	0	0	0	0	0	0	1
"txid2834436"	0	1	0	0	0	0	0	0
"txid2834432"	0	1	4	0	0	0	0	0
"txid78257"	0	21	4	0	0	0	0	8
"txid1437610"	0	35	13	0	0	0	0	1
"txid2045439"	0	17	11	0	0	0	0	4
"txid2834433"	0	22	13	0	0	0	0	2
"txid2306974"	0	2	0	0	0	0	0	1
"txid762211"	0	1	1	0	0	0	0	0
"txid2562524"	0	8	9	0	0	0	0	0
"txid2014528"	0	0	0	1	0	0	0	1
"txid384602"	0	1	0	0	0	0	0	0
"txid1852385"	0	1	0	0	0	0	0	0
"txid2003188"	0	2	2	2	2	0	0	1
"txid1871022"	0	0	0	0	1	0	0	0
"txid1871031"	0	1	2	1	2	0	0	2
"txid2603815"	0	0	0	0	0	0	0	1
"txid1907654"	0	1	1	0	0	0	0	1
"txid147207"	3	3	1	4	8	2	0	2
"txid1871016"	0	0	0	0	1	0	0	0
"txid1937461"	0	0	0	1	0	0	0	1
"txid147206"	0	3	4	2	3	0	0	0
"txid742742"	3	11	7	6	18	0	1	6
"txid1870987"	1	4	2	3	23	1	1	1
"txid883106"	0	0	1	0	0	0	0	0
"txid572010"	0	0	0	0	1	0	0	0
"txid1411144"	0	1	2	0	0	0	0	0
"txid762984"	0	0	0	0	0	0	0	1
"txid338188"	0	0	1	0	0	1	0	2
"txid2792859"	16	0	3	0	0	9	0	39
"txid1907658"	0	0	1	0	0	0	0	0
"txid1841856"	8	15	35	35	17	4	8	79
"txid28116"	1	0	0	0	0	0	0	0
"txid1236512"	0	0	0	0	0	0	0	2
"txid449673"	6	0	4	0	0	0	1	16
"txid820"	7	1	2	0	0	3	0	46
"txid657309"	3	0	2	0	0	2	2	3
"txid2650157"	0	0	0	0	0	1	0	0
"txid2725562"	0	0	3	1	0	0	0	1
"txid1841865"	0	1	4	0	0	0	0	3
"txid376804"	2	2	3	9	5	2	4	2
"txid387090"	0	1	1	0	0	0	0	0
"txid357276"	15	3	17	12	4	3	3	62
"txid2786956"	0	0	1	1	0	0	1	0
"txid204516"	52	0	1	1	0	2	0	17
"txid1236498"	0	0	2	0	0	0	0	0
"txid484018"	188	3	1	2	0	38	0	1059
"txid1236538"	15	28	59	100	81	17	14	82
"txid435590"	7	8	33	27	17	11	15	154
"txid487174"	1	1	2	1	0	0	0	1
"txid397865"	0	1	4	1	0	0	0	0
"txid1349822"	19	2	14	1	0	2	2	47
"txid2518971"	0	1	2	0	0	0	1	0
"txid2530391"	0	6	13	1	1	0	2	4
"txid2094150"	0	0	1	0	1	0	1	0
"txid2530390"	0	1	2	0	0	0	0	0
"txid1796646"	0	1	0	0	0	0	0	0
"txid2094151"	0	4	8	2	3	0	1	2
"txid2606626"	0	2	4	1	1	0	1	0
"txid671218"	0	0	0	0	0	0	1	0
"txid76122"	0	1	1	2	0	0	2	0
"txid1841864"	0	1	0	1	0	0	2	0
"txid454154"	2	0	1	0	0	2	0	4
"txid454155"	0	0	1	0	0	0	0	0
"txid305719"	0	11	24	20	25	1	13	1
"txid873513"	0	2	4	6	6	0	3	2
"txid537011"	19	410	882	269	94	14	577	60
"txid1236509"	0	1	1	0	0	0	1	1
"txid28129"	0	0	1	0	0	0	0	0
"txid1236517"	0	0	1	0	0	0	0	0
"txid2801997"	0	0	1	1	0	0	0	0
"txid2518605"	0	3	5	0	0	0	1	0
"txid439703"	0	0	1	1	1	0	0	0
"txid28135"	0	0	1	1	1	0	0	0
"txid915438"	0	0	0	0	0	0	0	2
"txid28136"	0	1	0	0	0	0	0	0
"txid185294"	0	1	1	0	0	0	0	0
"txid1676614"	0	0	0	0	0	1	0	0
"txid1852370"	0	302	420	76	94	17	45	458
"txid2290935"	0	0	1	0	0	0	0	0
"txid871327"	0	0	2	1	0	0	0	1
"txid823"	12	77	91	97	46	13	39	70
"txid387661"	0	1	2	3	0	0	1	0
"txid46503"	5	31	101	29	18	4	34	24
"txid2753162"	0	0	1	0	0	0	0	1
"txid1288484"	0	1	0	0	0	0	0	0
"txid1379"	1	0	0	0	0	0	0	0
"txid1156431"	0	0	0	0	0	0	1	0
"txid2382163"	2	1	0	1	0	0	0	0
"txid655813"	1	0	0	0	1	0	0	0
"txid1547447"	1	0	0	0	0	0	0	0
"txid1305"	0	0	0	0	1	0	0	0
"txid2853160"	0	1	0	0	0	0	0	0
"txid501571"	9	4	5	2	2	3	2	1
"txid2126740"	10	1	1	1	1	1	1	1
"txid759821"	0	0	0	0	0	0	1	0
"txid1347366"	0	0	0	0	1	0	0	0
"txid2605778"	5	8	11	11	13	18	14	7
"txid2479838"	1	0	0	0	0	0	1	0
"txid2784388"	2	0	0	0	0	0	0	0
"txid154046"	2	0	0	0	0	0	0	0
"txid384636"	3	1	0	2	0	0	1	0
"txid879566"	0	0	0	0	1	0	0	0
"txid1527"	0	0	0	0	0	0	1	0
"txid1727145"	1	1	0	0	0	0	0	0
"txid259063"	1	1	1	0	1	0	2	0
"txid1812858"	1	0	0	0	0	0	0	0
"txid1745713"	1	0	0	0	0	0	1	0
"txid2606636"	16	8	2	16	12	2	10	0
"txid1912897"	0	0	0	2	1	0	0	0
"txid1796615"	0	1	0	1	0	0	1	0
"txid1532"	1	0	0	2	0	0	2	0
"txid536633"	25	14	9	23	185	3	24	3
"txid537007"	1	0	0	0	0	0	0	0
"txid2025493"	4	0	1	2	0	0	4	0
"txid1121114"	3	0	0	1	0	0	3	1
"txid1796616"	0	0	0	1	0	0	0	0
"txid180164"	0	0	0	0	1	0	0	0
"txid45851"	5	1	1	2	1	0	2	1
"txid831"	3	0	1	2	0	0	1	0
"txid43305"	1	0	0	0	0	0	1	0
"txid33043"	2	0	0	0	1	0	0	0
"txid1796618"	0	0	0	1	0	0	1	0
"txid2850323"	1	0	0	0	0	0	0	0
