"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.222428571428571	0.234428571428571	0.338571428571429	0.314571428571429	0.626857142857143	0.486714285714286	0.597285714285714	0.366857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.497142857142857	0.0465714285714286	0.387285714285714	0.264857142857143	0.237142857142857	0.334	0.269857142857143	0.415571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.177714285714286	0.329285714285714	0.171714285714286	0.340857142857143	0.069	0.0692857142857143	0.055	0.123
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.0712857142857143	0.039	0.0702857142857143	0.0478571428571429	0.041	0.0601428571428571	0.061	0.0607142857142857
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.00771428571428571	0.308571428571429	0.0138571428571429	0.00342857142857143	0.00728571428571429	0.00914285714285714	0.00242857142857143	0.00871428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0185714285714286	0.0322857142857143	0.00757142857142857	0.0188571428571429	0.018	0.0108571428571429	0.0111428571428571	0.0175714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.004	0.000571428571428571	0.0105714285714286	0.00957142857142857	0.000285714285714286	0.0244285714285714	0.00228571428571429	0.00685714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.001	0.00157142857142857	0.000142857142857143	0	0.000428571428571429	0.00528571428571429	0.000857142857142857	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0.00771428571428571	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000142857142857143	0	0	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Firmicutes|c__Tissierellia"	0	0	0	0	0	0.000142857142857143	0	0
