"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.0197142857142857	0.00171428571428571	0.338	0.314428571428571	0.626857142857143	0.199142857142857	0.216	0.366285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.177714285714286	0.329285714285714	0.171714285714286	0.340857142857143	0.069	0.0692857142857143	0.055	0.123
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.148714285714286	0.0267142857142857	0.215428571428571	0.134285714285714	0.101285714285714	0.211857142857143	0.065	0.208428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.202571428571429	0.232	0.000428571428571429	0	0	0.287571428571429	0.380714285714286	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.224285714285714	0.00857142857142857	0.103142857142857	0.0862857142857143	0.094	0.0724285714285714	0.145142857142857	0.136428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.124142857142857	0.0112857142857143	0.0687142857142857	0.0442857142857143	0.0418571428571429	0.0497142857142857	0.0597142857142857	0.0707142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0712857142857143	0.039	0.0702857142857143	0.0478571428571429	0.041	0.0601428571428571	0.061	0.0607142857142857
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.00771428571428571	0.308571428571429	0.0138571428571429	0.00342857142857143	0.00728571428571429	0.00914285714285714	0.00242857142857143	0.00871428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0182857142857143	0.0322857142857143	0.00757142857142857	0.0188571428571429	0.018	0.0108571428571429	0.0111428571428571	0.0175714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.004	0.000571428571428571	0.0105714285714286	0.00957142857142857	0.000285714285714286	0.0244285714285714	0.00228571428571429	0.00685714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000857142857142857	0.00157142857142857	0.000142857142857143	0	0.000428571428571429	0.00428571428571429	0.000714285714285714	0.000428571428571429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.00771428571428571	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000142857142857143	0	0	0	0	0.001	0.000142857142857143	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0	0	0.000571428571428571	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0.000571428571428571	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000142857142857143	0	0	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0.000285714285714286	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales"	0	0	0	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales"	0	0	0.000142857142857143	0	0	0	0	0
