"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.151	0.153571428571429	0.0352857142857143	0.193714285714286	0.366	0.204	0.225	0.111857142857143	0.188714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.199285714285714	0.186285714285714	0.094	0.142428571428571	0.181142857142857	0.109857142857143	0.0977142857142857	0.178	0.249142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.182	0.152428571428571	0.113428571428571	0.137571428571429	0.120571428571429	0.166	0.148857142857143	0.178	0.114142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.166428571428571	0.205285714285714	0	0.164857142857143	0.0891428571428571	0.162571428571429	0.132	0	0.086
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0631428571428571	0.0928571428571429	0.0317142857142857	0.083	0.0605714285714286	0.0755714285714286	0.124142857142857	0.0722857142857143	0.0678571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0234285714285714	0.0372857142857143	0.202857142857143	0.065	0.0382857142857143	0.0647142857142857	0.0497142857142857	0.169142857142857	0.0155714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.00971428571428571	0.0227142857142857	0.0848571428571429	0.0374285714285714	0.0151428571428571	0.0234285714285714	0.0268571428571429	0.0217142857142857	0.0202857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.015	0.0108571428571429	0.00714285714285714	0.03	0.0255714285714286	0.059	0.04	0.0211428571428571	0.00942857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.00628571428571429	0.0102857142857143	0.0415714285714286	0.018	0.00728571428571429	0.0182857142857143	0.0142857142857143	0.0675714285714286	0.00357142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.000714285714285714	0.00142857142857143	0	0.014	0.0124285714285714	0.0215714285714286	0.0335714285714286	0	0.0865714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.0204285714285714	0.0161428571428571	0.0134285714285714	0.013	0.0248571428571429	0.0181428571428571	0.0225714285714286	0.0148571428571429	0.012
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.00471428571428571	0.00271428571428571	0.108857142857143	0.000428571428571429	0.000428571428571429	0	0.000142857142857143	0.000428571428571429	0.000857142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.0547142857142857	0.00742857142857143	0.000142857142857143	0.0202857142857143	0.000285714285714286	0	0	0	0.0282857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus"	0	0	0.0988571428571429	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.0288571428571429	0.00671428571428571	0.000142857142857143	0.0131428571428571	0.000428571428571429	0	0	0	0.0494285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.00842857142857143	0.0135714285714286	0.0112857142857143	0.00528571428571429	0.00328571428571429	0.00871428571428571	0.00642857142857143	0.0232857142857143	0.00628571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.0108571428571429	0.00814285714285714	0.0104285714285714	0.00457142857142857	0.00728571428571429	0.00857142857142857	0.00957142857142857	0.0132857142857143	0.00371428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.00214285714285714	0.00542857142857143	0.0245714285714286	0.00542857142857143	0.00428571428571429	0.00271428571428571	0.00357142857142857	0.0118571428571429	0.00728571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora"	0.002	0.00428571428571429	0.0187142857142857	0.00371428571428571	0.00257142857142857	0.00328571428571429	0.00357142857142857	0.0245714285714286	0.00242857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster"	0.00542857142857143	0.00642857142857143	0.00357142857142857	0.003	0.00485714285714286	0.00828571428571429	0.00957142857142857	0.0121428571428571	0.00371428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.00528571428571429	0.005	0.000571428571428571	0.00728571428571429	0.0115714285714286	0.00428571428571429	0.008	0.00185714285714286	0.0128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"	0.0128571428571429	0.0102857142857143	0.000142857142857143	0.00271428571428571	0.001	0.00328571428571429	0.001	0.00414285714285714	0.00542857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.00271428571428571	0.00228571428571429	0.0152857142857143	0.004	0.00328571428571429	0.005	0.00242857142857143	0.00357142857142857	0.00142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.003	0.005	0.00428571428571429	0.00271428571428571	0.00328571428571429	0.00485714285714286	0.004	0.00771428571428571	0.00514285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.00142857142857143	0.004	0.00157142857142857	0.00228571428571429	0.00328571428571429	0.00328571428571429	0.00628571428571429	0.00142857142857143	0.00185714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus"	0	0	0.0217142857142857	0	0	0	0	0	0
