"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.582	0.366857142857143	0.0422857142857143	0.217	0.402142857142857	0.375142857142857	0.281428571428571	0.346571428571429	0.0342857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.0818571428571429	0.121	0.402428571428571	0.206857142857143	0.0652857142857143	0.0882857142857143	0.147857142857143	0.135285714285714	0.658142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0794285714285714	0.111428571428571	0.0532857142857143	0.289714285714286	0.365285714285714	0.275571428571429	0.227428571428571	0.205	0.026
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.071	0.266714285714286	0.0308571428571429	0.116714285714286	0.0885714285714286	0.162285714285714	0.192714285714286	0.158428571428571	0.0408571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.114571428571429	0.0968571428571429	0.0292857142857143	0.108	0.0662857142857143	0.0794285714285714	0.117428571428571	0.117142857142857	0.0312857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0282857142857143	0.0228571428571429	0.0965714285714286	0.0552857142857143	0.00557142857142857	0.0131428571428571	0.0268571428571429	0.0161428571428571	0.114714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0.293285714285714	0	0	0	0	0	0.0614285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.002	0.00157142857142857	0.0507142857142857	0.00328571428571429	0.00557142857142857	0.00371428571428571	0.00285714285714286	0.0127142857142857	0.0107142857142857
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0305714285714286	0.003	0	0.000142857142857143	0	0	0.000142857142857143	0	0.0185714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00885714285714286	0.00957142857142857	0.000714285714285714	0.002	0.000571428571428571	0.00128571428571429	0.00257142857142857	0.006	0.00185714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.000857142857142857	0	0.000428571428571429	0.000142857142857143	0.000285714285714286	0.000714285714285714	0.000571428571428571	0.000142857142857143	0.00157142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000285714285714286	0.000142857142857143	0	0.000285714285714286	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.00242857142857143	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.000142857142857143	0	0	0.000142857142857143	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales"	0	0	0	0.000428571428571429	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0	0	0	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0	0	0	0	0.000142857142857143	0	0.000142857142857143	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0.000142857142857143	0	0	0	0	0	0	0	0
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0	0	0.000142857142857143	0	0	0	0	0	0
