"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.799428571428571	0.746857142857143	0.886571428571429	0.732	0.200285714285714	0.664428571428571	0.784714285714286	0.726714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.101428571428571	0.052	0.0391428571428571	0.0507142857142857	0.0785714285714286	0.130428571428571	0.0761428571428571	0.109
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.0145714285714286	0.00685714285714286	0.00257142857142857	0.00914285714285714	0.308142857142857	0.058	0.0257142857142857	0.0118571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0304285714285714	0.091	0.0107142857142857	0.0704285714285714	0.0127142857142857	0.00771428571428571	0.0355714285714286	0.055
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0111428571428571	0.00828571428571429	0.009	0.012	0.178428571428571	0.0612857142857143	0.0131428571428571	0.0107142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.00971428571428571	0.0101428571428571	0.0168571428571429	0.009	0.0265714285714286	0.0298571428571429	0.0182857142857143	0.00814285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0	0.0232857142857143	0.00414285714285714	0.0238571428571429	0.00742857142857143	0.00142857142857143	0.00614285714285714	0.0115714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00228571428571429	0.00557142857142857	0.00328571428571429	0.00785714285714286	0.0328571428571429	0.00585714285714286	0.00671428571428571	0.00328571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.00585714285714286	0.00442857142857143	0.00314285714285714	0.0108571428571429	0.02	0.00628571428571429	0.00242857142857143	0.00171428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.00114285714285714	0.000428571428571429	0.000571428571428571	0.000428571428571429	0.0394285714285714	0.00442857142857143	0.00114285714285714	0.000428571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.000142857142857143	0.00185714285714286	0.000285714285714286	0.002	0.0331428571428571	0.000285714285714286	0.003	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.00314285714285714	0.0132857142857143	0.00185714285714286	0.00814285714285714	0.00357142857142857	0.00157142857142857	0.00428571428571429	0.00328571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.00542857142857143	0.000571428571428571	0.000714285714285714	0.00128571428571429	0.0172857142857143	0.00628571428571429	0.001	0.000857142857142857
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.000428571428571429	0.00528571428571429	0.000285714285714286	0.0155714285714286	0.00357142857142857	0.000714285714285714	0.00114285714285714	0.00585714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.000714285714285714	0.005	0.002	0.00714285714285714	0.00442857142857143	0.000857142857142857	0.000428571428571429	0.0118571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.00428571428571429	0.00285714285714286	0.00271428571428571	0.00328571428571429	0.00385714285714286	0.004	0.00685714285714286	0.002
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0.008	0	0.0178571428571429	0.000142857142857143	0.000142857142857143	0	0.00228571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio"	0.00285714285714286	0.00485714285714286	0.00742857142857143	0.00528571428571429	0.00114285714285714	0.00171428571428571	0.000428571428571429	0.004
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.000714285714285714	0.00114285714285714	0.00242857142857143	0.00314285714285714	0.00342857142857143	0.00528571428571429	0.003	0.00842857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.000142857142857143	0	0	0	0.00157142857142857	0	0	0.012
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster"	0	0.000571428571428571	0.000857142857142857	0.000857142857142857	0.00385714285714286	0.00185714285714286	0.00185714285714286	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.00157142857142857	0.00228571428571429	0.000142857142857143	0.00242857142857143	0.000142857142857143	0.000285714285714286	0.001	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora"	0.000571428571428571	0.000857142857142857	0.000428571428571429	0.00114285714285714	0.000428571428571429	0.000714285714285714	0.00171428571428571	0.00185714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.001	0.000714285714285714	0.000714285714285714	0.000714285714285714	0.000857142857142857	0.00114285714285714	0.00114285714285714	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000428571428571429	0.001	0.002	0.001	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0	0	0	0	0.002	0	0	0.00271428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000428571428571429	0.00157142857142857	0.000428571428571429	0.000428571428571429	0.000285714285714286
