"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.344285714285714	0.49	0.155142857142857	0.584285714285714	0.607142857142857	0.491857142857143	0.443857142857143	0.107285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.146428571428571	0.302714285714286	0.0637142857142857	0.272	0.189142857142857	0.147714285714286	0.259714285714286	0.697285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.108142857142857	0.122142857142857	0.0594285714285714	0.105	0.127571428571429	0.246285714285714	0.180857142857143	0.052
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.00914285714285714	0.0122857142857143	0.704714285714286	0.0215714285714286	0.0447142857142857	0.0754285714285714	0.0675714285714286	0.0128571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.381	0.000142857142857143	0.000714285714285714	0.00371428571428571	0.00128571428571429	0.0121428571428571	0.0201428571428571	0.00114285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.007	0.0277142857142857	0.00457142857142857	0.0114285714285714	0.0244285714285714	0.0231428571428571	0.0105714285714286	0.0702857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0.0402857142857143	0	0	0.000285714285714286	0.000142857142857143	0	0.0342857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00357142857142857	0.00471428571428571	0.0115714285714286	0.00171428571428571	0.00471428571428571	0.003	0.0171428571428571	0.0245714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000428571428571429	0	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.000285714285714286	0.000142857142857143	0
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0	0	0	0	0	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0	0	0	0	0.000142857142857143	0	0	0
