"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.444571428571429	0.597	0.719714285714286	0.109428571428571	0.5	0.454714285714286	0.489285714285714	0.305428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.340857142857143	0.232285714285714	0.183714285714286	0.294142857142857	0.298142857142857	0.355571428571429	0.278714285714286	0.496714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.149571428571429	0.149857142857143	0.0714285714285714	0.0182857142857143	0.133285714285714	0.111571428571429	0.184857142857143	0.160142857142857
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0175714285714286	0.00771428571428571	0.00557142857142857	0.329428571428571	0.0231428571428571	0.0204285714285714	0.0302857142857143	0.0227142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0.0215714285714286	0	0	0.134142857142857	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00628571428571429	0.000428571428571429	0.00242857142857143	0.0898571428571429	0.00657142857142857	0.00128571428571429	0.00385714285714286	0.00271428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.013	0.00271428571428571	0.0122857142857143	0.0184285714285714	0.0284285714285714	0.0178571428571429	0.00471428571428571	0.00257142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.006	0.00942857142857143	0.00485714285714286	0.00171428571428571	0.00671428571428571	0.0374285714285714	0.00742857142857143	0.00842857142857143
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.000142857142857143	0.000142857142857143	0	0.00328571428571429	0.00314285714285714	0.000571428571428571	0.000571428571428571	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli"	0	0	0	0.00128571428571429	0.000285714285714286	0.000571428571428571	0.000285714285714286	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000428571428571429	0.000428571428571429	0	0	0.000285714285714286	0	0	0
