"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.211714285714286	0.290142857142857	0.0798571428571429	0.126428571428571	0.139142857142857	0.0272857142857143	0.280285714285714	0.128571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.212	0.143285714285714	0.168285714285714	0.163142857142857	0.163142857142857	0.0324285714285714	0.173	0.151142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.144571428571429	0.262142857142857	0.126142857142857	0.262428571428571	0.114	0.0282857142857143	0.0931428571428571	0.165285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0308571428571429	0.0397142857142857	0.319857142857143	0.108142857142857	0.146714285714286	0.00957142857142857	0.168571428571429	0.148714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.218142857142857	0.116285714285714	0.0692857142857143	0.0444285714285714	0.0435714285714286	0.286	0.0468571428571429	0.053
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.0132857142857143	0.023	0.0237142857142857	0.07	0.150857142857143	0.267714285714286	0.0407142857142857	0.0531428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.0308571428571429	0.021	0.0854285714285714	0.0501428571428571	0.0824285714285714	0.107857142857143	0.0821428571428571	0.0964285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00671428571428571	0.00814285714285714	0.0768571428571429	0.125857142857143	0.089	0.00328571428571429	0.0361428571428571	0.0678571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.0262857142857143	0.0148571428571429	0.0254285714285714	0.0215714285714286	0.024	0.0335714285714286	0.0345714285714286	0.026
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00842857142857143	0.00728571428571429	0.013	0.0164285714285714	0.024	0.0691428571428571	0.023	0.0285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0478571428571429	0.0265714285714286	0.00528571428571429	0.00414285714285714	0.00514285714285714	0.00471428571428571	0.011	0.00514285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0	0	0	0.0841428571428571	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.0108571428571429	0.00714285714285714	0.000285714285714286	0.00214285714285714	0.00585714285714286	0.0178571428571429	0.00171428571428571	0.0167142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.0191428571428571	0.016	0.002	0.000428571428571429	0.00142857142857143	0.00257142857142857	0.00142857142857143	0.00185714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0	0	0	0	0	0	0	0.0342857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.00328571428571429	0.00671428571428571	0	0	0	0.00228571428571429	0.000285714285714286	0.0135714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00185714285714286	0.001	0.00185714285714286	0.00142857142857143	0.00271428571428571	0.00585714285714286	0.00485714285714286	0.00271428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.003	0.00114285714285714	0.00228571428571429	0.000714285714285714	0.00557142857142857	0.00314285714285714	0.00114285714285714	0.00442857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0.00428571428571429	0.00614285714285714	0.000428571428571429	0.00185714285714286	0.000857142857142857	0.000285714285714286	0.000428571428571429	0.00157142857142857
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0.000571428571428571	0.00342857142857143	0	0	0	0.009	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.002	0.00228571428571429	0	0.000571428571428571	0.000571428571428571	0.00357142857142857	0	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0.002	0.000857142857142857	0	0	0.000142857142857143	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000714285714285714	0.001	0	0.000142857142857143	0.000285714285714286	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0	0	0	0	0.000285714285714286	0.000285714285714286	0.000428571428571429	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0.000285714285714286	0.000571428571428571	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae"	0.000142857142857143	0.000285714285714286	0	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae"	0	0	0	0	0	0.000571428571428571	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae"	0.000285714285714286	0	0	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0	0.000428571428571429	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae"	0.000142857142857143	0	0	0	0.000142857142857143	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae"	0.000285714285714286	0.000142857142857143	0	0	0	0	0	0
