"Taxa"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.159	0.0448571428571429	0.580571428571429	0.217714285714286	0.310285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.219285714285714	0.457428571428571	0.00657142857142857	0.154285714285714	0.421571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.164571428571429	0.285428571428571	0.0457142857142857	0.166857142857143	0.116428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.171571428571429	0.0972857142857143	0.0904285714285714	0.132571428571429	0.0292857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.15	0.0645714285714286	0.0491428571428571	0.178714285714286	0.0251428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.112857142857143	0.0394285714285714	0.0878571428571429	0.116857142857143	0.0181428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0112857142857143	0.00728571428571429	0.0537142857142857	0.021	0.049
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0.0777142857142857	0	0.028
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.008	0.000714285714285714	0.00571428571428571	0.0105714285714286	0.00114285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00257142857142857	0.00257142857142857	0.00185714285714286	0.00114285714285714	0.001
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000571428571428571	0.000142857142857143	0	0.000285714285714286	0
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0	0	0.000571428571428571	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.000142857142857143	0.000142857142857143	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.000142857142857143	0	0	0	0
