"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.242	0.561857142857143	0.584428571428571	0.350428571428571	0.519	0.308428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.567857142857143	0.126714285714286	0.111571428571429	0.508714285714286	0.0211428571428571	0.0908571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.0797142857142857	0.0842857142857143	0.148714285714286	0.0431428571428571	0.314285714285714	0.392142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.0554285714285714	0.17	0.141428571428571	0.068	0.0997142857142857	0.0748571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.0458571428571429	0.0461428571428571	0.001	0.00314285714285714	0.0281428571428571	0.00585714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00742857142857143	0.00757142857142857	0.00442857142857143	0.004	0.0151428571428571	0.0751428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.000714285714285714	0.00271428571428571	0.00771428571428571	0.0202857142857143	0.00171428571428571	0.0115714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0.000142857142857143	0.000142857142857143	0	0.0391428571428571
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000571428571428571	0.000142857142857143	0.000571428571428571	0.002	0.000142857142857143	0.000285714285714286
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.000428571428571429	0.000571428571428571	0	0	0.000714285714285714	0.00171428571428571
"k__Bacteria|p__Aquificae|c__Aquificae"	0	0	0	0.000142857142857143	0	0
