"Taxa"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.000285714285714286	0	0.224285714285714	0.16	0.286428571428571	0.378428571428571	0.116714285714286	0.259	0.567857142857143	0.740428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.212	0.264285714285714	0.338142857142857	0.0914285714285714	0.209571428571429	0.294	0.217142857142857	0.302571428571429	0.166142857142857	0.0287142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0	0	0.267	0.191571428571429	0.303428571428571	0.143571428571429	0.169571428571429	0.204571428571429	0.103857142857143	0.025
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0847142857142857	0.396857142857143	0.110857142857143	0.158285714285714	0.061	0.0531428571428571	0.319142857142857	0.112428571428571	0.0725714285714286	0.0151428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.686428571428571	0.289	0.0372857142857143	0.0651428571428571	0.00128571428571429	0.00257142857142857	0.00214285714285714	0.004	0.0124285714285714	0.0391428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.00942857142857143	0.0204285714285714	0.000857142857142857	0.150428571428571	0.0571428571428571	0.0202857142857143	0.0594285714285714	0.034	0.0214285714285714	0.0155714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.000142857142857143	0	0.000428571428571429	0.150285714285714	0.0392857142857143	0.0271428571428571	0.0955714285714286	0.037	0.0141428571428571	0.00228571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00328571428571429	0.0255714285714286	0.0131428571428571	0.0284285714285714	0.0115714285714286	0.046	0.0185714285714286	0.0241428571428571	0.0261428571428571	0.0592857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0	0	0.000285714285714286	0.000714285714285714	0.0235714285714286	0.0287142857142857	0.000285714285714286	0.00528571428571429	0.00557142857142857	0.011
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0.054
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.000285714285714286	0.000571428571428571	0.00571428571428571	0.00342857142857143	0.00457142857142857	0.00128571428571429	0.00142857142857143	0.00171428571428571	0.00828571428571429	0.008
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.003	0.00114285714285714	0	0	0.00142857142857143	0.003	0	0.00985714285714286	0.00114285714285714	0.000571428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0.000857142857142857	0.00142857142857143	0	0.000571428571428571	0.000571428571428571	0	0.00142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0.000142857142857143	0.000714285714285714	0.000285714285714286	0	0.000142857142857143	0.000857142857142857	0	0.00142857142857143	0	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000142857142857143	0	0	0	0	0.000285714285714286	0	0.00228571428571429	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000142857142857143	0	0.000142857142857143	0	0	0.000142857142857143	0	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0.000571428571428571	0	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales"	0	0	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales"	0	0	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales"	0	0	0	0	0	0	0	0	0	0.000142857142857143
