"Taxa"	"buddy11"	"hamlet11"	"hera11"	"padme11"	"ginger14"	"hera14"	"jarjarbinks14"	"joans14"	"kubo14"	"wolverine14"	"jarjarbinks15"	"kubo15"	"buddy16"	"iris16"	"hamlet17"	"hera17"	"iris17"	"lambchop17"	"wolverine17"	"lambchop18"	"franc19"	"ophelia19"	"goose20"	"jarjarbinks21"	"joans21"	"korra21"	"kubo21"	"franc22"	"goose22"	"grogu22"	"hamlet22"	"iris22"	"hera24"	"ivy24"	"marshmallow24"	"hamlet25"	"lambchop25"	"ginger27"	"henry29"	"ivy29"	"jarjarbinks29"	"joans29"	"korra29"	"kubo30"	"hamlet31"	"jarjarbinks32"	"grogu36"	"henry36"	"iris36"	"ivy36"	"goose37"	"grogu37"	"lambchop37"	"marshmallow37"	"ophelia37"	"wolverine37"	"charles41"	"grogu41"	"hamlet41"	"joans41"	"marshmallow41"	"goose42"	"henry42"	"ginger43"	"ophelia43"	"buddy44"	"franc44"	"goose44"	"hera44"	"iris44"	"ivy44"	"jarjarbinks44"	"joans44"	"korra44"	"lambchop44"	"marshmallow44"	"wolverine44"	"franc45"	"grogu45"	"hera45"	"ophelia45"	"buddy46"	"charles46"	"ginger46"	"iris46"	"ivy46"	"lambchop46"	"franc47"	"ivy47"	"buddy48"	"franc48"	"henry48"	"korra48"	"kubo48"	"lambchop48"	"ophelia48"	"charles49"	"franc49"	"ginger49"	"jarjarbinks49"	"joans49"	"marshmallow49"	"ophelia49"	"wolverine49"	"buddy50"	"charles50"	"ginger50"	"grogu50"	"lambchop50"	"charles51"	"joans51"	"ginger52"	"marshmallow53"	"charles55"	"ginger55"	"lambchop55"	"ophelia55"	"buddy56"	"franc56"	"grogu56"	"joans56"	"buddy57"	"charles57"	"joans57"	"ophelia57"	"wolverine57"	"hera58"	"korra58"	"kubo58"	"wolverine58"	"hamlet59"	"henry59"	"iris59"	"ophelia59"	"iris60"	"marshmallow60"	"wolverine60"	"ginger66"	"henry66"	"hamlet67"	"hera67"	"franc68"	"jarjarbinks68"	"grogu70"	"ivy70"	"lambchop70"	"marshmallow70"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.497142857142857	0.344285714285714	0.548428571428571	0.443285714285714	0.732571428571429	0.647142857142857	0.387285714285714	0.0485714285714286	0.241857142857143	0.557	0.445142857142857	0.562	0.0465714285714286	0.444571428571429	0.49	0.0782857142857143	0.596714285714286	0.296714285714286	0.696285714285714	0.661142857142857	0.537857142857143	0.585	0.589	0.614428571428571	0.530857142857143	0.486285714285714	0.584428571428571	0.499	0.434285714285714	0.128142857142857	0.155142857142857	0.719857142857143	0.525285714285714	0.517428571428571	0.255857142857143	0.584285714285714	0.716	0.745	0.484857142857143	0.74	0.533714285714286	0.533857142857143	0.447285714285714	0.350428571428571	0.607142857142857	0.423857142857143	0.0674285714285714	0.580142857142857	0.109285714285714	0.123285714285714	0.510142857142857	0.0512857142857143	0.441285714285714	0.146	0.165285714285714	0.667714285714286	0.0551428571428571	0.0722857142857143	0.491857142857143	0.515285714285714	0.136571428571429	0.551428571428571	0.590285714285714	0.126428571428571	0.481	0.387142857142857	0.243857142857143	0.701571428571429	0.0987142857142857	0.5	0.612	0.0702857142857143	0.434714285714286	0.185285714285714	0.574285714285714	0.403714285714286	0.455857142857143	0.483	0.605571428571429	0.312	0.492714285714286	0.264857142857143	0.450428571428571	0.623428571428571	0.454714285714286	0.763571428571429	0.490714285714286	0.680142857142857	0.531428571428571	0.237142857142857	0.486571428571429	0.625	0.478	0.519	0.705857142857143	0.357	0.202714285714286	0.481285714285714	0.856	0.434714285714286	0.503285714285714	0.394	0.334142857142857	0.547142857142857	0.334285714285714	0.700428571428571	0.813	0.254142857142857	0.619571428571429	0.534857142857143	0.321428571428571	0.701571428571429	0.0851428571428571	0.542857142857143	0.71	0.342571428571429	0.377571428571429	0.269857142857143	0.47	0.116	0.630142857142857	0.415571428571429	0.0852857142857143	0.245428571428571	0.318428571428571	0.371142857142857	0.0607142857142857	0.170857142857143	0.308428571428571	0.619857142857143	0.443857142857143	0.693428571428571	0.489428571428571	0.248857142857143	0.305428571428571	0.276142857142857	0.628857142857143	0.101142857142857	0.261285714285714	0.107285714285714	0.816857142857143	0.567	0.465142857142857	0.132	0.612142857142857	0.0685714285714286	0.0511428571428571	0.380428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.177714285714286	0.146428571428571	0.0868571428571429	0.0948571428571429	0.0815714285714286	0.141142857142857	0.279857142857143	0.00214285714285714	0.0795714285714286	0.153714285714286	0.154285714285714	0.0842857142857143	0.329285714285714	0.340857142857143	0.302714285714286	0.633857142857143	0.232285714285714	0.000285714285714286	0.195	0	0.214428571428571	0.262857142857143	0.143285714285714	0.184142857142857	0.134142857142857	0.159142857142857	0.148714285714286	0.267	0.165428571428571	0.0432857142857143	0.0638571428571429	0.183714285714286	0.302714285714286	0.145571428571429	0.0542857142857143	0.272	0.224285714285714	0.121	0.243571428571429	0.081	0.118285714285714	0.0882857142857143	0.0448571428571429	0.0431428571428571	0.189142857142857	0.158285714285714	0.141571428571429	0.205285714285714	0.294	0.531285714285714	0.186714285714286	0.0237142857142857	0.160142857142857	0.132	0.115142857142857	0.111428571428571	0.641571428571429	0.124857142857143	0.147571428571429	0.0861428571428571	0.252714285714286	0.146	0.216285714285714	0.402428571428571	0.131571428571429	0.171428571428571	0.253	0.0341428571428571	0.674571428571429	0.298285714285714	0.127571428571429	0.436428571428571	0.261142857142857	0.580571428571429	0.286714285714286	0.0998571428571429	0.205	0.282714285714286	0.078	0.458285714285714	0.166714285714286	0.340857142857143	0.298428571428571	0.206857142857143	0.355285714285714	0.0595714285714286	0.378428571428571	0.163571428571429	0.265285714285714	0.069	0.311142857142857	0.122	0.217285714285714	0.314285714285714	0.116714285714286	0.414714285714286	0.0461428571428571	0.242428571428571	0.0652857142857143	0.169571428571429	0.307	0.0594285714285714	0.426428571428571	0.185571428571429	0.0691428571428571	0.117428571428571	0.0882857142857143	0.0238571428571429	0.259	0.244857142857143	0.515428571428571	0.147857142857143	0.021	0.250857142857143	0.135285714285714	0.567857142857143	0.154857142857143	0.0548571428571429	0.268428571428571	0.0567142857142857	0.192857142857143	0.123	0.726714285714286	0.0608571428571429	0.471428571428571	0.0757142857142857	0.709142857142857	0.310428571428571	0.392142857142857	0.057	0.259714285714286	0.224714285714286	0.278714285714286	0.295285714285714	0.496714285714286	0.110714285714286	0.123857142857143	0.658	0.481714285714286	0.697285714285714	0.0331428571428571	0.115714285714286	0.182571428571429	0.0757142857142857	0.0651428571428571	0.740428571428571	0.321	0.281714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.222428571428571	0.00914285714285714	0.0931428571428571	0.0955714285714286	0.00957142857142857	0.0465714285714286	0.0202857142857143	0.900571428571429	0.567714285714286	0.00614285714285714	0.0317142857142857	0.126714285714286	0.234428571428571	0.006	0.0122857142857143	0.00457142857142857	0.00942857142857143	0.686571428571429	0.006	0.290428571428571	0.0867142857142857	0.00985714285714286	0.0651428571428571	0.100571428571429	0.244142857142857	0.222	0.111571428571429	0.021	0.221142857142857	0.803285714285714	0.704571428571429	0.00471428571428571	0.00814285714285714	0.0205714285714286	0.604571428571429	0.0215714285714286	0.0392857142857143	0.00957142857142857	0.105571428571429	0.0181428571428571	0.195857142857143	0.282428571428571	0.460142857142857	0.508714285714286	0.0447142857142857	0.239857142857143	0.752571428571429	0.027	0.00185714285714286	0.00742857142857143	0.145428571428571	0.894714285714286	0.215571428571429	0.551857142857143	0.641	0.0111428571428571	0.0111428571428571	0.738	0.0754285714285714	0.126428571428571	0.463571428571429	0.154	0.008	0.00114285714285714	0.141142857142857	0.338714285714286	0.145857142857143	0.0802857142857143	0.00671428571428571	0.00671428571428571	0.0528571428571429	0.271571428571429	0.222428571428571	0.00842857142857143	0.0408571428571429	0.418285714285714	0.112857142857143	0.0532857142857143	0.205857142857143	0.0122857142857143	0.136428571428571	0.314571428571429	0.177428571428571	0.00228571428571429	0.0375714285714286	0.00657142857142857	0.0302857142857143	0.0174285714285714	0.00485714285714286	0.626857142857143	0.0244285714285714	0.00614285714285714	0.155428571428571	0.0211428571428571	0.0977142857142857	0.0558571428571429	0.513	0.0372857142857143	0.000857142857142857	0.0768571428571429	0.129285714285714	0.423142857142857	0.07	0.079	0.486714285714286	0.104142857142857	0.00242857142857143	0.667285714285714	0.0424285714285714	0.0547142857142857	0.113571428571429	0.00314285714285714	0.872428571428571	0.0117142857142857	0.00614285714285714	0.0267142857142857	0.288714285714286	0.597285714285714	0.0122857142857143	0.786285714285714	0.0861428571428571	0.366857142857143	0.00585714285714286	0.637428571428571	0.0325714285714286	0.438714285714286	0.0421428571428571	0.422571428571429	0.0908571428571429	0.207	0.0675714285714286	0.00857142857142857	0.00742857142857143	0.342571428571429	0.00842857142857143	0.528714285714286	0.0725714285714286	0.00385714285714286	0.0242857142857143	0.0128571428571429	0.00385714285714286	0.173285714285714	0.155285714285714	0.746714285714286	0.119571428571429	0.0415714285714286	0.582428571428571	0.016
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.0712857142857143	0.108285714285714	0.176285714285714	0.123857142857143	0.114571428571429	0.104	0.285142857142857	0.00385714285714286	0.0558571428571429	0.254714285714286	0.339714285714286	0.169857142857143	0.039	0.149571428571429	0.122142857142857	0.0201428571428571	0.15	0.00942857142857143	0.093	0.0204285714285714	0.139857142857143	0.102142857142857	0.167714285714286	0.0875714285714286	0.0501428571428571	0.112571428571429	0.141428571428571	0.180142857142857	0.161285714285714	0.0238571428571429	0.0592857142857143	0.0717142857142857	0.126714285714286	0.197142857142857	0.0828571428571429	0.105	0.000857142857142857	0.0968571428571429	0.0918571428571429	0.0717142857142857	0.132857142857143	0.069	0.0394285714285714	0.068	0.127571428571429	0.147	0.0181428571428571	0.141714285714286	0.0182857142857143	0.0192857142857143	0.127285714285714	0.0277142857142857	0.150428571428571	0.0457142857142857	0.067	0.145571428571429	0.0584285714285714	0.0218571428571429	0.246428571428571	0.211428571428571	0.0418571428571429	0.118	0.101714285714286	0.0294285714285714	0.217285714285714	0.0704285714285714	0.107142857142857	0.151428571428571	0.0352857142857143	0.133142857142857	0.176857142857143	0.0351428571428571	0.0577142857142857	0.0878571428571429	0.057	0.0641428571428571	0.0734285714285714	0.134714285714286	0.0647142857142857	0.119857142857143	0.168571428571429	0.0475714285714286	0.0605714285714286	0.108142857142857	0.111571428571429	0.116428571428571	0.0202857142857143	0.116142857142857	0.0518571428571429	0.041	0.143285714285714	0.181857142857143	0.116857142857143	0.1	0.0594285714285714	0.133857142857143	0.0707142857142857	0.203857142857143	0.0662857142857143	0.293714285714286	0.0397142857142857	0.104857142857143	0.143714285714286	0.125857142857143	0.0601428571428571	0.0592857142857143	0.0791428571428571	0.0527142857142857	0.034	0.114857142857143	0.037	0.117285714285714	0.0201428571428571	0.0785714285714286	0.117142857142857	0.0214285714285714	0.144285714285714	0.0611428571428571	0.214285714285714	0.0361428571428571	0.0652857142857143	0.0607142857142857	0.0301428571428571	0.0464285714285714	0.132428571428571	0.095	0.0237142857142857	0.018	0.0747142857142857	0.0974285714285714	0.180857142857143	0.0281428571428571	0.184571428571429	0.0861428571428571	0.160142857142857	0.0755714285714286	0.0682857142857143	0.0314285714285714	0.100714285714286	0.052	0.119142857142857	0.115571428571429	0.137285714285714	0.0245714285714286	0.145	0.016	0.00842857142857143	0.122857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0185714285714286	0.007	0.006	0.00942857142857143	0.0284285714285714	0.0208571428571429	0.00914285714285714	0.00471428571428571	0.00742857142857143	0.00471428571428571	0.00771428571428571	0.00757142857142857	0.0322857142857143	0.0175714285714286	0.0277142857142857	0.099	0.00771428571428571	0.00342857142857143	0.00685714285714286	0.0262857142857143	0.0127142857142857	0.0255714285714286	0.0317142857142857	0.013	0.0284285714285714	0.0112857142857143	0.00442857142857143	0.0277142857142857	0.0158571428571429	0.00114285714285714	0.00457142857142857	0.00542857142857143	0.012	0.0161428571428571	0.000571428571428571	0.0114285714285714	0.0134285714285714	0.0228571428571429	0.0325714285714286	0.0275714285714286	0.0164285714285714	0.0128571428571429	0.00728571428571429	0.004	0.0244285714285714	0.0241428571428571	0.0102857142857143	0.018	0.329428571428571	0.167428571428571	0.025	0.00228571428571429	0.0284285714285714	0.0291428571428571	0.004	0.009	0.0582857142857143	0.0227142857142857	0.0231428571428571	0.0452857142857143	0.0617142857142857	0.0294285714285714	0.05	0.0965714285714286	0.0174285714285714	0.00757142857142857	0.0897142857142857	0.0108571428571429	0.0932857142857143	0.0231428571428571	0.0257142857142857	0.0695714285714286	0.0218571428571429	0.0537142857142857	0.0117142857142857	0.011	0.0532857142857143	0.0401428571428571	0.008	0.0151428571428571	0.0225714285714286	0.0188571428571429	0.01	0.0552857142857143	0.0204285714285714	0.0158571428571429	0.0468571428571429	0.0184285714285714	0.091	0.018	0.0282857142857143	0.00871428571428571	0.0211428571428571	0.0151428571428571	0.0185714285714286	0.0142857142857143	0.00242857142857143	0.0308571428571429	0.00557142857142857	0.023	0.0182857142857143	0.00971428571428571	0.0197142857142857	0.0428571428571429	0.0108571428571429	0.015	0.0131428571428571	0.00157142857142857	0.0255714285714286	0.0317142857142857	0.011	0.0268571428571429	0.000857142857142857	0.00957142857142857	0.0161428571428571	0.0261428571428571	0.0124285714285714	0.0111428571428571	0.0294285714285714	0.00157142857142857	0.0224285714285714	0.0175714285714286	0.0962857142857143	0.009	0.023	0.009	0.0761428571428571	0.049	0.0751428571428571	0.00685714285714286	0.0105714285714286	0.0334285714285714	0.0302857142857143	0.0151428571428571	0.0227142857142857	0.00842857142857143	0.0515714285714286	0.114714285714286	0.0302857142857143	0.0702857142857143	0.00385714285714286	0.0254285714285714	0.0285714285714286	0.0177142857142857	0.0224285714285714	0.0595714285714286	0.0275714285714286	0.0545714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.00771428571428571	0.380857142857143	0.0828571428571429	0.226428571428571	0.0305714285714286	0.0371428571428571	0.00328571428571429	0.03	0.0458571428571429	0.0141428571428571	0.00671428571428571	0.0461428571428571	0.308571428571429	0.013	0.000142857142857143	0	0.00271428571428571	0	0	0	0.00471428571428571	0	0.000428571428571429	0	0.00971428571428571	0.000142857142857143	0.001	0.00271428571428571	0.00142857142857143	0	0.000714285714285714	0.0122857142857143	0.002	0.0724285714285714	0	0.00371428571428571	0.000285714285714286	0.003	0.00471428571428571	0.0411428571428571	0	0.0122857142857143	0	0.00314285714285714	0.00128571428571429	0	0	0.0237142857142857	0.0184285714285714	0.00328571428571429	0.003	0	0.000714285714285714	0	0.00342857142857143	0.0227142857142857	0.169428571428571	0	0.0121428571428571	0.014	0	0	0.0135714285714286	0	0.00685714285714286	0.0138571428571429	0.108857142857143	0.000142857142857143	0.0117142857142857	0.0284285714285714	0.000142857142857143	0.00228571428571429	0	0	0.0235714285714286	0	0.00914285714285714	0.000428571428571429	0	0.0154285714285714	0.005	0.00342857142857143	0.001	0.000142857142857143	0.0178571428571429	0.00514285714285714	0.0287142857142857	0.000428571428571429	0.0425714285714286	0.00728571428571429	0	0.00142857142857143	0	0.0281428571428571	0.000285714285714286	0.00657142857142857	0.00357142857142857	0.000142857142857143	0	0.000285714285714286	0	0	0.000857142857142857	0.00942857142857143	0.00914285714285714	0.00114285714285714	0	0	0.00528571428571429	0.00585714285714286	0	0.000142857142857143	0	0.007	0	0.00557142857142857	0.00585714285714286	0.00242857142857143	0.000428571428571429	0	0.000285714285714286	0.00871428571428571	0.00257142857142857	0.000428571428571429	0.00185714285714286	0.00728571428571429	0.00357142857142857	0	0.00585714285714286	0.00457142857142857	0.0201428571428571	0.00785714285714286	0.00471428571428571	0.000142857142857143	0.00257142857142857	0	0.0197142857142857	0.0185714285714286	0.0324285714285714	0.00114285714285714	0.000714285714285714	0.000857142857142857	0.0135714285714286	0	0.0194285714285714	0.0108571428571429	0	0.014
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0	0	0	0.000142857142857143	0	0	0	0.000428571428571429	0	0	0.00771428571428571	0.0215714285714286	0.0402857142857143	0.143142857142857	0	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0.000142857142857143	0	0	0	0.000142857142857143	0.000285714285714286	0	0	0	0	0	0.000142857142857143	0	0	0	0.000142857142857143	0.000285714285714286	0	0.008	0	0.134571428571429	0.127714285714286	0	0	0.000142857142857143	0.0907142857142857	0.000285714285714286	0	0.00271428571428571	0.0178571428571429	0.000142857142857143	0	0.0405714285714286	0	0.000142857142857143	0.293285714285714	0	0	0	0.000571428571428571	0.0514285714285714	0	0.000142857142857143	0.0841428571428571	0.000142857142857143	0.0777142857142857	0	0.000142857142857143	0.0635714285714286	0	0.000285714285714286	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0	0	0	0.000142857142857143	0	0	0	0	0	0.000142857142857143	0.000285714285714286	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0	0.0454285714285714	0	0	0	0.0678571428571429	0.0281428571428571	0.0391428571428571	0	0	0	0	0	0.000142857142857143	0	0	0.0614285714285714	0.000142857142857143	0.0342857142857143	0	0.000142857142857143	0	0.00228571428571429	0	0.0542857142857143	0.00728571428571429	0.0837142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.004	0.00357142857142857	0.006	0.00128571428571429	0.00214285714285714	0.00285714285714286	0.013	0	0.000571428571428571	0.00728571428571429	0.00942857142857143	0.00271428571428571	0.000571428571428571	0.00628571428571429	0.00471428571428571	0.021	0.000571428571428571	0.000285714285714286	0.00285714285714286	0.000571428571428571	0.00342857142857143	0.01	0.00214285714285714	0.000285714285714286	0.000571428571428571	0.008	0.00785714285714286	0.00228571428571429	0	0.000285714285714286	0.0117142857142857	0.00228571428571429	0.0221428571428571	0.0105714285714286	0.001	0.00171428571428571	0.00571428571428571	0.00157142857142857	0.0352857142857143	0.0165714285714286	0.00271428571428571	0.001	0.000714285714285714	0.0202857142857143	0.00471428571428571	0.00657142857142857	0.002	0.00328571428571429	0.0895714285714286	0.0171428571428571	0.00242857142857143	0.000285714285714286	0.00328571428571429	0.00371428571428571	0.00242857142857143	0.0312857142857143	0.002	0.00242857142857143	0.003	0.000714285714285714	0.00271428571428571	0.00114285714285714	0.019	0.0507142857142857	0.00114285714285714	0.0105714285714286	0.0161428571428571	0.0204285714285714	0.0281428571428571	0.00657142857142857	0.00314285714285714	0.0215714285714286	0.00128571428571429	0.00585714285714286	0.00457142857142857	0.00257142857142857	0.026	0.00528571428571429	0.0357142857142857	0.0665714285714286	0.00342857142857143	0.00971428571428571	0.002	0.00328571428571429	0.00142857142857143	0.0324285714285714	0.00128571428571429	0.00385714285714286	0.0121428571428571	0.000285714285714286	0.00528571428571429	0.0494285714285714	0.0108571428571429	0.00142857142857143	0.00142857142857143	0.0154285714285714	0.000571428571428571	0.00242857142857143	0.00557142857142857	0.00171428571428571	0.000571428571428571	0.00842857142857143	0.00442857142857143	0.00985714285714286	0.0244285714285714	0.00142857142857143	0.00371428571428571	0.000285714285714286	0.00171428571428571	0.009	0.000857142857142857	0.003	0.000428571428571429	0.0955714285714286	0.0127142857142857	0.00828571428571429	0.0155714285714286	0.00228571428571429	0.00457142857142857	0.00328571428571429	0.000857142857142857	0.00685714285714286	0.00428571428571429	0.000428571428571429	0.0162857142857143	0.00285714285714286	0.0167142857142857	0.001	0.0115714285714286	0.00585714285714286	0.0171428571428571	0.000857142857142857	0.004	0.00985714285714286	0.00271428571428571	0.000285714285714286	0.0282857142857143	0.0108571428571429	0.0618571428571429	0.0245714285714286	0.0222857142857143	0.00157142857142857	0.0171428571428571	0.000714285714285714	0.0101428571428571	0.00757142857142857	0.00214285714285714	0.0414285714285714
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.001	0.000428571428571429	0.000428571428571429	0.00528571428571429	0.000571428571428571	0.000142857142857143	0.00142857142857143	0.00957142857142857	0.000571428571428571	0.000428571428571429	0.00171428571428571	0.000142857142857143	0.00157142857142857	0	0	0	0	0.00314285714285714	0	0.00114285714285714	0	0.00185714285714286	0.000571428571428571	0	0.002	0.000571428571428571	0.000428571428571429	0	0.000428571428571429	0	0.000142857142857143	0	0.000857142857142857	0.0178571428571429	0.000857142857142857	0.000285714285714286	0	0.000142857142857143	0.00157142857142857	0.000857142857142857	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.002	0.000571428571428571	0.000285714285714286	0	0.000714285714285714	0.00128571428571429	0	0	0	0	0.000142857142857143	0	0.001	0.000285714285714286	0	0.000285714285714286	0.000714285714285714	0	0	0.001	0	0.000142857142857143	0.000285714285714286	0.0342857142857143	0.000571428571428571	0.000142857142857143	0.000285714285714286	0.00128571428571429	0	0.000714285714285714	0	0.00114285714285714	0.000285714285714286	0	0	0.00185714285714286	0.000285714285714286	0.00114285714285714	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.000428571428571429	0.00328571428571429	0	0.000714285714285714	0.000428571428571429	0	0.00542857142857143	0.000428571428571429	0.000142857142857143	0	0.000428571428571429	0.160285714285714	0.00114285714285714	0.000428571428571429	0	0.00171428571428571	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.00514285714285714	0.00114285714285714	0.000285714285714286	0	0.0121428571428571	0.00414285714285714	0.000714285714285714	0.000142857142857143	0	0.00385714285714286	0.00257142857142857	0.00128571428571429	0.000285714285714286	0.000857142857142857	0.000428571428571429	0	0.002	0.000714285714285714	0	0	0.000857142857142857	0.000285714285714286	0	0	0.000428571428571429	0.00128571428571429	0.000142857142857143	0.003	0.000285714285714286	0.000571428571428571	0.000285714285714286	0.000142857142857143	0.00614285714285714	0	0.00728571428571429	0	0.000142857142857143	0.000142857142857143	0.000428571428571429	0.000285714285714286	0.002	0.001	0	0.000714285714285714
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0	0	0	0	0.000571428571428571	0	0.000428571428571429	0.000857142857142857	0.00342857142857143	0.000571428571428571	0	0.000142857142857143	0	0	0.000142857142857143	0	0	0	0	0.00242857142857143	0	0	0	0	0	0	0	0	0	0	0	0.00157142857142857	0	0	0	0	0	0.00271428571428571	0	0	0	0	0	0	0	0	0.00328571428571429	0.00314285714285714	0	0	0	0.000142857142857143	0.00142857142857143	0.000142857142857143	0	0	0	0	0.000285714285714286	0	0	0	0.00342857142857143	0	0.000714285714285714	0	0	0.00314285714285714	0.000142857142857143	0.009	0	0.000571428571428571	0	0	0.000857142857142857	0	0	0	0.003	0	0	0	0.000571428571428571	0	0	0	0.000142857142857143	0	0.000857142857142857	0	0	0.000714285714285714	0	0.00185714285714286	0	0.000285714285714286	0	0	0	0	0.000428571428571429	0.000142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0.000285714285714286	0	0.000142857142857143	0	0	0	0.00342857142857143	0	0.00285714285714286	0	0	0	0.00171428571428571	0.000142857142857143	0	0	0.000571428571428571	0.00142857142857143	0.000857142857142857	0	0.000571428571428571	0	0	0.000285714285714286	0	0.000142857142857143	0	0	0.004	0	0	0.00457142857142857
