"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.604571428571429	0.551571428571429	0.463571428571429	0.418285714285714	0.423428571428571	0.872428571428571	0.528571428571429	0.582285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.255857142857143	0.146285714285714	0.136571428571429	0.403714285714286	0.394	0.0851428571428571	0.276142857142857	0.0511428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.054	0.132	0.252571428571429	0.100285714285714	0.0592857142857143	0.021	0.110714285714286	0.320857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.083	0.0457142857142857	0.0418571428571429	0.0637142857142857	0.104857142857143	0.0201428571428571	0.0757142857142857	0.00828571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.000714285714285714	0.0291428571428571	0.0617142857142857	0.011	0.00971428571428571	0.000857142857142857	0.00842857142857143	0.0277142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0.0907142857142857	0.0405714285714286	0.000142857142857143	0	0	0	0.00757142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.001	0.00371428571428571	0.00285714285714286	0.00271428571428571	0.00842857142857143	0.000428571428571429	0.000285714285714286	0.00214285714285714
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000714285714285714	0.000285714285714286	0	0.000142857142857143	0.000285714285714286	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria"	0	0.000428571428571429	0	0	0	0	0	0
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0.000285714285714286	0	0	0	0	0
"k__Bacteria|p__Deinococcus-Thermus|c__Deinococci"	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.000142857142857143	0	0	0	0	0	0	0
