"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.557	0.696285714285714	0.667714285714286	0.455857142857143	0.547142857142857	0.371142857142857	0.619857142857143	0.628714285714286	0.380428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.153714285714286	0.195	0.111428571428571	0.205	0.185714285714286	0.0757142857142857	0.057	0.124285714285714	0.281571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.254714285714286	0.093	0.145571428571429	0.0734285714285714	0.125714285714286	0.0948571428571429	0.0974285714285714	0.0678571428571429	0.122857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.00614285714285714	0.006	0.0111428571428571	0.112857142857143	0.079	0.438857142857143	0.207	0.0725714285714286	0.016
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00471428571428571	0.00685714285714286	0.009	0.0532857142857143	0.0428571428571429	0.009	0.00685714285714286	0.0517142857142857	0.0545714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00728571428571429	0.00285714285714286	0.0312857142857143	0.026	0.00985714285714286	0.00285714285714286	0.00585714285714286	0.0281428571428571	0.0414285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0.000428571428571429	0	0	0.0635714285714286	0	0	0	0	0.0838571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.0141428571428571	0	0.0227142857142857	0.00914285714285714	0.00942857142857143	0.00728571428571429	0.00457142857142857	0.0197142857142857	0.014
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000428571428571429	0	0.001	0	0.000142857142857143	0.000285714285714286	0.00128571428571429	0.00628571428571429	0.000714285714285714
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.000857142857142857	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0	0.000142857142857143	0.000571428571428571	0.00457142857142857
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000571428571428571	0	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Tissierellia"	0	0	0	0	0	0	0	0.000142857142857143	0
