"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage"
"buddy11",125,209,33.7605556769616,206.719139060078,7.71309953842482,2.886695874794,0.90011483076563,10.0114962778269,21.6141080329151,0.597868330819545,0.992998999857122
"hamlet11",93,101,5.39030625661975,105.990847130953,5.18642794737929,2.42751388628347,0.819789037017966,5.54905197471086,15.1531653663726,0.535567700157573,0.997713632466419
"hera11",132,197,28.6511979671367,184.478919641091,7.12910545860171,2.91983772597005,0.857279839934682,7.00671859912668,23.0895781229479,0.597984061664217,0.994281629735525
"padme11",118,135.55,8.91987737821347,145.842329545455,6.27468543733455,2.75626071985627,0.864298916541708,7.3691379207547,20.1637560483327,0.577749513292336,0.996140651801029
"ginger14",94,111.647058823529,9.31583624351337,120.79416737109,6.14070293378707,2.47282225775561,0.827152958773303,5.78546206462657,15.3484054573086,0.544279509972737,0.996427040160069
"hera14",126,195.461538461538,29.5192529009433,185.774367782542,7.22875856911113,2.62303532771358,0.825975620799078,5.74632131768985,21.8251982055691,0.542366094073908,0.993853630646083
"jarjarbinks14",135,164.0625,13.8257967065222,165.860714723359,6.57207824727005,3.30175299946364,0.921086205758782,12.6720557491289,23.7277056347159,0.673102557674606,0.995567629396626
"joans14",42,49.2,6.43374753289816,50.029296875,3.48229926966202,1.64898908974292,0.695095993813861,3.27972076362131,5.94454251001016,0.441181072205163,0.998705594707321
"kubo14",137,251.833333333333,46.2174487639266,221.320583867057,8.1650632135201,2.81660600878108,0.888310929740992,8.95342756172107,24.1539505374801,0.572483115533012,0.992423159399571
"wolverine14",149,166.105263157895,8.86067351075023,166.443748318802,6.27711011301725,3.23641714165424,0.89771046538962,9.77617117732518,26.7525150891091,0.646772955538886,0.996280932627664
"jarjarbinks15",111,121.909090909091,7.24491824804873,121.653093403402,5.46656396369223,3.08033886583506,0.899325857066587,9.9330371321006,18.7336738912901,0.654064998877534,0.997712324849871
"kubo15",113,122.5625,6.03677199969195,127.416233479216,5.6852526711034,3.00213684512433,0.881639591836735,8.44877113485963,19.1370811954075,0.635051948401826,0.997428571428571
"buddy16",113,188.428571428571,38.5037016962368,148.003846036446,5.94195507569179,2.94645991756421,0.90250999862626,10.2574621592872,19.1487733213733,0.623274423541323,0.995271528872331
"iris16",171,210.807692307692,15.467999814873,226.252204781186,7.74649355098336,3.4754015713082,0.921497359270894,12.7384249843361,31.6518581449468,0.675929401664732,0.99342293394338
"hamlet17",148,183.285714285714,14.9264262695515,189.686842335491,7.14920433375634,3.23301547076782,0.921660530612245,12.7649575343729,26.526632000869,0.646963805748555,0.994428571428571
"hera17",130,154.473684210526,11.5841743957826,165.128391304348,6.78702447939378,2.89648019569821,0.869153523138366,7.64254433122769,22.6714583040557,0.595061057128648,0.995563823697768
"iris17",108,120.833333333333,7.26963170820137,134.697167755991,6.04312630149759,2.90529767546169,0.884090755199644,8.62743952583263,18.1248088097151,0.620507528415886,0.996856244641326
"lambchop17",33,59,19.9981873001505,65.9501065340909,4.94583142868909,1.63280992156969,0.737425595422725,3.80844432118174,4.48975142608118,0.466983094664,0.998138335958757
