"ID"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"txid1437609"	0	0	0	0	0	1	0	0	0
"txid1630166"	0	0	0	0	1	0	0	0	0
"txid2003188"	0	0	1	0	1	4	2	2	1
"txid1871022"	0	0	0	1	0	0	0	0	0
"txid1871031"	0	0	0	0	0	0	0	0	1
"txid147207"	0	1	3	1	0	0	3	1	0
"txid1937461"	0	0	0	0	1	0	0	0	0
"txid742742"	0	2	1	3	7	0	0	2	1
"txid1870987"	0	0	2	0	0	0	0	1	0
"txid1462569"	0	0	1	2	0	0	1	1	0
"txid1411144"	0	0	0	0	1	0	0	0	0
"txid28111"	0	0	1	0	0	0	0	0	0
"txid1462571"	0	0	10	12	5	5	10	12	2
"txid2792859"	3	0	2	0	0	0	0	0	0
"txid1912896"	0	0	1	0	0	1	0	0	0
"txid1841856"	0	19	3	20	48	18	137	18	17
"txid28116"	1	0	1	0	1	1	2	2	0
"txid291644"	0	0	0	0	0	0	1	0	0
"txid449673"	0	0	17	0	0	0	0	0	0
"txid820"	0	1	6	0	0	0	1	0	0
"txid657309"	0	0	1	0	0	0	0	0	0
"txid2725562"	0	0	4	10	6	5	11	6	1
"txid376804"	0	8	3	6	12	5	40	4	2
"txid470145"	0	0	5	5	7	3	6	3	1
"txid387090"	0	0	1	2	2	0	3	0	0
"txid357276"	0	6	0	5	10	4	21	2	1
"txid2786956"	0	0	0	2	1	0	2	0	0
"txid2739389"	0	0	1	2	1	0	1	2	0
"txid204516"	0	0	0	0	1	0	1	0	0
"txid484018"	0	1	5	8	8	3	11	3	1
"txid376805"	0	0	0	1	0	0	0	0	0
"txid1236538"	0	64	22	54	152	113	388	109	78
"txid435590"	2	13	94	18	21	12	55	13	20
"txid487174"	0	0	2	0	0	0	1	0	0
"txid397865"	0	0	0	0	0	0	0	1	0
"txid2518971"	0	0	2	0	2	6	2	2	1
"txid2530391"	0	0	2	0	0	3	3	1	2
"txid2094150"	0	0	0	0	0	1	1	0	0
"txid2530390"	0	0	0	0	0	3	2	1	0
"txid1796646"	0	0	0	0	1	0	1	0	0
"txid2094151"	0	0	2	0	1	1	3	1	1
"txid2606626"	0	0	1	0	0	1	0	1	0
"txid887901"	4	0	0	0	0	0	0	0	0
"txid671218"	3	0	0	0	1	0	1	0	0
"txid76122"	0	0	0	0	1	0	4	0	0
"txid1841864"	0	2	0	0	2	0	4	0	0
"txid1870999"	0	0	0	0	0	1	1	0	0
"txid454154"	1	0	0	0	0	0	3	0	1
"txid454155"	0	0	0	1	0	1	2	0	0
"txid305719"	0	3	3	6	30	18	42	8	7
"txid873513"	0	0	1	3	12	6	18	6	2
"txid28127"	0	1	0	0	1	1	0	0	0
"txid537011"	0	476	337	370	964	1222	1822	773	116
"txid28128"	0	1	1	0	1	3	3	0	0
"txid1236509"	0	0	0	0	1	1	2	0	0
"txid28129"	0	1	0	1	1	1	2	0	0
"txid76123"	0	4	0	1	1	0	5	0	0
"txid2801997"	0	44	2	6	68	29	88	12	4
"txid2518605"	0	2	0	0	3	0	4	1	0
"txid2800387"	0	4	1	1	4	3	8	0	0
"txid2490854"	0	10	1	1	4	8	10	2	0
"txid2854755"	0	4	0	0	4	1	3	0	0
"txid1776379"	0	4	0	1	2	1	4	0	0
"txid840"	0	9	0	2	13	5	18	3	0
"txid439703"	0	8	1	2	15	15	20	6	4
"txid2479840"	0	11	1	1	10	20	19	5	1
"txid862515"	0	2	0	0	4	1	6	0	0
"txid425941"	1	0	0	0	0	0	0	0	0
"txid28135"	0	25	5	3	32	47	61	20	4
"txid915438"	0	33	1	3	26	9	48	2	2
"txid185294"	0	0	0	1	1	1	2	0	0
"txid407975"	0	2	0	1	1	0	1	0	0
"txid1676614"	0	174	36	15	185	369	314	157	52
"txid1236516"	0	0	0	0	1	0	1	0	0
"txid228603"	0	7	0	2	7	3	11	0	1
"txid1002367"	0	0	0	0	1	0	1	0	1
"txid1852370"	0	0	15	32	100	92	257	134	64
"txid2585119"	0	0	1	0	0	0	0	0	0
"txid328814"	0	0	2	0	0	0	0	0	0
"txid823"	0	0	8	0	27	73	73	22	25
