"ID"	"study_day"	"collection"	"subject"	"room"	"seqrun"	"barcode"	"tech_replicates"	"kit"	"flow_cell"	"flow_cell_id"	"origin"	"sex"	"stabilizer"	"group"	"diet_trial"	"gum_ml"	"group_phase"	"bristol"	"trl.num"	"subj.num"	"rm.num"	"phs.num"
"buddy11"	11	2023-03-20	"buddy"	"F"	"cm010"	"barcode22"	1	"SQK-16S114-24"	"FLO-FLG114"	"AVI583"	"TX"	"M"	"Ethanol"	"2"	"run-in"	"0"	"baseline"	"3"	1	17	2	1
"hamlet11"	11	2023-03-20	"hamlet"	"B"	"cm010"	"barcode21"	1	"SQK-16S114-24"	"FLO-FLG114"	"AVI583"	"NE"	"M"	"Ethanol"	"1"	"run-in"	"0"	"baseline"	"2"	1	1	1	1
"hera11"	11	2023-03-20	"hera"	"B"	"cm005"	"barcode03"	1	"SQK-16S024"	"FLO-FLG001"	"ARM042"	"TX"	"F"	"Ethanol"	"1"	"run-in"	"0"	"baseline"	"2"	1	2	1	1
"padme11"	11	2023-03-20	"padme"	"F"	"cm005"	"barcode04"	1	"SQK-16S024"	"FLO-FLG001"	"ARM042"	"TX"	"F"	"Ethanol"	"2"	"run-in"	"0"	"baseline"	"1"	1	14	2	1
"ginger14"	14	2023-03-23	"ginger"	"F"	"cm005"	"barcode06"	1	"SQK-16S024"	"FLO-FLG001"	"ARM042"	"NE"	"F"	"Ethanol"	"2"	"run-in"	"0"	"baseline"	"1"	1	20	2	1
"hera14"	14	2023-03-23	"hera"	"B"	"cm006"	"barcode14"	1	"SQK-16S024"	"FLO-FLG001"	"ARM904"	"TX"	"F"	"Ethanol"	"1"	"run-in"	"0"	"baseline"	"1"	1	2	1	1
"jarjarbinks14"	14	2023-03-23	"jarjarbinks"	"B"	"cm010"	"barcode23"	1	"SQK-16S114-24"	"FLO-FLG114"	"AVI583"	"TX"	"M"	"Ethanol"	"1"	"run-in"	"0"	"baseline"	"1"	1	3	1	1
"joans14"	14	2023-03-23	"joans"	"F"	"cm009"	"barcode09"	1	"SQK-16S114-24"	"FLO-FLG114"	"AVI598"	"NE"	"F"	"Ethanol"	"2"	"run-in"	"0"	"baseline"	"4"	1	18	2	1
"kubo14"	14	2023-03-23	"kubo"	"B"	"cm005"	"barcode05"	1	"SQK-16S024"	"FLO-FLG001"	"ARM042"	"NE"	"M"	"Ethanol"	"1"	"run-in"	"0"	"baseline"	"2"	1	5	1	1
"wolverine14"	14	2023-03-23	"wolverine"	"B"	"cm006"	"barcode15 "	1	"SQK-16S024"	"FLO-FLG001"	"ARM904"	"NE"	"M"	"Ethanol"	"1"	"run-in"	"0"	"baseline"	"2"	1	7	1	1
