"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.0197142857142857	0.00171428571428571	0.338	0.314428571428571	0.626857142857143	0.199142857142857	0.216	0.366285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.148714285714286	0.0267142857142857	0.215428571428571	0.134285714285714	0.101285714285714	0.211857142857143	0.065	0.208428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.202571428571429	0.232	0.000428571428571429	0	0	0.287571428571429	0.380714285714286	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.224285714285714	0.00857142857142857	0.103142857142857	0.0862857142857143	0.094	0.0724285714285714	0.145142857142857	0.136428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.154428571428571	0.0707142857142857	0.0858571428571429	0.229714285714286	0.0534285714285714	0.0414285714285714	0.03	0.0842857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.124142857142857	0.0112857142857143	0.0687142857142857	0.0442857142857143	0.0418571428571429	0.0497142857142857	0.0597142857142857	0.0707142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0205714285714286	0.233714285714286	0.0682857142857143	0.0707142857142857	0.00985714285714286	0.016	0.0178571428571429	0.0241428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0572857142857143	0.0198571428571429	0.058	0.0425714285714286	0.0302857142857143	0.0501428571428571	0.0578571428571429	0.0495714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.00771428571428571	0.308571428571429	0.0138571428571429	0.00342857142857143	0.00728571428571429	0.00914285714285714	0.00214285714285714	0.00871428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0181428571428571	0.0321428571428571	0.00757142857142857	0.0188571428571429	0.018	0.0108571428571429	0.0111428571428571	0.0175714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00228571428571429	0.0238571428571429	0.0151428571428571	0.0342857142857143	0.00471428571428571	0.011	0.00671428571428571	0.0135714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0121428571428571	0.0182857142857143	0.00885714285714286	0.004	0.00985714285714286	0.00528571428571429	0.00271428571428571	0.00971428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00371428571428571	0.000285714285714286	0.0101428571428571	0.00914285714285714	0.000285714285714286	0.0238571428571429	0.00214285714285714	0.00671428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00157142857142857	0.000428571428571429	0.00285714285714286	0.001	0.000714285714285714	0.00414285714285714	0.000428571428571429	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.000285714285714286	0.000571428571428571	0.00142857142857143	0.00542857142857143	0.001	0.000571428571428571	0.000285714285714286	0.000857142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0.00771428571428571	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000571428571428571	0.00157142857142857	0.000142857142857143	0	0.000285714285714286	0.00271428571428571	0.000428571428571429	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.000142857142857143	0.000428571428571429	0.000714285714285714	0.000714285714285714	0	0.000285714285714286	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000285714285714286	0.000285714285714286	0.000428571428571429	0.000428571428571429	0	0.000571428571428571	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0.000285714285714286	0	0.000571428571428571	0.000285714285714286	0.000142857142857143	0.000142857142857143	0	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0.000142857142857143	0	0	0	0	0.001	0.000142857142857143	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0.000142857142857143	0	0	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0.000142857142857143	0	0	0	0	0.000571428571428571	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0	0	0.000571428571428571	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0	0.000571428571428571	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae"	0	0.000428571428571429	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0	0	0.000285714285714286	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0	0	0	0	0	0.000285714285714286	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae"	0.000142857142857143	0	0	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae"	0	0	0	0	0	0	0.000285714285714286	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0.000285714285714286	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae"	0	0	0	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0	0	0	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae"	0	0	0	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae"	0	0	0.000142857142857143	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae"	0	0.000142857142857143	0	0	0	0	0	0
