"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.019	0.000428571428571429	0.331142857142857	0.302714285714286	0.611	0.194428571428571	0.198428571428571	0.350857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.148714285714286	0.0267142857142857	0.215428571428571	0.134285714285714	0.101285714285714	0.211857142857143	0.065	0.208428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.123428571428571	0.145571428571429	0	0	0	0.277	0.357571428571429	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.224285714285714	0.00857142857142857	0.103142857142857	0.0862857142857143	0.094	0.0724285714285714	0.145142857142857	0.136428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.137857142857143	0.0677142857142857	0.0645714285714286	0.185714285714286	0.0482857142857143	0.0357142857142857	0.0202857142857143	0.0614285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.117714285714286	0.0111428571428571	0.067	0.043	0.0401428571428571	0.0472857142857143	0.0575714285714286	0.067
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.00771428571428571	0.308571428571429	0.0138571428571429	0.00342857142857143	0.00728571428571429	0.00914285714285714	0.00214285714285714	0.00871428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0154285714285714	0.0958571428571429	0.0551428571428571	0.0541428571428571	0.00842857142857143	0.0121428571428571	0.0137142857142857	0.0205714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.079	0.0857142857142857	0	0	0	0.0105714285714286	0.0231428571428571	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.00514285714285714	0.137714285714286	0.0127142857142857	0.015	0.00142857142857143	0.00371428571428571	0.00385714285714286	0.00328571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0191428571428571	0.00371428571428571	0.0298571428571429	0.0221428571428571	0.0142857142857143	0.0254285714285714	0.0202857142857143	0.0284285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.0161428571428571	0.000714285714285714	0.02	0.0408571428571429	0.00471428571428571	0.00557142857142857	0.00885714285714286	0.0225714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00228571428571429	0.0238571428571429	0.0151428571428571	0.0342857142857143	0.00471428571428571	0.011	0.00671428571428571	0.0135714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0157142857142857	0.013	0.00514285714285714	0.0158571428571429	0.0154285714285714	0.009	0.00942857142857143	0.0145714285714286
