"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.803285714285714	0.752428571428571	0.894714285714286	0.738	0.202285714285714	0.667285714285714	0.786285714285714	0.731857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.101428571428571	0.052	0.0391428571428571	0.0507142857142857	0.0785714285714286	0.130428571428571	0.0761428571428571	0.109
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.0145714285714286	0.00685714285714286	0.00257142857142857	0.00914285714285714	0.308142857142857	0.058	0.0257142857142857	0.0118571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0335714285714286	0.104714285714286	0.0125714285714286	0.079	0.0162857142857143	0.00928571428571429	0.0398571428571429	0.0582857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0122857142857143	0.00871428571428571	0.00957142857142857	0.0124285714285714	0.218857142857143	0.0657142857142857	0.0142857142857143	0.0111428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0221428571428571	0.0164285714285714	0.0248571428571429	0.018	0.0588571428571429	0.047	0.032	0.0154285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.006	0.0287142857142857	0.00757142857142857	0.035	0.0278571428571429	0.00785714285714286	0.009	0.0135714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.00228571428571429	0.00557142857142857	0.00328571428571429	0.00785714285714286	0.0328571428571429	0.00585714285714286	0.00671428571428571	0.00328571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00114285714285714	0.0102857142857143	0.00228571428571429	0.0227142857142857	0.008	0.00157142857142857	0.00157142857142857	0.0177142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.000142857142857143	0.00185714285714286	0.000285714285714286	0.00214285714285714	0.0331428571428571	0.000285714285714286	0.003	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00114285714285714	0.00142857142857143	0.00271428571428571	0.00371428571428571	0.00528571428571429	0.00571428571428571	0.00342857142857143	0.00885714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0.008	0	0.0178571428571429	0.000142857142857143	0.000142857142857143	0	0.00228571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.000142857142857143	0	0	0	0.00357142857142857	0	0	0.0148571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.00157142857142857	0.00228571428571429	0.000142857142857143	0.00257142857142857	0.000142857142857143	0.000285714285714286	0.001	0.000428571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0	0.000142857142857143	0	0.000285714285714286	0.00228571428571429	0	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.000142857142857143	0.000571428571428571	0.000142857142857143	0.000428571428571429	0.000714285714285714	0.000428571428571429	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0	0	0	0	0.00185714285714286	0	0	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0.000714285714285714	0.000142857142857143	0.000571428571428571	0.000285714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae"	0	0	0	0	0.000285714285714286	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae"	0	0	0	0	0.000142857142857143	0	0	0
