"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.803285714285714	0.752428571428571	0.894714285714286	0.738	0.202285714285714	0.667285714285714	0.786285714285714	0.731857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.101428571428571	0.052	0.0391428571428571	0.0507142857142857	0.0785714285714286	0.130428571428571	0.0761428571428571	0.109
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.0435714285714286	0.141857142857143	0.0237142857142857	0.124857142857143	0.0778571428571429	0.0237142857142857	0.0567142857142857	0.0757142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.0145714285714286	0.00685714285714286	0.00257142857142857	0.00914285714285714	0.308142857142857	0.058	0.0257142857142857	0.0118571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0122857142857143	0.00871428571428571	0.00957142857142857	0.0124285714285714	0.218857142857143	0.0657142857142857	0.0142857142857143	0.0111428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0234285714285714	0.0178571428571429	0.0277142857142857	0.0218571428571429	0.0648571428571429	0.0528571428571429	0.036	0.0245714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00114285714285714	0.0102857142857143	0.00228571428571429	0.0227142857142857	0.008	0.00157142857142857	0.00157142857142857	0.0177142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.000142857142857143	0.002	0.000285714285714286	0.00242857142857143	0.0354285714285714	0.000285714285714286	0.00328571428571429	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.008	0	0.0178571428571429	0.000142857142857143	0.000142857142857143	0	0.00228571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.000142857142857143	0	0	0	0.00357142857142857	0	0	0.0148571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0	0	0	0	0.00185714285714286	0	0	0.000285714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0.000285714285714286	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0	0.000142857142857143	0	0	0
