"Taxa"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.484857142857143	0.580142857142857	0.590285714285714	0.625	0.693428571428571	0.261285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.243571428571429	0.205428571428571	0.216285714285714	0.122	0.224714285714286	0.481714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.0921428571428571	0.141714285714286	0.101714285714286	0.181857142857143	0.0281428571428571	0.100714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.105571428571429	0.0271428571428571	0.008	0.00614285714285714	0.00857142857142857	0.0242857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0325714285714286	0.018	0.05	0.00871428571428571	0.0334285714285714	0.0302857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.035	0.00328571428571429	0.019	0.0494285714285714	0.000857142857142857	0.0618571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.00471428571428571	0.0237142857142857	0.0135714285714286	0.00142857142857143	0.00785714285714286	0.0324285714285714
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00157142857142857	0.000428571428571429	0.001	0.00542857142857143	0.003	0.00728571428571429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0.000142857142857143	0	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0	0.000142857142857143	0	0	0	0
