"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.0457142857142857	0.409142857142857	0.243714285714286	0.107857142857143	0.149714285714286	0.133857142857143	0.0855714285714286	0.336428571428571	0.123
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.0281428571428571	0.242714285714286	0.282285714285714	0.0592857142857143	0.222142857142857	0.129142857142857	0.113571428571429	0.086	0.364857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0	0.121428571428571	0.236714285714286	0.236428571428571	0.223571428571429	0.249571428571429	0.179142857142857	0.207	0.0518571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.000714285714285714	0.118142857142857	0.0578571428571429	0.0647142857142857	0.213714285714286	0.265428571428571	0.397857142857143	0.161285714285714	0.037
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.857571428571429	0.000428571428571429	0	0.0671428571428571	0.000142857142857143	0.000142857142857143	0	0	0.272571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.00285714285714286	0.000285714285714286	0.0534285714285714	0.171	0.0614285714285714	0.119857142857143	0.0567142857142857	0.0867142857142857	0.0705714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.000571428571428571	0.0441428571428571	0.0615714285714286	0.196714285714286	0.0558571428571429	0.0374285714285714	0.0341428571428571	0.0618571428571429	0.0431428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.000857142857142857	0.016	0.0254285714285714	0.021	0.0394285714285714	0.0242857142857143	0.0987142857142857	0.025	0.0175714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00214285714285714	0.028	0.0128571428571429	0.0452857142857143	0.0218571428571429	0.0181428571428571	0.011	0.0224285714285714	0.009
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.03	0.00971428571428571	0.0122857142857143	0.014	0	0	0	0.000285714285714286	0.000428571428571429
