"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.105428571428571	0.378285714285714	0.229857142857143	0.132857142857143	0.187571428571429	0.104142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.0797142857142857	0.0842857142857143	0.148714285714286	0.0431428571428571	0.314285714285714	0.392142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.115714285714286	0.124285714285714	0.254285714285714	0.148714285714286	0.257857142857143	0.104714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.533	0.111	0.057	0.0281428571428571	0.000142857142857143	0.0791428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.0348571428571429	0.0157142857142857	0.0545714285714286	0.480571428571429	0.021	0.0115714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0554285714285714	0.17	0.141428571428571	0.068	0.0997142857142857	0.0748571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0208571428571429	0.0592857142857143	0.100285714285714	0.0688571428571429	0.0735714285714286	0.0995714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0458571428571429	0.0461428571428571	0.001	0.00314285714285714	0.0281428571428571	0.00585714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00742857142857143	0.00757142857142857	0.00442857142857143	0.00385714285714286	0.0151428571428571	0.0751428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.000714285714285714	0.00271428571428571	0.00771428571428571	0.0202857142857143	0.00171428571428571	0.0115714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0	0.0391428571428571
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.000428571428571429	0.000571428571428571	0	0	0.000714285714285714	0.00171428571428571
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000571428571428571	0.000142857142857143	0.000571428571428571	0.00128571428571429	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0	0	0.000714285714285714	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0.000142857142857143	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales"	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales"	0	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales"	0	0	0	0.000142857142857143	0	0
