"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.306571428571429	0.0941428571428571	0.190714285714286	0.142857142857143	0.231285714285714	0.238714285714286	0.172857142857143	0.108714285714286	0.128285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.193857142857143	0.0545714285714286	0.251857142857143	0.309428571428571	0.0852857142857143	0.0554285714285714	0.181428571428571	0.156714285714286	0.0517142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.141	0.0645714285714286	0.08	0.0944285714285714	0.229857142857143	0.224142857142857	0.0864285714285714	0.209857142857143	0.0912857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.000428571428571429	0.416571428571429	0.0184285714285714	0.007	0.003	0.0295714285714286	0.097	0.00857142857142857	0.0857142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0.001	0.0975714285714286	0.110714285714286	0.0421428571428571	0.0165714285714286	0.127571428571429	0.00414285714285714	0.198142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.0201428571428571	0.023	0.0232857142857143	0.0267142857142857	0.0938571428571429	0.0985714285714286	0.0261428571428571	0.0572857142857143	0.0315714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0798571428571429	0.0162857142857143	0.0364285714285714	0.0392857142857143	0.0388571428571429	0.0382857142857143	0.0224285714285714	0.0522857142857143	0.0682857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.0552857142857143	0.00771428571428571	0.0134285714285714	0.0172857142857143	0.0358571428571429	0.0458571428571429	0.0151428571428571	0.0898571428571429	0.0761428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.000714285714285714	0.219428571428571	0.0107142857142857	0.00371428571428571	0.000857142857142857	0.0125714285714286	0.05	0.00557142857142857	0.0448571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0317142857142857	0.0151428571428571	0.0422857142857143	0.0347142857142857	0.0327142857142857	0.041	0.0364285714285714	0.0364285714285714	0.0364285714285714
