"","lambchop17","lambchop18","lambchop25","lambchop37","lambchop44","lambchop46","lambchop48","lambchop50","lambchop55","lambchop70"
"lambchop17",0,0.459734326921792,0.379306918908793,0.720744531794109,0.557027076936106,0.501629991158846,0.676951371686707,0.506259401363678,0.513305041012357,0.615531899101663
"lambchop18",0.459734326921792,0,0.593301344060925,0.804358815780676,0.649459799115562,0.669234153391461,0.779846393924607,0.659245076918888,0.650009104257905,0.712248644848229
"lambchop25",0.379306918908793,0.593301344060925,0,0.60700824109672,0.477103506958832,0.431930025155574,0.553199624939401,0.440196643993281,0.421577077094808,0.50456494783564
"lambchop37",0.720744531794109,0.804358815780676,0.60700824109672,0,0.479719653779507,0.533663476614115,0.241122668386071,0.556475995609341,0.564291698924278,0.509348350114075
"lambchop44",0.557027076936106,0.649459799115562,0.477103506958832,0.479719653779507,0,0.279409456766038,0.490345921682497,0.332884546170947,0.336901745073887,0.418801676472834
"lambchop46",0.501629991158846,0.669234153391461,0.431930025155574,0.533663476614115,0.279409456766038,0,0.504044636592125,0.171928829603332,0.265232910598277,0.346885584597272
"lambchop48",0.676951371686707,0.779846393924607,0.553199624939401,0.241122668386071,0.490345921682497,0.504044636592125,0,0.534302579267557,0.529193633253306,0.499084317408934
"lambchop50",0.506259401363678,0.659245076918888,0.440196643993281,0.556475995609341,0.332884546170947,0.171928829603332,0.534302579267557,0,0.277898886000881,0.344196958280334
"lambchop55",0.513305041012357,0.650009104257905,0.421577077094808,0.564291698924278,0.336901745073887,0.265232910598277,0.529193633253306,0.277898886000881,0,0.290953491234865
"lambchop70",0.615531899101663,0.712248644848229,0.50456494783564,0.509348350114075,0.418801676472834,0.346885584597272,0.499084317408934,0.344196958280334,0.290953491234865,0
