"ID"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"txid1329411"	0	0	163	0	0	0	0	0	34
"txid1769423"	0	0	1	0	0	0	0	0	1
"txid1437609"	0	0	134	0	0	0	0	0	72
"txid1630173"	0	0	2	0	0	0	0	0	0
"txid2650773"	0	0	5	0	0	0	0	0	4
"txid2306975"	0	0	0	0	0	0	0	0	1
"txid1630172"	0	0	92	0	0	0	0	0	22
"txid2650774"	0	0	38	0	0	0	0	0	6
"txid2834437"	0	0	2	0	0	0	0	0	2
"txid1630166"	0	0	1129	0	0	0	0	0	188
"txid2834431"	0	0	3	0	0	0	0	0	0
"txid2834436"	0	0	9	0	0	0	0	0	1
"txid2834432"	0	0	3	0	0	0	0	0	1
"txid78257"	0	0	3	0	0	0	0	0	3
"txid1437610"	0	0	410	0	0	0	0	0	72
"txid2045439"	0	0	20	0	0	0	0	0	10
"txid2834433"	0	0	5	0	0	0	0	0	1
"txid2306974"	0	0	13	0	0	0	0	0	1
"txid762211"	0	0	2	0	0	0	0	0	3
"txid33905"	0	0	1	0	0	0	0	0	0
"txid1630162"	0	0	11	0	0	0	0	0	5
"txid2562524"	0	0	7	0	0	0	0	0	3
"txid1622075"	0	0	0	0	0	0	0	0	1
"txid1852385"	0	0	1	0	0	0	0	0	0
"txid1805478"	0	0	1	0	0	0	0	0	3
"txid2003188"	1	1	27	1	4	3	3	4	8
"txid1871022"	0	0	2	2	1	0	0	1	1
"txid2779519"	0	0	1	0	0	0	0	0	0
"txid1871031"	0	1	21	2	2	1	0	1	5
"txid1852386"	0	0	1	0	0	0	0	0	0
"txid2603815"	0	0	6	0	0	0	0	0	1
"txid1907654"	0	0	10	0	0	0	0	0	6
"txid1720204"	0	0	4	0	0	0	0	1	1
"txid147207"	4	3	63	4	11	6	2	20	7
"txid1871016"	0	0	5	0	0	0	0	0	1
"txid1937461"	0	0	2	0	0	0	0	3	0
"txid147206"	0	1	32	3	1	5	1	4	1
"txid742742"	6	2	158	9	13	6	7	40	32
"txid1870987"	3	3	19	2	7	5	7	15	6
"txid1232426"	0	0	2	0	0	0	0	0	2
"txid883106"	0	0	0	0	0	0	0	0	1
"txid85831"	0	0	0	1	0	1	0	1	0
"txid1411144"	0	0	1	0	0	0	0	1	0
"txid1236513"	0	0	0	0	0	0	0	0	1
"txid338188"	0	3	0	0	0	0	0	0	11
"txid2792859"	0	1	0	0	0	0	0	0	8
"txid2650158"	0	0	0	0	0	0	0	0	1
"txid1841856"	11	11	99	75	20	23	27	44	95
"txid28116"	0	0	0	0	0	0	0	0	3
"txid291644"	0	0	0	1	0	0	0	0	0
"txid449673"	0	1	1	0	0	0	0	0	5
"txid820"	0	0	2	1	0	0	0	1	1
"txid657309"	0	0	0	0	0	0	0	0	1
"txid2650157"	0	0	1	0	0	0	0	0	1
"txid2725562"	0	0	2	1	0	0	0	1	1
"txid376804"	6	1	7	18	1	3	4	11	5
"txid470145"	0	0	0	0	1	0	0	1	0
"txid387090"	0	0	2	2	0	0	0	2	1
"txid357276"	3	1	6	18	4	5	4	12	14
"txid2786956"	0	0	2	1	0	0	1	1	1
"txid2739389"	0	0	0	1	0	0	0	0	0
"txid204516"	1	25	7	9	0	0	1	9	142
"txid1236498"	0	0	3	0	0	0	0	0	3
"txid484018"	87	83	8	8	1	0	0	7	155
"txid1236538"	39	64	76	369	40	73	144	135	72
"txid435590"	94	51	44	78	18	18	26	49	235
"txid487174"	0	0	8	1	1	2	2	1	3
"txid397865"	0	1	6	4	2	2	1	2	5
"txid1349822"	0	1	0	0	0	0	0	0	11
"txid2518971"	0	0	1	0	0	0	0	0	0
"txid2530391"	0	1	97	4	1	3	6	4	41
"txid2094151"	0	4	33	13	4	7	15	7	13
"txid2606626"	0	1	26	2	7	3	2	5	9
"txid454154"	0	0	0	0	0	0	0	2	3
"txid873513"	0	0	0	0	1	0	0	0	0
"txid537011"	248	444	1501	447	288	358	641	440	3369
"txid2518605"	0	0	14	0	0	0	0	0	30
"txid28136"	0	0	1	0	0	0	0	0	0
"txid1852370"	0	0	2	0	0	0	0	0	0
"txid2290935"	0	0	1	0	0	0	0	0	1
"txid871327"	0	0	8	0	0	0	0	1	5
"txid2685834"	0	0	0	0	0	0	0	0	1
"txid823"	51	66	580	208	38	62	71	134	251
"txid387661"	1	0	5	1	1	0	0	4	5
"txid46503"	32	88	271	185	29	58	90	72	102
"txid2753162"	0	0	2	0	0	0	0	0	1
"txid1944636"	0	0	0	0	0	0	0	0	1
"txid1179782"	0	0	0	0	0	1	0	0	0
"txid1179787"	0	0	0	0	0	0	0	1	0
"txid137732"	0	0	0	0	0	0	0	6	0
"txid1968889"	0	0	0	0	0	0	0	1	0
"txid1156431"	0	0	0	0	0	0	0	2	0
"txid1338"	0	0	0	0	0	0	0	3	0
"txid2382163"	0	0	0	0	1	0	0	1	0
"txid655813"	0	0	0	0	1	0	0	1	0
"txid1547447"	0	0	0	0	1	0	1	1	0
"txid760570"	0	0	0	1	0	0	0	1	0
"txid1305"	1	0	0	0	0	0	0	0	0
"txid2853160"	1	1	0	1	0	1	0	1	0
"txid2126740"	16	2	1	1	1	3	1	3	4
"txid759821"	1	0	0	0	0	0	0	0	0
"txid1347366"	0	4	0	0	0	1	0	1	0
"txid1502"	2	0	0	0	0	0	0	0	0
"txid2605778"	12	1	2	2	2	2	2	4	4
"txid2479838"	0	0	0	1	0	0	0	1	0
"txid2784388"	1	0	0	0	0	1	0	1	0
"txid1096246"	0	0	0	0	0	1	0	0	0
"txid154046"	1	0	0	0	0	0	0	1	0
"txid384636"	2	0	0	1	0	1	0	3	0
"txid35517"	0	0	0	0	1	0	0	1	0
"txid879566"	1	0	0	0	0	0	0	0	0
"txid105843"	0	0	0	0	1	0	0	0	0
"txid433286"	0	0	0	0	0	1	0	2	0
"txid1727145"	0	0	0	0	1	0	0	0	0
"txid259063"	2	1	0	1	3	0	0	3	0
"txid1745713"	1	0	0	0	0	0	0	1	0
"txid2606636"	34	10	3	3	15	12	15	27	1
"txid1912897"	2	0	0	0	2	0	0	6	0
"txid2696678"	0	0	1	0	0	0	0	0	1
"txid1796615"	4	0	2	2	1	2	0	0	1
"txid1532"	1	0	0	0	0	1	0	2	0
"txid536633"	169	44	16	102	22	87	38	62	15
"txid2025493"	2	0	0	1	1	0	0	3	0
"txid53443"	0	0	0	0	0	0	0	1	0
"txid1121114"	0	0	1	0	0	0	0	3	1
"txid1796616"	2	0	0	0	0	1	0	4	2
"txid180164"	2	1	2	2	0	0	0	0	0
"txid1121115"	1	0	0	0	0	0	0	0	0
"txid45851"	3	0	2	0	0	0	0	2	3
"txid831"	2	1	2	0	3	0	3	8	1
"txid43305"	3	0	0	0	2	0	0	4	0
"txid33043"	1	0	0	0	0	0	0	3	0
"txid1796618"	1	0	0	0	1	0	0	1	0
"txid2850323"	0	0	0	0	0	0	0	1	0
"txid2850322"	0	0	0	0	0	0	0	1	0
"txid1432052"	0	0	0	0	0	0	0	1	0
"txid208479"	19	17	3	52	16	24	53	31	3
"txid358743"	0	0	0	0	1	0	0	0	0
"txid460384"	1	0	0	0	1	0	0	0	0
"txid2788944"	1	0	0	0	0	0	0	0	0
"txid1544"	0	0	1	1	0	0	0	3	0
"txid1912855"	1	0	0	0	0	0	0	1	0
"txid1150298"	0	0	0	0	1	0	0	1	0
"txid1912090"	1	0	0	2	1	0	0	2	0
"txid1679721"	0	0	0	0	0	0	0	1	0
"txid2885351"	3	1	1	0	1	0	0	2	0
"txid2763671"	2	1	0	0	0	0	1	1	0
"txid2763668"	0	0	0	0	0	0	0	1	0
"txid1469948"	1	2	0	3	1	2	2	4	1
"txid29364"	3	1	4	0	2	1	0	3	2
"txid1926283"	4	1	0	0	0	0	0	1	0
"txid1917870"	0	0	0	0	1	0	0	0	0
"txid1852382"	11	3	0	10	2	8	10	9	0
"txid36832"	0	0	0	0	0	0	0	2	0
"txid253257"	3	0	0	0	0	0	0	1	0
"txid1286362"	20	9	0	6	1	3	2	4	0
"txid69825"	7	1	0	0	1	0	1	2	1
"txid84030"	3	0	1	0	0	0	0	2	1
"txid29370"	10	0	0	0	0	0	0	2	1
"txid168384"	4	3	3	3	2	3	0	3	3
"txid471875"	0	0	0	0	1	0	0	1	0
"txid1337051"	1	0	0	0	0	0	0	0	0
"txid796944"	29	19	8	36	33	24	20	40	7
"txid796943"	146	296	36	282	179	188	415	241	47
"txid237576"	207	198	101	191	141	155	229	228	97
"txid2606632"	6	2	1	3	8	5	1	14	2
"txid2763669"	2	0	0	2	1	0	0	4	0
"txid301302"	1	0	0	0	0	0	0	2	0
"txid585394"	0	0	0	0	0	0	0	1	0
"txid622312"	0	0	0	0	0	0	0	1	0
"txid2605790"	1	0	0	0	0	0	0	2	0
"txid1653434"	0	0	0	0	0	0	0	2	0
"txid2606635"	10	4	3	6	2	6	2	7	4
"txid2763667"	37	56	11	43	11	23	27	48	17
"txid1632013"	2	0	0	0	0	0	0	2	0
"txid384638"	0	0	0	0	1	1	0	1	0
"txid2654621"	497	1867	216	817	620	1136	1349	1109	286
"txid742816"	2201	2053	155	1113	1533	1870	1595	1307	127
"txid158847"	1740	503	121	380	1201	704	356	1029	98
"txid491921"	133	12	20	26	81	52	19	90	15
"txid156456"	0	0	0	1	0	0	0	2	0
"txid1852378"	2	0	0	3	4	0	1	3	0
"txid1852379"	4	0	2	1	9	2	2	10	1
"txid1122219"	0	0	2	0	1	1	0	0	0
"txid1064535"	176	343	208	801	870	758	729	444	86
"txid1675036"	0	0	0	1	1	0	0	1	0
"txid1588748"	1	0	0	0	0	0	0	0	0
"txid879612"	105	126	2	336	464	319	237	283	2
"txid1232428"	43	185	36	453	313	429	362	181	20
"txid187326"	5	7	6	20	34	25	18	21	7
"txid349095"	138	53	20	178	542	177	103	300	17
"txid2144175"	51	62	92	204	196	185	123	113	46
"txid349094"	2	0	0	0	2	2	0	2	0
"txid1111454"	2	0	5	0	4	4	1	3	3
"txid2045301"	27	4	0	30	117	27	16	72	0
"txid33033"	0	0	0	3	0	0	0	0	0
"txid1852365"	0	0	0	0	0	0	1	0	0
"txid850"	0	0	0	0	0	0	0	0	10
"txid852"	0	0	0	0	0	0	0	0	3
"txid861"	0	0	0	0	0	0	0	0	1
"txid856"	214	21	0	1	0	0	0	0	116
"txid1631957"	0	0	2	0	0	0	0	0	0
"txid1852381"	4	40	220	48	2	6	26	12	603
"txid2584944"	27	22	398	75	2	20	27	14	136
"txid1944635"	167	98	54	263	35	66	135	87	63
"txid40545"	0	0	2	1	0	0	0	0	1
"txid496"	1	0	0	0	0	0	0	0	0
"txid179995"	1	0	1	1	0	0	0	0	1
"txid762983"	61	67	4	13	4	9	18	42	12
"txid585054"	1	0	1	0	1	2	1	0	4
"txid1499973"	0	0	0	0	0	0	1	0	1
"txid621"	1	0	0	0	0	0	0	0	1
"txid622"	0	0	0	0	0	0	1	0	1
"txid623"	2	0	2	1	1	3	0	0	4
"txid584"	2	0	0	0	0	0	1	1	0
"txid714"	0	0	0	0	0	1	0	0	0
"txid738"	0	0	0	1	0	0	0	0	0
"txid1461579"	1	0	0	0	0	0	0	0	0
"txid296"	0	0	0	0	0	0	0	0	3
"txid2153"	0	0	1	0	0	0	0	0	0
