index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025514.1,1,1518,3,1508,99.3412,2.87813,30.7,43.7,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,2.87812911725955,0.426892534239857,0.148322926751225,3.8,CM-NTC-010-CTRL
1,NR_025518.1,1,1494,7,1453,97.2557,5.9257,37,42.4,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,5.92570281124498,1.35736265004218,0.229063571576078,8.86,CM-NTC-010-CTRL
2,NR_025567.1,1,1498,1,1476,98.5314,0.985314,39.6,30,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,0.985313751668892,0.120333822408504,0.122127415967438,1.27,CM-NTC-010-CTRL
3,NR_026331.1,1,1488,2,1488,100,1.97446,40,13.5,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,1.9744623655914,0.157804305981161,0.0799226709666328,2.53,CM-NTC-010-CTRL
4,NR_041277.1,1,1490,2,1489,99.9329,1.91208,36.9,60,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,1.91208053691275,0.28563380250011,0.149383771753304,2.53,CM-NTC-010-CTRL
5,NR_041342.1,1,1488,3,1488,100,2.94355,35.4,15.7,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,2.94354838709677,0.236623389497707,0.0803871241033305,3.8,CM-NTC-010-CTRL
6,NR_041590.1,1,1342,10,1306,97.3174,9.19821,35.1,12.6,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,9.19821162444113,1.76368109296644,0.191741739044148,12.66,CM-NTC-010-CTRL
7,NR_044473.1,1,1399,1,1395,99.7141,0.997141,37.1,19,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,0.997140814867763,0.0534139451999643,0.0535671034657706,1.27,CM-NTC-010-CTRL
8,NR_074515.1,1,1510,2,1493,98.8742,1.93775,38,11,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,1.93774834437086,0.284511072330939,0.146825604654722,2.53,CM-NTC-010-CTRL
9,NR_074902.1,1,1542,2,1508,97.7951,1.93061,38.5,1,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,1.93060959792477,0.329764263014584,0.170808361964558,2.53,CM-NTC-010-CTRL
