index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,7,1397,99.0078,6.81786,39.4,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,6.81785967399008,0.852276857181722,0.125006512004512,0.03,KOR-29-MGE-S168
1,NR_025514.1,1,1518,1755,1508,99.3412,1672.33,36,35,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,1672.33201581028,285.75883395377,0.170874462279139,6.5,KOR-29-MGE-S168
2,NR_025525.1,1,1475,8,1465,99.322,7.70915,38.3,57.6,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,7.70915254237288,1.1828221090141,0.153430886535555,0.03,KOR-29-MGE-S168
3,NR_025567.1,1,1498,45,1479,98.7316,43.0414,39,9.64,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,43.041388518024,7.79134344469991,0.181019797756692,0.17,KOR-29-MGE-S168
4,NR_025569.1,1,1494,1,1234,82.5971,0.825971,46.1,1,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.825970548862115,0.379261755748157,0.459171039779373,0,KOR-29-MGE-S168
5,NR_025796.1,1,1435,4,1342,93.5192,3.40209,33.6,1.25,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,3.40209059233449,1.04267175328228,0.306479714453108,0.01,KOR-29-MGE-S168
6,NR_025863.1,1,1411,1,1375,97.4486,0.974486,40.2,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.974486180014174,0.15773553250022,0.161865335532953,0,KOR-29-MGE-S168
7,NR_025904.1,1,1536,2,1471,95.7682,1.85938,37.5,1,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,1.859375,0.453452194291905,0.24387344903094,0.01,KOR-29-MGE-S168
8,NR_026100.1,1,1499,9,1450,96.7312,8.6451,39.6,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,8.6450967311541,1.651796663315,0.191067458778392,0.03,KOR-29-MGE-S168
9,NR_026331.1,1,1488,4861,1488,100,4737.91,39.9,7.93,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,4737.90994623656,595.659014048598,0.125721894423457,17.99,KOR-29-MGE-S168
