index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024570.1,1,1450,6,1421,98,5.60966,16.8,1,562,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,5.60965517241379,0.996565817337649,0.177651885313449,0.05,GIN-7-DRS-S87
1,NR_024898.1,1,1504,1,1384,92.0213,0.920213,17.5,12,85403,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia ruminalis,0.920212765957447,0.271053649882024,0.294555411432489,0.01,GIN-7-DRS-S87
2,NR_025073.1,1,1535,1,1432,93.2899,0.932899,22.3,1,123822,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,unclassified Pasteurellaceae genus,[Haemophilus] felis,0.932899022801303,0.2502783318275,0.268280195080455,0.01,GIN-7-DRS-S87
3,NR_025207.1,1,1469,1,1114,75.8339,0.758339,15.5,1,180311,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Hespellia,Hespellia stercorisuis,0.758339006126617,0.428235677026451,0.564702162972942,0.01,GIN-7-DRS-S87
4,NR_025230.1,1,1411,11,1411,100,10.3175,17.7,1.45,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,10.3175053153792,1.24164087803486,0.120343129475697,0.08,GIN-7-DRS-S87
5,NR_025514.1,1,1518,445,1508,99.3412,416.354,18.8,39.8,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,416.353754940711,71.5069317465293,0.17174561511211,3.4,GIN-7-DRS-S87
6,NR_025518.1,1,1494,1,1388,92.905,0.92905,21,0,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.92904953145917,0.256828055170681,0.276441725090055,0.01,GIN-7-DRS-S87
7,NR_025567.1,1,1498,3,1454,97.0628,2.81308,19.9,4.33,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,2.81308411214953,0.580041893427398,0.206194294341301,0.02,GIN-7-DRS-S87
8,NR_025569.1,1,1494,13,1472,98.5274,11.9866,17.4,3.23,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,11.9866131191432,1.91684678112415,0.159915629383487,0.1,GIN-7-DRS-S87
9,NR_025863.1,1,1411,6,1394,98.7952,5.70517,20.2,53.7,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,5.70517363571935,0.884601217386052,0.155052461830027,0.05,GIN-7-DRS-S87
10,NR_025903.1,1,1537,1,1420,92.3878,0.923878,15.6,1,1379,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella haemolysans,0.92387768379961,0.2652800321277,0.28713761223963,0.01,GIN-7-DRS-S87
