index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025514.1,1,1518,8,1479,97.4308,7.47431,18.9,44.4,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,7.47430830039526,1.37174088461548,0.183527468962303,0.66,MAR-36-MGE-S28
1,NR_025518.1,1,1494,941,1464,97.992,865.337,19.3,40.7,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,865.33734939759,188.965821508888,0.218372432023693,77.07,MAR-36-MGE-S28
2,NR_026075.1,1,1468,14,1420,96.7302,11.4584,17.6,6.43,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,11.458446866485,3.23878856509082,0.282655110490061,1.15,MAR-36-MGE-S28
3,NR_026331.1,1,1488,1,1440,96.7742,0.967742,19.2,9,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.967741935483871,0.176744095768017,0.182635565626951,0.08,MAR-36-MGE-S28
4,NR_026409.1,1,1495,1,1242,83.0769,0.830769,18.2,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.830769230769231,0.375081084838855,0.451486491009733,0.08,MAR-36-MGE-S28
5,NR_026476.1,1,1463,10,1431,97.8127,8.76418,16.8,14.6,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,8.76418318523582,1.94866456059102,0.222344115749857,0.82,MAR-36-MGE-S28
6,NR_028862.1,1,1537,3,1494,97.2023,2.85621,20.6,58.7,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,2.8562134027326,0.543200849376138,0.190182165259937,0.25,MAR-36-MGE-S28
7,NR_029097.1,1,1374,4,1320,96.0699,3.67904,19.8,2.25,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,3.67903930131004,0.87925692484983,0.238990903015562,0.33,MAR-36-MGE-S28
9,NR_041342.1,1,1488,9,1450,97.4462,8.41532,19.9,7.56,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,8.41532258064516,1.54626709426493,0.183744245030045,0.74,MAR-36-MGE-S28
10,NR_041343.1,1,1492,5,1451,97.252,4.70241,20,43.4,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,4.70241286863271,0.906001790606828,0.192667427534975,0.41,MAR-36-MGE-S28
11,NR_041461.1,1,1492,1,1206,80.8311,0.808311,16.5,9,387090,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,0.808310991957105,0.393761669005959,0.487141301954304,0.08,MAR-36-MGE-S28
