index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025514.1,1,1518,199,1406,92.6219,181.284,37.6,22.4,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,181.283926218709,52.3160028870228,0.288585998650021,0.84,HAM-4-DRS-L132
1,NR_025518.1,1,1494,6,1352,90.4953,5.30991,38.5,26.8,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,5.309906291834,1.76547096662976,0.332486275576058,0.03,HAM-4-DRS-L132
2,NR_025567.1,1,1498,10,1390,92.7904,9.16889,39.6,12.4,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,9.16889185580774,2.61926860842359,0.285669048082893,0.04,HAM-4-DRS-L132
3,NR_025981.1,1,1477,6,1345,91.063,5.37373,37.9,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,5.37373053486798,1.73081836478938,0.322088789819065,0.03,HAM-4-DRS-L132
4,NR_026100.1,1,1499,4,1365,91.0607,3.59973,41.1,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,3.59973315543696,1.15137344503048,0.319849665326294,0.02,HAM-4-DRS-L132
5,NR_026312.1,1,1482,1,1167,78.7449,0.787449,35.2,1,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.787449392712551,0.409250363506272,0.519716399928274,0,HAM-4-DRS-L132
6,NR_026331.1,1,1488,2,1389,93.3468,1.7379,42.4,5,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,1.73790322580645,0.571564623120167,0.328881732096987,0.01,HAM-4-DRS-L132
7,NR_026409.1,1,1495,5,1384,92.5753,4.60401,40,1.8,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,4.60401337792642,1.32010909850263,0.286730074424151,0.02,HAM-4-DRS-L132
8,NR_026493.1,1,1488,6,1381,92.8091,5.48454,36.4,1.83,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,5.48454301075269,1.57050069101407,0.286350328174113,0.03,HAM-4-DRS-L132
9,NR_026494.1,1,1499,4,1378,91.928,3.62508,38.3,6,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,3.62508338892595,1.10385199582606,0.304503890641013,0.02,HAM-4-DRS-L132
10,NR_028726.1,1,1502,2,1360,90.5459,1.79361,36.8,0.5,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,1.79360852197071,0.594230893091574,0.331304677588546,0.01,HAM-4-DRS-L132
11,NR_028862.1,1,1537,18,1431,93.1034,16.6174,38.3,59.4,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,16.6174365647365,4.54413059359047,0.273455570351535,0.08,HAM-4-DRS-L132
12,NR_029097.1,1,1374,488,1283,93.377,446.218,38.4,1.08,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,446.217612809316,122.869656995431,0.275358151422717,2.06,HAM-4-DRS-L132
13,NR_029137.1,1,1514,21,1379,91.0832,18.7933,38.2,7.24,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,18.7932628797886,5.98369072675049,0.318395521045241,0.09,HAM-4-DRS-L132
14,NR_029207.1,1,1426,28,1418,99.439,27.4439,38.4,4.14,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,27.4438990182328,2.80125434578789,0.102072024967255,0.12,HAM-4-DRS-L132
15,NR_029356.1,1,1550,21,1383,89.2258,18.2413,39.8,47.8,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,18.2412903225806,6.48401507783587,0.355458137180646,0.09,HAM-4-DRS-L132
