index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024946.1,1,1458,8,1384,94.9246,7.38546,39.2,17.4,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,7.38545953360768,1.77865243657249,0.240831654209016,0.04,GIN-66-DRS-L155
1,NR_025230.1,1,1411,19,1352,95.8186,17.2119,40.1,2.68,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,17.2119064493267,4.2256931087572,0.245509881267249,0.09,GIN-66-DRS-L155
2,NR_025514.1,1,1518,289,1406,92.6219,262.228,38.4,25.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,262.227931488801,75.8482470630306,0.289245492013004,1.4,GIN-66-DRS-L155
3,NR_025518.1,1,1494,3,1353,90.5622,2.70147,40.5,27.3,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,2.70147255689424,0.883296192497396,0.326968412188085,0.01,GIN-66-DRS-L155
4,NR_025567.1,1,1498,6,1390,92.7904,5.49132,38.7,15.2,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,5.4913217623498,1.57900114349632,0.28754482287351,0.03,GIN-66-DRS-L155
5,NR_025569.1,1,1494,1,1357,90.83,0.9083,38.8,1,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.908299866131191,0.288698817351178,0.317845271276831,0,GIN-66-DRS-L155
6,NR_025981.1,1,1477,4,1344,90.9953,3.51726,37.6,4,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,3.51726472579553,1.19812685486996,0.34064164863194,0.02,GIN-66-DRS-L155
7,NR_026312.1,1,1482,3,1144,77.193,2.26046,41.5,13.3,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,2.26045883940621,1.24983804163182,0.552913426178614,0.01,GIN-66-DRS-L155
8,NR_026331.1,1,1488,11,1389,93.3468,10.1593,39.8,5.36,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,10.1592741935484,2.73477346199875,0.269189846626588,0.05,GIN-66-DRS-L155
9,NR_026332.1,1,1487,2,1383,93.0061,1.82717,38.1,5.5,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,1.82716879623403,0.532005512975099,0.291163856383501,0.01,GIN-66-DRS-L155
10,NR_026409.1,1,1495,2,1382,92.4415,1.84147,41,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,1.84147157190635,0.533627405461253,0.289783135185097,0.01,GIN-66-DRS-L155
11,NR_026476.1,1,1463,1,1320,90.2256,0.902256,39.9,14,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,0.902255639097744,0.297070231705649,0.329252840140428,0,GIN-66-DRS-L155
12,NR_026493.1,1,1488,4,1380,92.7419,3.64315,37.3,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,3.64314516129032,1.06086148413952,0.291193855082016,0.02,GIN-66-DRS-L155
13,NR_026494.1,1,1499,2,1362,90.8606,1.8012,41.9,1,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,1.80120080053369,0.585059785243444,0.324816525214786,0.01,GIN-66-DRS-L155
14,NR_028726.1,1,1502,1,1353,90.0799,0.900799,26.8,0,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.900798934753662,0.299031349003867,0.331962369699784,0,GIN-66-DRS-L155
