index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,3,1389,93.2215,2.7604,38.9,2.67,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,2.76040268456376,0.772888383218568,0.279991172136073,0.01,IVY-36-MGE-L188
2,NR_025230.1,1,1411,19,1355,96.0312,17.7498,40,1.63,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,17.7498228206945,4.05325256449237,0.228354536574116,0.08,IVY-36-MGE-L188
3,NR_025300.1,1,1495,2,1394,93.2441,1.81672,39.5,1,77768,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella albensis,1.81672240802676,0.533848859652897,0.293852741230147,0.01,IVY-36-MGE-L188
4,NR_025452.1,1,1380,1,1319,95.5797,0.955797,39.3,1,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,0.955797101449275,0.205620134545558,0.215129481177309,0,IVY-36-MGE-L188
5,NR_025514.1,1,1518,417,1406,92.6219,378.271,38,23.8,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,378.270750988142,109.331424560386,0.289029549006323,1.8,IVY-36-MGE-L188
6,NR_025518.1,1,1494,129,1362,91.1647,114.978,39,26,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,114.977911646586,37.3507861556662,0.324851839981868,0.56,IVY-36-MGE-L188
7,NR_025525.1,1,1475,1,1307,88.6102,0.886102,42,60,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.886101694915254,0.317795455693232,0.358644450763212,0,IVY-36-MGE-L188
8,NR_025567.1,1,1498,9,1388,92.6569,8.21829,39.3,10.7,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,8.21829105473965,2.37325597113807,0.288777308485487,0.04,IVY-36-MGE-L188
9,NR_025569.1,1,1494,1,1146,76.7068,0.767068,36.8,1,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.76706827309237,0.422840646518743,0.551242518236477,0,IVY-36-MGE-L188
10,NR_025981.1,1,1477,1,1333,90.2505,0.902505,37.7,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.902505077860528,0.296730982354105,0.328785942188307,0,IVY-36-MGE-L188
11,NR_026075.1,1,1468,11,1337,91.0763,9.10763,39.5,2.55,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,9.10762942779292,3.44861931121033,0.378651694005742,0.05,IVY-36-MGE-L188
12,NR_026312.1,1,1482,4,1142,77.058,2.99258,39,19.5,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,2.99257759784076,1.67415076753006,0.559434371472279,0.02,IVY-36-MGE-L188
13,NR_026314.1,1,1458,3,1143,78.3951,2.32853,41.6,1,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,2.32853223593964,1.23704905442931,0.531257001872736,0.01,IVY-36-MGE-L188
14,NR_026331.1,1,1488,1,1377,92.5403,0.925403,39.5,1,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.925403225806452,0.26282792699691,0.28401449191823,0,IVY-36-MGE-L188
15,NR_026409.1,1,1495,1,1377,92.107,0.92107,38.1,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.921070234113712,0.269719334049773,0.292832537693835,0,IVY-36-MGE-L188
16,NR_026476.1,1,1463,6,1350,92.2761,5.42857,38,1.67,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,5.42857142857143,1.62198593762843,0.298786883247342,0.03,IVY-36-MGE-L188
17,NR_026539.1,1,1423,1,1343,94.3781,0.943781,41.3,46,61592,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium durum,0.94378074490513,0.23042561304064,0.244151636155496,0,IVY-36-MGE-L188
18,NR_027521.1,1,1492,1,1305,87.4665,0.874665,33.3,14,74706,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus coagulans,0.874664879356568,0.331209531083678,0.378670207185323,0,IVY-36-MGE-L188
19,NR_027549.1,1,1473,1,1374,93.279,0.93279,44,1,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,0.932790224032587,0.250469982389664,0.268516946186299,0,IVY-36-MGE-L188
20,NR_028862.1,1,1537,12,1431,93.1034,10.7274,39.6,54,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,10.7273910214704,3.04403198963212,0.283762564778298,0.05,IVY-36-MGE-L188
21,NR_029097.1,1,1374,145,1282,93.3042,132.234,38.4,1.23,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,132.233624454148,36.7636692332496,0.278020582019192,0.63,IVY-36-MGE-L188
22,NR_029137.1,1,1514,5,1383,91.3474,4.52048,40.9,10.8,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,4.52047556142668,1.4244269861922,0.315105560650933,0.02,IVY-36-MGE-L188
23,NR_029207.1,1,1426,12,1418,99.439,11.4418,37.6,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,11.4417952314165,1.41809583330125,0.123939976605025,0.05,IVY-36-MGE-L188
24,NR_029356.1,1,1550,8,1378,88.9032,7.05226,40.1,49.1,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,7.05225806451613,2.50561243436712,0.355292221504806,0.03,IVY-36-MGE-L188
25,NR_036800.1,1,1481,1,1341,90.5469,0.905469,31.4,33,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,0.905469277515193,0.292664482341828,0.32321856700093,0,IVY-36-MGE-L188
26,NR_036821.1,1,1437,1,1344,93.5282,0.935282,37.9,0,997349,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella profusa,0.935281837160752,0.246113538544953,0.263143716435341,0,IVY-36-MGE-L188
27,NR_036853.1,1,1514,2,1368,90.3567,1.79657,40.7,12,1683,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,1.79656538969617,0.595944733675685,0.331713355435657,0.01,IVY-36-MGE-L188
28,NR_036856.1,1,1517,2,1378,90.8372,1.79169,38.1,3,78448,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,1.79169413315755,0.590254711172951,0.329439439606095,0.01,IVY-36-MGE-L188
29,NR_036928.1,1,1431,3,1148,80.2236,2.38015,39.7,4.33,154046,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella hathewayi,2.38015373864431,1.19883287245061,0.503678755277987,0.01,IVY-36-MGE-L188
