index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
1,NR_025230.1,1,1411,6,1353,95.8894,5.49894,40.9,2.5,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,5.49893692416726,1.35341658690913,0.24612331539229,0.04,KUB-58-MGE-L206
2,NR_025452.1,1,1380,4,1356,98.2609,3.52536,40.3,1,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,3.52536231884058,0.927429220628322,0.263073447989123,0.02,KUB-58-MGE-L206
3,NR_025514.1,1,1518,147,1406,92.6219,133.405,38,21.9,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,133.405138339921,38.5084452544323,0.288657886297539,0.9,KUB-58-MGE-L206
4,NR_025518.1,1,1494,1,1345,90.0268,0.900268,39.4,42,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.900267737617135,0.299743016640506,0.332948748595477,0.01,KUB-58-MGE-L206
5,NR_025525.1,1,1475,1,1342,90.9831,0.909831,38.8,41,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.909830508474576,0.286521572813159,0.314917526005521,0.01,KUB-58-MGE-L206
6,NR_025567.1,1,1498,8,1391,92.8571,7.30908,38.7,12.2,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,7.30907877169559,2.10383378279779,0.287838433339217,0.05,KUB-58-MGE-L206
7,NR_025796.1,1,1435,1,1271,88.5714,0.885714,36.1,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.885714285714286,0.318268877996163,0.359335829995668,0.01,KUB-58-MGE-L206
8,NR_026100.1,1,1499,2,1364,90.994,1.80921,40,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,1.80920613742495,0.578562831623214,0.31978823178584,0.01,KUB-58-MGE-L206
9,NR_026312.1,1,1482,3,1283,86.5722,2.57152,36.3,0.667,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,2.57152496626181,1.02596880437951,0.398972912120293,0.02,KUB-58-MGE-L206
10,NR_026314.1,1,1458,3,1347,92.3868,2.48285,39.3,1,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,2.48285322359396,0.993482995827916,0.400137626496437,0.02,KUB-58-MGE-L206
11,NR_026331.1,1,1488,17,1389,93.3468,15.7278,40.6,0.882,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,15.7278225806452,4.23746762897744,0.269424938337753,0.1,KUB-58-MGE-L206
