index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,5,1400,99.2204,4.79518,20.6,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,4.79518072289157,0.688202112876106,0.143519536102304,0.03,MAR-24-DRS-S91
1,NR_025514.1,1,1518,189,1494,98.419,176.156,18.9,36.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,176.156126482213,30.2221177201115,0.171564386227368,1.22,MAR-24-DRS-S91
2,NR_025518.1,1,1494,9184,1489,99.6653,8429.87,18.8,39.7,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,8429.87014725569,1841.4276554675,0.218440809087311,59.31,MAR-24-DRS-S91
3,NR_025525.1,1,1475,1,1240,84.0678,0.840678,16.6,1,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.840677966101695,0.366100246922074,0.435482148556499,0.01,MAR-24-DRS-S91
4,NR_025796.1,1,1435,3,1347,93.8676,2.7115,17.9,2,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.71149825783972,0.77105964090761,0.284366637034803,0.02,MAR-24-DRS-S91
5,NR_025903.1,1,1537,1,1455,94.6649,0.946649,21.5,25,1379,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella haemolysans,0.946649316851009,0.224804955944718,0.237474376142289,0.01,MAR-24-DRS-S91
6,NR_025981.1,1,1477,6,1446,97.9012,5.38186,18.5,3.5,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,5.38185511171293,1.31765006935849,0.244831947722039,0.04,MAR-24-DRS-S91
7,NR_026075.1,1,1468,91,1440,98.0926,74.2377,17.2,6.49,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,74.2377384196185,24.1778519956683,0.325681419051404,0.59,MAR-24-DRS-S91
8,NR_026100.1,1,1499,41,1454,96.998,38.1608,19.2,2.34,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,38.1607738492328,7.49001353393579,0.19627520038057,0.26,MAR-24-DRS-S91
9,NR_026312.1,1,1482,1,1006,67.8812,0.678812,19.4,51,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.678812415654521,0.467090286222942,0.688099208928827,0.01,MAR-24-DRS-S91
10,NR_026409.1,1,1495,12,1465,97.9933,11.4355,20.3,0.917,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,11.4354515050167,1.99455770080573,0.174418797537703,0.08,MAR-24-DRS-S91
11,NR_026476.1,1,1463,68,1447,98.9064,61.4757,17.2,4.96,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,61.4757347915243,11.4083179564062,0.185574324489067,0.44,MAR-24-DRS-S91
12,NR_026493.1,1,1488,18,1454,97.7151,17.0766,19.5,3.44,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,17.0766129032258,2.82762647917611,0.165584738331919,0.12,MAR-24-DRS-S91
13,NR_028664.1,1,1520,1,1381,90.8553,0.908553,17.2,0,28037,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,0.908552631578947,0.288339113255038,0.317360935660867,0.01,MAR-24-DRS-S91
14,NR_028740.1,1,1533,1,1194,77.8865,0.778865,19.3,1,100134,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna xylanovorans,0.778864970645793,0.415146664015141,0.533014937969189,0.01,MAR-24-DRS-S91
15,NR_028862.1,1,1537,43,1516,98.6337,40.1074,18.2,59.3,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,40.1073519843852,7.07959246757084,0.176516077908287,0.28,MAR-24-DRS-S91
16,NR_029097.1,1,1374,277,1326,96.5066,253.327,19.1,1.95,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,253.326783114993,56.2094607458149,0.221885187403575,1.79,MAR-24-DRS-S91
17,NR_029207.1,1,1426,2,1390,97.4755,1.84853,16.3,7,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,1.84852734922861,0.423255476277464,0.22896900954919,0.01,MAR-24-DRS-S91
18,NR_036777.1,1,1418,1,1361,95.9803,0.959803,19.5,3,33039,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques,0.959802538787024,0.196491356061682,0.204720604625617,0.01,MAR-24-DRS-S91
19,NR_036800.1,1,1481,1,1376,92.9102,0.929102,15.8,1,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,0.929101958136394,0.256741148435963,0.276332587815161,0.01,MAR-24-DRS-S91
