index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,1,1337,94.7555,0.947555,28.9,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.947554925584692,0.223001867646772,0.235344528982495,0,GRO-36-MGE-S13
1,NR_025514.1,1,1518,127,1510,99.473,120.242,32.2,38.9,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,120.241765480896,20.757034881668,0.172627495934147,0.29,GRO-36-MGE-S13
2,NR_025518.1,1,1494,37284,1494,100,34785.5,33.3,48.5,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,34785.5388219545,7493.50886492254,0.215420232622445,85.34,GRO-36-MGE-S13
3,NR_025796.1,1,1435,3,1343,93.5889,2.71777,33.3,6.33,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.71777003484321,0.780112311815213,0.287041324988418,0.01,GRO-36-MGE-S13
4,NR_026075.1,1,1468,87,1441,98.1608,70.8576,32.5,2.9,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,70.8576294277929,24.249234797032,0.342224753958825,0.2,GRO-36-MGE-S13
5,NR_026100.1,1,1499,9,1448,96.5977,8.56571,32.7,2.56,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,8.5657104736491,1.67329562138487,0.195348141468529,0.02,GRO-36-MGE-S13
6,NR_026312.1,1,1482,1,1087,73.3468,0.733468,27.9,41,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.733468286099865,0.442294652650583,0.603018100485891,0,GRO-36-MGE-S13
8,NR_026331.1,1,1488,3,1464,98.3871,2.90255,35.2,3.33,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,2.90255376344086,0.434607704980708,0.149732869879901,0.01,GRO-36-MGE-S13
9,NR_026409.1,1,1495,7,1453,97.1906,6.70368,33,3,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,6.70367892976589,1.19675200943185,0.17852167771908,0.02,GRO-36-MGE-S13
10,NR_026476.1,1,1463,120,1454,99.3848,104.779,31.5,1.86,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,104.778537252221,25.0809121025228,0.239370702820066,0.27,GRO-36-MGE-S13
11,NR_026493.1,1,1488,3,1453,97.6478,2.85887,32.2,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,2.85887096774194,0.516286793632139,0.180591149253555,0.01,GRO-36-MGE-S13
12,NR_028862.1,1,1537,19,1513,98.4385,18.2186,32.9,59.6,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,18.2186076772934,2.96645172227563,0.162825380227757,0.04,GRO-36-MGE-S13
13,NR_029097.1,1,1374,252,1322,96.2154,234.081,32.5,1.4,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,234.080786026201,52.2168989840723,0.22307212766377,0.58,GRO-36-MGE-S13
