index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025452.1,1,1380,3,1166,84.4928,2.39928,37.3,1,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,2.39927536231884,1.12167622783435,0.46750625019976,0.03,KUB-58-DRS-L205
1,NR_025514.1,1,1518,62,1406,92.6219,55.5323,37.8,20.8,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,55.532279314888,16.0602425196947,0.289205534471715,0.56,KUB-58-DRS-L205
2,NR_025518.1,1,1494,8,1356,90.7631,6.9913,36.4,20.2,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,6.99129852744311,2.31493691943481,0.331116874833471,0.07,KUB-58-DRS-L205
3,NR_025567.1,1,1498,5,1386,92.5234,4.57276,38.4,22.2,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,4.57276368491322,1.32510035625152,0.289781070607997,0.04,KUB-58-DRS-L205
4,NR_025981.1,1,1477,1,1240,83.954,0.83954,38.7,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.839539607312119,0.367156811101644,0.437331137094458,0.01,KUB-58-DRS-L205
5,NR_026100.1,1,1499,4,1365,91.0607,3.52902,36.5,9.75,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,3.52901934623082,1.16223613323563,0.329336855145597,0.04,KUB-58-DRS-L205
6,NR_026312.1,1,1482,1,1136,76.6532,0.766532,37.2,1,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.766531713900135,0.423180438262992,0.552071663297319,0.01,KUB-58-DRS-L205
7,NR_026314.1,1,1458,6,1341,91.9753,4.79698,40.3,4.67,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,4.79698216735254,2.20872213752825,0.460439930871632,0.05,KUB-58-DRS-L205
8,NR_026331.1,1,1488,10,1389,93.3468,9.00806,40.8,5,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,9.00806451612903,2.48491118724146,0.275854061967718,0.09,KUB-58-DRS-L205
9,NR_026332.1,1,1487,34,1388,93.3423,30.9583,40.4,44.8,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,30.9583053127102,8.33385702421105,0.269196163679849,0.31,KUB-58-DRS-L205
10,NR_026493.1,1,1488,3,1380,92.7419,2.74328,38.7,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,2.74327956989247,0.793353694471698,0.289198994947057,0.03,KUB-58-DRS-L205
11,NR_026494.1,1,1499,1,1146,76.451,0.76451,36.9,13,84030,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,0.76450967311541,0.424446482093297,0.555187850486781,0.01,KUB-58-DRS-L205
12,NR_027521.1,1,1492,1,1340,89.8123,0.898123,34,1,74706,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus coagulans,0.898123324396783,0.302587483742215,0.336910840107004,0.01,KUB-58-DRS-L205
13,NR_028862.1,1,1537,15,1431,93.1034,13.1659,40,57.2,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,13.1659076122316,3.88059857312371,0.294745997573194,0.13,KUB-58-DRS-L205
14,NR_029097.1,1,1374,100,1282,93.3042,90.7751,38.1,1,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,90.7751091703057,25.0008522612724,0.275415281675592,0.9,KUB-58-DRS-L205
15,NR_029137.1,1,1514,191,1388,91.6777,170.832,38.8,9.76,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,170.832232496698,54.2245788225468,0.317414214109712,1.72,KUB-58-DRS-L205
