index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,1,1381,92.6846,0.926846,39.5,1,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,0.926845637583893,0.260477134260498,0.281036154995034,0.01,LAM-2-MGE-L219
1,NR_025230.1,1,1411,1,1336,94.6846,0.946846,41.7,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.946846208362863,0.224419607029558,0.237018013112804,0.01,LAM-2-MGE-L219
2,NR_025300.1,1,1495,1,1337,89.4314,0.894314,33,1,77768,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella albensis,0.894314381270903,0.307537692905165,0.343880965514751,0.01,LAM-2-MGE-L219
3,NR_025379.1,1,1401,1,1373,98.0014,0.980014,38.7,4,111015,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces radicidentis,0.980014275517488,0.140001019676107,0.142856102378897,0.01,LAM-2-MGE-L219
4,NR_025514.1,1,1518,188,1406,92.6219,170.653,38.3,24.7,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,170.652832674572,49.2758506240745,0.288749092832474,1.12,LAM-2-MGE-L219
5,NR_025518.1,1,1494,35,1361,91.0977,30.9284,39.1,22.7,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,30.9283801874163,10.1007429342208,0.326584931800935,0.21,LAM-2-MGE-L219
6,NR_025567.1,1,1498,2,1379,92.0561,1.82844,37.6,11,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,1.82843791722296,0.548824300400065,0.300160205184117,0.01,LAM-2-MGE-L219
7,NR_025569.1,1,1494,4,1378,92.2356,3.4585,40,11.5,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,3.45850066934404,1.14721102197224,0.331707618894237,0.02,LAM-2-MGE-L219
8,NR_025981.1,1,1477,3,1349,91.3338,2.65403,36.1,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,2.65402843601896,0.871954059947931,0.32853983330181,0.02,LAM-2-MGE-L219
9,NR_026075.1,1,1468,1,1129,76.9074,0.769074,37.7,1,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,0.769073569482289,0.421569065754864,0.548151805605084,0.01,LAM-2-MGE-L219
10,NR_026312.1,1,1482,1,1085,73.2119,0.732119,38.7,21,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.732118758434548,0.443004860713907,0.60509972680001,0.01,LAM-2-MGE-L219
11,NR_026314.1,1,1458,1,1125,77.1605,0.771605,42.4,1,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.771604938271605,0.419942510400514,0.544245493479066,0.01,LAM-2-MGE-L219
12,NR_026331.1,1,1488,544,1389,93.3468,501.61,40.5,12.2,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,501.609543010753,134.337393912319,0.26781267578364,3.24,LAM-2-MGE-L219
13,NR_026332.1,1,1487,6,1388,93.3423,5.46806,38.3,3.33,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,5.46805648957633,1.52419532490499,0.278745350895797,0.04,LAM-2-MGE-L219
14,NR_026476.1,1,1463,14,1353,92.4812,11.8988,39.9,9.43,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,11.8988380041012,4.15212009075137,0.348951728674705,0.08,LAM-2-MGE-L219
15,NR_027549.1,1,1473,9,1371,93.0754,7.83232,39.4,9.44,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,7.83231500339443,2.45829090255304,0.313865172875151,0.05,LAM-2-MGE-L219
16,NR_028769.1,1,1461,1,1350,92.4025,0.924025,40.7,37,109328,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia trevisanii,0.924024640657084,0.265049407532856,0.286842358818891,0.01,LAM-2-MGE-L219
17,NR_028862.1,1,1537,50,1431,93.1034,45.5016,38.8,59.4,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,45.501626545218,12.5187423534892,0.27512735926151,0.3,LAM-2-MGE-L219
18,NR_029097.1,1,1374,120,1282,93.3042,110.155,37.9,1.07,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,110.155021834061,30.6201260562544,0.277973037873669,0.72,LAM-2-MGE-L219
19,NR_029137.1,1,1514,18,1379,91.0832,16.0284,39.5,9,78257,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,16.0284015852048,5.1940391588594,0.324052222627977,0.11,LAM-2-MGE-L219
20,NR_029207.1,1,1426,153,1418,99.439,148.53,38.9,2.1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,148.5301542777,15.6429728265881,0.105318498473658,0.91,LAM-2-MGE-L219
21,NR_036856.1,1,1517,3,1378,90.8372,2.6915,34.3,7.33,78448,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,2.6914963744232,0.87535153256319,0.325228575777213,0.02,LAM-2-MGE-L219
22,NR_036869.2,1,1507,1,1365,90.5773,0.905773,34.6,1,84037,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Syntrophococcus,Syntrophococcus sucromutans,0.905773059057731,0.292241161835191,0.322642806509621,0.01,LAM-2-MGE-L219
23,NR_040866.1,1,1425,1,1090,76.4912,0.764912,40.2,0,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,0.764912280701754,0.424202501955245,0.554576665400206,0.01,LAM-2-MGE-L219
24,NR_040867.1,1,1529,4,1393,91.1053,3.61871,40.8,60,302911,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,3.61870503597122,1.1425564462929,0.315736274422889,0.02,LAM-2-MGE-L219
25,NR_040877.1,1,1494,20,1401,93.7751,15.7242,37.6,0.8,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,15.7242302543507,5.38835929114766,0.342678732375898,0.12,LAM-2-MGE-L219
