index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,15,1454,97.5839,13.7826,18.7,6.47,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,13.7825503355705,2.69685615399282,0.195671779774509,0.15,FRA-49-MGE-S125
1,NR_025230.1,1,1411,45,1411,100,42.1807,19.1,2.69,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,42.1807228915663,5.33188692682632,0.126405774043583,0.45,FRA-49-MGE-S125
2,NR_025514.1,1,1518,438,1508,99.3412,411.54,19.6,37,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,411.540184453228,70.6244445028567,0.171610081277211,4.4,FRA-49-MGE-S125
3,NR_025518.1,1,1494,334,1463,97.925,309.339,19.6,42.7,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,309.338688085676,67.6017683071304,0.218536416267489,3.35,FRA-49-MGE-S125
4,NR_025525.1,1,1475,4,1448,98.1695,3.68881,18.5,43.2,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,3.68881355932203,0.718133711054607,0.194678776659722,0.04,FRA-49-MGE-S125
5,NR_025567.1,1,1498,45,1462,97.5968,42.3004,19.8,7.98,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,42.3004005340454,7.75694658228011,0.183377615444491,0.45,FRA-49-MGE-S125
6,NR_025796.1,1,1435,7,1400,97.561,6.24739,19.7,1.43,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,6.24738675958188,1.6178005844559,0.258956367952506,0.07,FRA-49-MGE-S125
7,NR_025981.1,1,1477,5,1406,95.193,4.35139,19,3.8,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,4.35138794854435,1.27585182095793,0.293205716439218,0.05,FRA-49-MGE-S125
8,NR_026100.1,1,1499,12,1448,96.5977,11.2562,21,1.75,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,11.2561707805203,2.23302533566454,0.198382325499979,0.12,FRA-49-MGE-S125
9,NR_026106.1,1,1489,1,1298,87.1726,0.871726,15.4,17,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.871725990597717,0.33450700384458,0.383729529063621,0.01,FRA-49-MGE-S125
10,NR_026312.1,1,1482,1,1334,90.0135,0.900135,18.7,1,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.900134952766532,0.299921183670329,0.333195797750695,0.01,FRA-49-MGE-S125
11,NR_026314.1,1,1458,2,1448,99.3141,1.9177,17.2,6.5,53443,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,1.91769547325103,0.298846394194997,0.155836209848464,0.02,FRA-49-MGE-S125
12,NR_026409.1,1,1495,6,1452,97.1237,5.67358,20.6,0.833,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,5.67357859531773,1.06944491179028,0.18849565469541,0.06,FRA-49-MGE-S125
13,NR_026476.1,1,1463,1,1351,92.3445,0.923445,14.9,1,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,0.923444976076555,0.265975011581198,0.28802475347394,0.01,FRA-49-MGE-S125
14,NR_026493.1,1,1488,7,1462,98.2527,6.57124,18.7,2.86,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,6.57123655913979,1.12871933926314,0.171766657478375,0.07,FRA-49-MGE-S125
15,NR_027579.1,1,1402,1,1073,76.5335,0.765335,14.2,1,471875,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,0.765335235378031,0.423940331915394,0.553927628467271,0.01,FRA-49-MGE-S125
16,NR_028812.1,1,1408,1,1175,83.4517,0.834517,15.7,1,156456,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus,0.834517045454545,0.371747894710493,0.445464711278616,0.01,FRA-49-MGE-S125
18,NR_028862.1,1,1537,80,1515,98.5686,75.0989,19.9,59.1,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,75.0988939492518,13.1391037347659,0.174957353481726,0.8,FRA-49-MGE-S125
19,NR_029097.1,1,1374,536,1326,96.5066,491.034,19.8,1.46,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,491.034206695779,109.427475815844,0.222851024070589,5.38,FRA-49-MGE-S125
20,NR_029207.1,1,1426,8,1386,97.195,7.09467,18.9,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,7.09467040673212,1.76639577435039,0.248975029576323,0.08,FRA-49-MGE-S125
21,NR_029356.1,1,1550,22,1461,94.2581,19.6935,20,39.2,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,19.6935483870968,5.16215029461718,0.262123929784001,0.22,FRA-49-MGE-S125
22,NR_036800.1,1,1481,1,1298,87.6435,0.876435,16.3,1,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,0.87643484132343,0.329195965586207,0.375608031612613,0.01,FRA-49-MGE-S125
23,NR_036869.2,1,1507,2,1433,95.0896,1.85269,20.5,1,84037,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Syntrophococcus,Syntrophococcus sucromutans,1.85268745852687,0.473253141968558,0.255441434436467,0.02,FRA-49-MGE-S125
24,NR_037068.1,1,1441,1,1206,83.6919,0.836919,17.4,1,29375,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora xylanolytica,0.836918806384455,0.369567990568743,0.44158165373927,0.01,FRA-49-MGE-S125
25,NR_040877.1,1,1494,11,1455,97.3896,10.1171,17.7,0.636,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,10.1171352074967,1.84468994788009,0.182333230706771,0.11,FRA-49-MGE-S125
26,NR_041277.1,1,1490,4,1444,96.9128,3.42148,17.1,1,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,3.42147651006711,0.940582943600962,0.274905568059128,0.04,FRA-49-MGE-S125
27,NR_041278.1,1,1490,1,908,60.9396,0.609396,17,1,470145,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprocola,0.609395973154362,0.488049568913323,0.800874292600056,0.01,FRA-49-MGE-S125
28,NR_041342.1,1,1488,294,1488,100,278.016,19.8,8.97,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,278.016129032258,45.8606087586248,0.164956648084628,2.95,FRA-49-MGE-S125
29,NR_041343.1,1,1492,84,1474,98.7936,78.9571,20.1,50,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,78.9571045576408,13.5961502493935,0.172196667108886,0.84,FRA-49-MGE-S125
30,NR_041351.1,1,1493,23,1469,98.3925,21.0167,19.4,2.57,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,21.0167448091092,4.31334525692964,0.205233745573202,0.23,FRA-49-MGE-S125
